Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABD_smooth,angle_smooth,dmotor,cycle,L_est_cm,theta_from_R(compose)
119368,4,Extend,>>,1192,110.33,492,402,603,4.209814635947083,118.1,-3.640000000000015,3,-0.0914292829318315,-1.347896972506245
119480,4,Extend,>>,1147,106.29,491,404,603,3.027170154428448,114.19800000000001,-3.901999999999987,3,-0.11584903188805606,-1.5696631806773227
119591,4,Extend,>>,1102,102.51,492,405,602,1.392431451397404,110.296,-3.902000000000001,3,-0.0914292829318315,-1.347896972506245
119701,4,Extend,>>,1057,98.73,490,402,601,0.3358501272367459,106.412,-3.8840000000000003,3,-0.14019320130073698,-1.7861619785492748
119812,4,Extend,>>,1012,94.59,490,401,600,-0.7763124481018927,102.49000000000001,-3.921999999999997,3,-0.14019320130073698,-1.7861619785492748
119924,4,Extend,>>,967,90.73,490,403,602,-2.18359496573263,98.57000000000001,-3.9200000000000017,3,-0.14019320130073698,-1.7861619785492748
120034,4,Extend,>>,922,86.86,490,399,597,-3.141258723052263,94.684,-3.88600000000001,3,-0.14019320130073698,-1.7861619785492748
120145,4,Extend,>>,877,82.99,484,400,598,-4.092722596375,90.78,-3.9039999999999964,3,-0.2846710473624241,-2.976915553940709
120257,4,Extend,>>,832,79.12,481,400,594,-5.39866284373093,86.858,-3.921999999999997,3,-0.35588964655543887,-3.504603234636708
120368,4,Extend,>>,787,75.08,482,398,591,-6.51609066172832,82.95599999999999,-3.9020000000000152,3,-0.33222569303464367,-3.3336099503549876
120479,4,Extend,>>,742,71.3,479,398,587,-7.577541979949983,79.07,-3.8859999999999957,3,-0.402990814966401,-3.83208902922111
120590,4,Extend,>>,697,67.43,472,397,586,-9.034599146934733,75.184,-3.8859999999999957,3,-0.5654641487831684,-4.830337652721987
120701,4,Extend,>>,652,63.56,469,396,584,-10.452152517976527,71.298,-3.8859999999999957,3,-0.6339618844086394,-5.190140369862459
120812,4,Extend,>>,607,59.69,468,393,578,-11.270499568810717,67.412,-3.8859999999999957,3,-0.6566433038633779,-5.301299990902806
120923,4,Extend,>>,562,55.91,466,392,575,-11.7468445910675,63.577999999999996,-3.8340000000000103,3,-0.7017794041422247,-5.510695652688115
121036,4,Extend,>>,517,52.13,463,391,567,-12.221401023332811,59.74400000000001,-3.833999999999989,3,-0.7689167079839239,-5.793071597620052
121150,4,Extend,>>,472,48.18,459,387,559,-12.300571284638409,55.894000000000005,-3.8500000000000014,3,-0.85737499949659,-6.112008809424769
121264,4,Extend,>>,427,44.13,457,385,553,-12.299670734325868,52.008,-3.886000000000003,3,-0.901150667991665,-6.247504293965868
121378,4,Extend,>>,382,40.35,452,383,546,-12.207651077091992,48.14,-3.868000000000002,3,-1.009267197217354,-6.518777033140983
121491,4,Extend,>>,337,36.66,448,384,538,-11.619743770117982,44.29,-3.8500000000000014,3,-1.0943999888141334,-6.668894711314168
121605,4,Extend,>>,292,32.7,441,378,532,-11.14686765339331,40.404,-3.8859999999999957,3,-1.2404725616820964,-6.796141856214516
121718,4,Extend,>>,247,28.84,430,371,523,-10.209144627135476,36.536,-3.868000000000002,3,-1.46253280137815,-6.674122449954571
121832,4,Extend,>>,202,24.88,426,369,514,-9.417639879475718,32.686,-3.8500000000000014,3,-1.541014593143156,-6.539976017209462
121945,4,Extend,>>,157,21.1,421,365,506,-8.375064139523483,28.836000000000002,-3.849999999999998,3,-1.6374162931196992,-6.310141155499697
122058,4,Extend,>>,112,17.32,411,357,492,-7.048637487499001,24.968,-3.868000000000002,3,-1.8245512273070692,-5.659230800278237
122172,4,Extend,>>,67,13.45,411,356,483,-6.182822231034606,21.118000000000002,-3.849999999999998,3,-1.8245512273070692,-5.659230800278237
122286,4,Extend,>>,22,9.58,402,351,476,-5.287140967147562,17.266,-3.852000000000004,3,-1.9865106171027862,-4.877706126769775
122400,4,Extend,>>,-23,5.98,395,343,465,-4.599425973093563,13.486,-3.7799999999999976,3,-2.108246576949943,-4.157004206666862
122515,4,Extend,>>,-68,2.11,393,344,462,-3.873570818305721,9.687999999999999,-3.798000000000002,3,-2.1423480638715304,-3.9346087509058343
122628,4,Extend,>>,-113,-1.76,387,338,456,-2.9027022187584848,5.872,-3.815999999999999,3,-2.242838615591264,-3.227058584768639
122743,4,Extend,>>,-158,-5.36,379,334,446,-2.0824398747635096,2.1100000000000003,-3.7619999999999996,3,-2.3725935634458404,-2.1981705149295476
122857,4,Extend,>>,-203,-9.14,374,329,438,-0.9027198593388788,-1.634,-3.744,3,-2.4512340706898077,-1.5113509840370927
122970,4,Extend,>>,-248,-13.1,361,325,434,0.0662051516465579,-5.45,-3.8160000000000003,3,-2.6468565829296056,0.4041908457820872
123083,4,Extend,>>,-293,-16.88,349,318,433,1.2348101379955618,-9.248,-3.797999999999999,3,-2.816094278081064,2.2996553023510775
123195,4,Extend,>>,-338,-20.66,339,315,428,2.1033284770647724,-13.028,-3.780000000000001,3,-2.9488119409175635,3.940742084568934
123306,4,Extend,>>,-383,-24.44,332,312,423,2.7745031641118003,-16.844,-3.8160000000000007,3,-3.037217322062312,5.109333321766873
123421,4,Extend,>>,-428,-28.22,327,309,410,3.453286048470071,-20.66,-3.815999999999999,3,-3.098096636573703,5.949141381287461
123535,4,Extend,>>,-473,-31.82,323,299,397,4.0054955893531385,-24.404,-3.7439999999999998,3,-3.145439656399044,6.621992837470361
123650,4,Extend,>>,-518,-35.52,321,294,387,4.76576283222796,-28.131999999999998,-3.727999999999998,3,-3.1686576890504576,6.958295722143813
123764,4,Extend,>>,-563,-39.38,314,286,382,5.479730950733032,-31.875999999999998,-3.7439999999999998,3,-3.2475400477088034,8.131951403582073
123878,4,Extend,>>,-608,-43.08,313,282,375,6.40842983575496,-35.604,-3.7280000000000015,3,-3.2585066379143957,8.29892081947568
123992,4,Extend,>>,-653,-46.95,305,282,374,7.93223690467177,-39.35,-3.746000000000002,3,-3.3435184959915896,9.624736689547692
124106,4,Extend,>>,-698,-50.99,306,284,373,8.92731420857666,-43.184000000000005,-3.834000000000003,3,-3.3331565421343408,9.46015022019016
124222,4,Extend,>>,-743,-54.95,304,281,371,9.9808088124205,-47.07000000000001,-3.886000000000003,3,-3.353804870305296,9.788942303720653
124336,4,Extend,>>,-788,-58.73,302,280,371,10.51999060392733,-50.940000000000005,-3.8699999999999974,3,-3.3741508803020803,10.116139096142868
124449,4,Extend,>>,-833,-62.33,302,277,373,10.935519161759744,-54.79,-3.8499999999999943,3,-3.3741508803020803,10.116139096142868
124563,4,Extend,>>,-878,-66.11,299,277,372,11.13659620301193,-58.622,-3.8320000000000007,3,-3.4041030487206845,10.603632152918733
124677,4,Extend,>>,-923,-69.8,299,273,372,11.5775855745717,-62.384,-3.7620000000000005,3,-3.4041030487206845,10.603632152918733
124791,4,Extend,>>,-968,-73.41,298,272,372,11.815671967942093,-66.076,-3.691999999999993,3,-3.4139359457731335,10.765179251293022
124906,4,Extend,>>,-1013,-77.36,296,269,370,11.924185458507662,-69.80199999999999,-3.725999999999999,3,-3.4333750012474034,11.086744126258123
125019,4,Extend,>>,-1058,-81.05,296,267,370,12.206251787361776,-73.546,-3.744000000000014,3,-3.4333750012474034,11.086744126258123
125133,4,Extend,>>,-1103,-84.84,297,267,370,12.262562034685624,-77.292,-3.745999999999995,3,-3.42369326328204,10.926222267350752
125248,4,Extend,>>,-1148,-88.44,296,268,372,12.139287795230516,-81.02,-3.7279999999999944,3,-3.4333750012474034,11.086744126258123
125361,4,Extend,>>,-1193,-92.04,298,268,370,12.610909228301589,-84.74600000000001,-3.7260000000000133,3,-3.4139359457731335,10.765179251293022
125473,4,Extend,>>,-1238,-96.0,296,265,371,12.95625147346189,-88.474,-3.7279999999999944,3,-3.4333750012474034,11.086744126258123
125587,4,Extend,<<,-1238,-99.52,298,266,374,12.920953281154045,-92.16799999999999,-3.6939999999999884,3,-3.4139359457731335,10.765179251293022
125702,4,Extend,<<,-1193,-100.92,302,271,378,12.690742395618926,-95.384,-3.216000000000008,3,-3.3741508803020803,10.116139096142868
125813,4,Extend,<<,-1148,-100.92,308,274,383,12.754599419678115,-97.88000000000001,-2.4960000000000093,3,-3.3122058957892135,9.129907379854656
125928,4,Extend,<<,-1103,-100.66,309,276,383,12.87225381202848,-99.604,-1.7239999999999895,3,-3.3016172033013356,8.964287671494695
126040,4,Extend,<<,-1058,-97.14,311,276,384,12.85309506530768,-99.832,-0.22799999999999443,3,-3.2802130796949514,8.63214432688946
150268,4,Extend,>>,1281,118.07,476,401,601,4.631068118427686,124.52000000000001,-1.0179999999999723,4,-0.47307572100627304,-4.287682979949078
150380,4,Extend,>>,1236,114.02,475,400,602,3.765511555699617,121.636,-2.8840000000000146,4,-0.49628619726581125,-4.43020869174133
150493,4,Extend,>>,1191,110.15,474,400,599,1.7110669989036198,117.96,-3.676000000000002,4,-0.5194210939818058,-4.568132739877298
150606,4,Extend,>>,1146,106.2,475,402,600,-0.5520738285674522,114.05799999999999,-3.902000000000001,4,-0.49628619726581125,-4.43020869174133
150720,4,Extend,>>,1101,102.33,475,402,601,-3.612737226469118,110.154,-3.9039999999999964,4,-0.49628619726581125,-4.43020869174133
150833,4,Extend,>>,1056,98.55,476,400,598,-5.655106305910768,106.25,-3.9039999999999964,4,-0.47307572100627304,-4.287682979949078
150947,4,Extend,>>,1011,94.51,472,400,598,-7.485807940193268,102.348,-3.902000000000001,4,-0.5654641487831684,-4.830337652721987
151058,4,Extend,>>,966,90.55,474,401,597,-10.217692777556278,98.428,-3.9200000000000017,4,-0.5194210939818058,-4.568132739877298
151169,4,Extend,>>,921,86.68,474,402,594,-12.342397805102475,94.52399999999999,-3.9040000000000106,4,-0.5194210939818058,-4.568132739877298
151280,4,Extend,>>,876,82.9,473,398,594,-14.32839668099346,90.638,-3.8859999999999815,4,-0.5424804111542585,-4.701495609307523
151391,4,Extend,>>,831,78.95,475,396,591,-16.44483317542666,86.71799999999999,-3.920000000000016,4,-0.49628619726581125,-4.43020869174133
151502,4,Extend,>>,786,75.08,474,395,588,-17.299757213616473,82.832,-3.8859999999999957,4,-0.5194210939818058,-4.568132739877298
151613,4,Extend,>>,741,71.21,474,394,583,-17.86155610351171,78.96399999999998,-3.868000000000009,4,-0.5194210939818058,-4.568132739877298
151723,4,Extend,>>,696,67.34,473,392,580,-17.86972405878043,75.09599999999999,-3.867999999999995,4,-0.5424804111542585,-4.701495609307523
151834,4,Extend,>>,651,63.47,472,393,577,-17.22280242248189,71.21,-3.8859999999999957,4,-0.5654641487831684,-4.830337652721987
151945,4,Extend,>>,606,59.6,470,391,568,-16.83606891655434,67.33999999999999,-3.8700000000000045,4,-0.6112048854103582,-5.074620010960831
152057,4,Extend,>>,561,55.82,470,387,564,-16.453886702620867,63.487999999999985,-3.852000000000004,4,-0.6112048854103582,-5.074620010960831
152168,4,Extend,>>,516,52.04,470,387,557,-16.456972643207322,59.653999999999996,-3.833999999999989,4,-0.6112048854103582,-5.074620010960831
152279,4,Extend,>>,471,48.09,466,383,549,-16.390896776629585,55.803999999999995,-3.8500000000000014,4,-0.7017794041422247,-5.510695652688115
152390,4,Extend,>>,426,44.13,461,378,536,-15.777927425363632,51.93599999999999,-3.868000000000002,4,-0.8132970128273431,-5.960634089769789
152502,4,Extend,>>,381,40.35,456,375,524,-15.046978131016942,48.086,-3.8499999999999943,4,-0.922925132923889,-6.309393162360348
152613,4,Extend,>>,336,36.57,453,367,510,-14.260619457987554,44.23599999999999,-3.8500000000000085,4,-0.9877950504593023,-6.472081126386209
152724,4,Extend,>>,291,32.7,449,358,496,-13.411040468925744,40.367999999999995,-3.867999999999995,4,-1.0732301602302527,-6.636790562702924
152835,4,Extend,>>,246,28.92,444,350,478,-12.696078956748847,36.53399999999999,-3.834000000000003,4,-1.178323507714227,-6.762129849177161
152946,4,Extend,>>,201,24.97,439,347,470,-11.971095080200447,32.702,-3.8319999999999936,4,-1.2815273666096285,-6.802259239027363
153057,4,Extend,>>,156,21.19,435,340,457,-11.1895129571442,28.869999999999997,-3.8320000000000007,4,-1.3627300219421778,-6.776048512419681
153167,4,Extend,>>,111,17.41,432,332,445,-10.888987879781109,25.037999999999993,-3.8320000000000043,4,-1.4228384282343898,-6.723868663379205
153277,4,Extend,>>,66,13.63,426,330,439,-10.866299141457173,21.223999999999997,-3.8139999999999965,4,-1.541014593143156,-6.539976017209462
153387,4,Extend,>>,21,9.85,423,323,435,-10.2449761979479,17.409999999999993,-3.8140000000000036,4,-1.5990823517597104,-6.410124443246336
153497,4,Extend,>>,-24,6.07,418,325,428,-9.10044799385375,13.629999999999995,-3.7799999999999976,4,-1.6943503585831103,-6.140713691659794
153609,4,Extend,>>,-69,2.37,411,321,423,-8.049450025631764,9.865999999999996,-3.7639999999999993,4,-1.8245512273070692,-5.659230800278237
153719,4,Extend,>>,-114,-1.49,406,319,415,-6.68110029139622,6.085999999999994,-3.780000000000002,4,-1.9152844615178963,-5.246342233907924
153831,4,Extend,>>,-159,-5.19,399,312,408,-5.758281535595412,2.321999999999994,-3.7640000000000002,4,-2.0391366485842535,-4.580184170140873
153942,4,Extend,>>,-204,-8.97,392,309,402,-4.916487016419115,-1.442000000000006,-3.764,4,-2.15928543801701,-3.8208144346211537
154053,4,Extend,>>,-249,-12.92,377,305,398,-3.2547549636071715,-5.240000000000006,-3.7980000000000005,4,-2.404276504974056,-1.9272036300601574
154163,4,Extend,>>,-294,-16.7,370,300,391,-1.8736594656349224,-9.054000000000006,-3.813999999999999,4,-2.5127860447012096,-0.9404774454963278
154275,4,Extend,>>,-339,-20.57,363,300,388,-0.7906264471053477,-12.870000000000005,-3.815999999999999,4,-2.617592186794762,0.09884609739825517
154387,4,Extend,>>,-384,-24.18,356,296,385,0.4266476305197982,-16.668000000000006,-3.798000000000002,4,-2.7186949312547135,1.181780120273438
154498,4,Extend,>>,-429,-27.87,348,294,383,1.7186293640804515,-20.448000000000008,-3.780000000000001,4,-2.8297061523106573,2.4617131453666112
154608,4,Extend,>>,-474,-31.47,340,290,378,3.2135573035372023,-24.158000000000005,-3.7099999999999973,4,-2.9358802825798564,3.77486127053155
154720,4,Extend,>>,-519,-35.25,329,289,378,4.504594066378193,-27.868000000000006,-3.710000000000001,4,-3.073971649399775,5.6129242017594345
154831,4,Extend,>>,-564,-39.3,314,286,375,5.153537009358583,-31.614000000000004,-3.7459999999999987,4,-3.2475400477088034,8.131951403582073
154942,4,Extend,>>,-609,-43.25,309,287,374,5.947436486344667,-35.428000000000004,-3.814,4,-3.3016172033013356,8.964287671494695
155054,4,Extend,>>,-654,-47.38,307,285,374,6.8821165219464175,-39.330000000000005,-3.902000000000001,4,-3.3227190087335483,9.295201028566233
155165,4,Extend,>>,-699,-51.16,304,286,375,7.3990923976987935,-43.26800000000001,-3.9380000000000024,4,-3.353804870305296,9.788942303720653
155276,4,Extend,>>,-744,-54.86,302,280,373,8.056824726618835,-47.190000000000005,-3.921999999999997,4,-3.3741508803020803,10.116139096142868
155387,4,Extend,>>,-789,-58.81,300,281,375,9.863648358168708,-51.092000000000006,-3.902000000000001,4,-3.3941945721246927,10.441598179322257
155499,4,Extend,>>,-834,-62.59,298,279,376,11.094179039494582,-54.960000000000015,-3.868000000000009,4,-3.4139359457731335,10.765179251293022
155610,4,Extend,>>,-879,-66.64,295,276,375,11.525336515336011,-58.812,-3.8519999999999825,4,-3.4429811596692237,11.246727885441857
155721,4,Extend,>>,-924,-70.51,297,277,375,11.799092751090877,-62.682,-3.8700000000000045,4,-3.42369326328204,10.926222267350752
155832,4,Extend,>>,-969,-74.2,294,274,376,12.065301041244949,-66.55,-3.867999999999995,4,-3.4525117385475013,11.40615673458924
155944,4,Extend,>>,-1014,-78.24,295,274,377,12.453581513160344,-70.436,-3.88600000000001,4,-3.4429811596692237,11.246727885441857
156055,4,Extend,>>,-1059,-82.2,294,272,376,12.648721856616522,-74.358,-3.921999999999997,4,-3.4525117385475013,11.40615673458924
156167,4,Extend,>>,-1104,-86.07,292,268,376,12.958489029156716,-78.244,-3.8859999999999957,4,-3.4713461576734277,11.72328312282681
156278,4,Extend,>>,-1149,-89.76,293,271,377,13.220497650911875,-82.09400000000001,-3.8500000000000085,4,-3.461966737882236,11.565013995648101
156390,4,Extend,>>,-1194,-93.45,292,270,380,13.130257537074,-85.944,-3.8499999999999943,4,-3.4713461576734277,11.72328312282681
156501,4,Extend,>>,-1239,-97.05,292,266,378,13.12361608606659,-89.70599999999999,-3.7619999999999862,4,-3.4713461576734277,11.72328312282681
156613,4,Extend,<<,-1239,-100.4,294,269,383,13.105436144188182,-93.346,-3.640000000000015,4,-3.4525117385475013,11.40615673458924
156723,4,Extend,<<,-1194,-101.63,297,270,384,13.400067903500808,-96.458,-3.1119999999999948,4,-3.42369326328204,10.926222267350752
156835,4,Extend,<<,-1149,-101.63,300,274,390,13.7897505110352,-98.83200000000001,-2.3740000000000094,4,-3.3941945721246927,10.441598179322257
156946,4,Extend,<<,-1104,-100.66,303,276,390,14.808980607135236,-100.274,-1.441999999999993,4,-3.36401566507546,9.952749062051414
157057,4,Extend,<<,-1059,-97.41,303,278,390,15.899038819914242,-100.346,-0.07200000000000273,4,-3.36401566507546,9.952749062051414
180920,4,Extend,>>,1279,117.98,475,413,613,7.006839148589947,124.34400000000001,-1.0019999999999953,5,-0.49628619726581125,-4.43020869174133
181030,4,Extend,>>,1234,113.93,475,413,612,6.550435603899155,121.478,-2.866000000000014,5,-0.49628619726581125,-4.43020869174133
181139,4,Extend,>>,1189,110.07,475,413,613,7.342395286271172,117.856,-3.622,5,-0.49628619726581125,-4.43020869174133
181249,4,Extend,>>,1144,106.11,474,414,612,7.802464076118706,113.97,-3.8859999999999957,5,-0.5194210939818058,-4.568132739877298
181359,4,Extend,>>,1099,102.24,475,414,612,7.324174212512815,110.066,-3.9039999999999964,5,-0.49628619726581125,-4.43020869174133
181469,4,Extend,>>,1054,98.37,475,414,611,6.221838546159047,106.144,-3.921999999999997,5,-0.49628619726581125,-4.43020869174133
181578,4,Extend,>>,1009,94.33,474,413,610,4.816815271397816,102.224,-3.9200000000000017,5,-0.5194210939818058,-4.568132739877298
181688,4,Extend,>>,964,90.46,475,410,607,2.888991071801998,98.30199999999999,-3.9220000000000113,5,-0.49628619726581125,-4.43020869174133
181798,4,Extend,>>,919,86.59,473,412,605,1.280695967134962,94.398,-3.9039999999999964,5,-0.5424804111542585,-4.701495609307523
181908,4,Extend,>>,874,82.73,473,409,602,-0.0432087617506724,90.49600000000001,-3.901999999999987,5,-0.5424804111542585,-4.701495609307523
182018,4,Extend,>>,829,78.86,473,410,601,-1.1424185565452398,86.59400000000001,-3.902000000000001,5,-0.5424804111542585,-4.701495609307523
182127,4,Extend,>>,784,74.99,474,406,595,-2.425424464902421,82.726,-3.868000000000009,5,-0.5194210939818058,-4.568132739877298
182237,4,Extend,>>,739,71.12,473,406,593,-3.587063345297568,78.85799999999999,-3.868000000000009,5,-0.5424804111542585,-4.701495609307523
182347,4,Extend,>>,694,67.16,472,406,589,-4.041087907901555,74.97200000000001,-3.8859999999999815,5,-0.5654641487831684,-4.830337652721987
182457,4,Extend,>>,649,63.38,471,405,585,-4.2915614494233765,71.102,-3.8700000000000045,5,-0.5883723068685347,-4.954699090550124
182567,4,Extend,>>,604,59.43,468,399,581,-4.571914773796255,67.216,-3.88600000000001,5,-0.6566433038633779,-5.301299990902806
182676,4,Extend,>>,559,55.74,466,394,571,-4.834165322323491,63.36600000000001,-3.849999999999987,5,-0.7017794041422247,-5.510695652688115
182786,4,Extend,>>,514,52.04,467,390,560,-4.739370016243403,59.55,-3.8160000000000096,5,-0.6792491437745722,-5.408138565469119
182896,4,Extend,>>,469,48.0,462,386,554,-4.552906432917886,55.718,-3.8319999999999936,5,-0.7911446501774053,-5.878895681505911
183006,4,Extend,>>,424,44.04,460,383,546,-4.427878242315126,51.85,-3.868000000000002,5,-0.8353737959337373,-6.038325587975111
183116,4,Extend,>>,379,40.26,458,377,534,-4.130567303122821,48.016,-3.834000000000003,5,-0.8793006235158991,-6.181722255161091
183225,4,Extend,>>,334,36.48,453,369,523,-3.565297133751668,44.164,-3.8519999999999968,5,-0.9877950504593023,-6.472081126386209
183335,4,Extend,>>,289,32.62,450,364,515,-2.9685353611242857,40.279999999999994,-3.8840000000000074,5,-1.0519847521028294,-6.601094374471651
183445,4,Extend,>>,244,28.84,446,358,491,-2.36100564645723,36.44799999999999,-3.8320000000000007,5,-1.1365129073512654,-6.722474942121324
183556,4,Extend,>>,199,24.97,441,347,476,-1.9220651712392307,32.634,-3.813999999999993,5,-1.2404725616820964,-6.796141856214516
183666,4,Extend,>>,154,21.19,435,343,466,-2.1844193904140035,28.82,-3.814,5,-1.3627300219421778,-6.776048512419681
183776,4,Extend,>>,109,17.41,431,337,460,-2.743321158599884,25.006,-3.814,5,-1.4427234045780413,-6.7004682788217815
183886,4,Extend,>>,64,13.54,429,334,452,-3.1785848636551037,21.19,-3.815999999999999,5,-1.482266618634716,-6.644865842264065
183996,4,Extend,>>,19,9.76,423,328,441,-3.0660499896458786,17.374,-3.8160000000000025,5,-1.5990823517597104,-6.410124443246336
184106,4,Extend,>>,-26,6.07,418,321,428,-2.756464465151711,13.594,-3.7799999999999994,5,-1.6943503585831103,-6.140713691659794
184217,4,Extend,>>,-71,2.29,407,317,421,-2.294579774508309,9.814,-3.7799999999999994,5,-1.897288973762817,-5.333283279520112
184327,4,Extend,>>,-116,-1.58,402,320,424,-1.8223849282148517,6.016,-3.798,5,-1.9865106171027862,-4.877706126769775
184437,4,Extend,>>,-161,-5.27,397,314,415,-1.3184476743342926,2.254,-3.762,5,-2.073842771854184,-4.3722762864055715
184546,4,Extend,>>,-206,-9.05,384,309,406,-0.688701414158542,-1.5080000000000002,-3.7620000000000005,5,-2.292063567613302,-2.8520280203710566
184656,4,Extend,>>,-251,-13.01,382,305,397,0.3630513966474889,-5.324,-3.816,5,-2.3245023045769457,-2.594664087358621
184766,4,Extend,>>,-296,-16.79,373,301,394,1.4071322492668132,-9.14,-3.8160000000000007,5,-2.4667354335079725,-1.3703358472572904
184876,4,Extend,>>,-341,-20.57,365,296,388,2.2055887764760578,-12.937999999999999,-3.7979999999999983,5,-2.588025472485747,-0.2029405957116836
184986,4,Extend,>>,-386,-24.35,359,293,384,3.293547121584364,-16.753999999999998,-3.815999999999999,5,-2.675818660890277,0.7128888043273476
185095,4,Extend,>>,-431,-28.04,353,293,383,4.612977799982883,-20.552,-3.798000000000002,5,-2.760890985727264,1.657085232338285
185205,4,Extend,>>,-476,-31.56,343,291,381,6.3996740531131255,-24.262,-3.710000000000001,5,-2.8966318303054783,3.2793049606910762
185316,4,Extend,>>,-521,-35.34,332,290,380,7.9424346600654525,-27.972,-3.710000000000001,5,-3.037217322062312,5.109333321766873
185426,4,Extend,>>,-566,-39.38,323,289,374,8.87288952021467,-31.734,-3.7620000000000005,5,-3.145439656399044,6.621992837470361
185536,4,Extend,>>,-611,-43.25,317,292,375,9.378659779062623,-35.513999999999996,-3.779999999999994,5,-3.2141867998307694,7.629843195966723
185645,4,Extend,>>,-656,-47.3,311,284,373,9.943266345913417,-39.366,-3.852000000000004,5,-3.2802130796949514,8.63214432688946
185755,4,Extend,>>,-701,-50.99,308,279,373,11.268165459428904,-43.251999999999995,-3.8859999999999957,5,-3.3122058957892135,9.129907379854656
185865,4,Extend,>>,-746,-54.68,306,281,373,12.796755635569207,-47.120000000000005,-3.868000000000009,5,-3.3331565421343408,9.46015022019016
185975,4,Extend,>>,-791,-58.46,306,279,371,13.75186905072379,-50.936,-3.8159999999999954,5,-3.3331565421343408,9.46015022019016
186085,4,Extend,>>,-836,-62.07,305,274,369,14.060682598496104,-54.7,-3.764000000000003,5,-3.3435184959915896,9.624736689547692
186196,4,Extend,>>,-881,-65.85,308,276,371,14.099743272939838,-58.410000000000004,-3.710000000000001,5,-3.3122058957892135,9.129907379854656
186307,4,Extend,>>,-926,-69.45,303,272,372,14.115646745335663,-62.102,-3.691999999999993,5,-3.36401566507546,9.952749062051414
186417,4,Extend,>>,-971,-73.14,304,273,372,14.44296806352629,-65.79400000000001,-3.6920000000000144,5,-3.353804870305296,9.788942303720653
186527,4,Extend,>>,-1016,-77.01,301,272,372,14.807658047829657,-69.504,-3.7099999999999937,5,-3.3842105159851577,10.279094669858479
186636,4,Extend,>>,-1061,-80.7,297,269,371,14.916463224976464,-73.23,-3.725999999999999,5,-3.42369326328204,10.926222267350752
186746,4,Extend,>>,-1106,-84.57,299,269,371,14.887475059935458,-76.974,-3.7439999999999998,5,-3.4041030487206845,10.603632152918733
186856,4,Extend,>>,-1151,-88.09,299,267,369,14.97600316612455,-80.702,-3.7279999999999944,5,-3.4041030487206845,10.603632152918733
186965,4,Extend,>>,-1196,-91.6,296,266,374,15.264285793832547,-84.394,-3.6920000000000073,5,-3.4333750012474034,11.086744126258123
187075,4,Extend,>>,-1241,-95.47,297,265,371,15.53267706426805,-88.08599999999998,-3.691999999999979,5,-3.42369326328204,10.926222267350752
187185,4,Extend,<<,-1241,-99.25,305,267,373,15.65547073315082,-91.796,-3.710000000000022,5,-3.3435184959915896,9.624736689547692
187295,4,Extend,<<,-1196,-100.66,311,270,377,15.79703780946215,-95.014,-3.2179999999999893,5,-3.2802130796949514,8.63214432688946
187405,4,Extend,<<,-1151,-100.75,314,271,383,15.93564665496458,-97.546,-2.5320000000000107,5,-3.2475400477088034,8.131951403582073
187515,4,Extend,<<,-1106,-100.66,320,275,385,15.85643533365252,-99.35799999999999,-1.8119999999999834,5,-3.1801533360608496,7.126345003181902
187625,4,Extend,<<,-1061,-97.32,319,277,385,15.677918811171514,-99.728,-0.37000000000000455,5,-3.1915734035276992,7.294299310165548
211272,4,Extend,>>,1278,117.89,455,389,579,6.828401546083581,124.292,-0.9839999999999947,6,-0.9446240183125698,-6.3674269646052215
211381,4,Extend,>>,1233,113.85,456,388,579,4.969006279239938,121.426,-2.8659999999999997,6,-0.922925132923889,-6.309393162360348
211490,4,Extend,>>,1188,109.98,456,389,579,2.3808391562718856,117.78600000000002,-3.6399999999999864,6,-0.922925132923889,-6.309393162360348
211600,4,Extend,>>,1143,105.93,454,389,577,0.8835891378139513,113.86399999999999,-3.9220000000000255,6,-0.966247324157707,-6.421643672700639
211710,4,Extend,>>,1098,102.15,456,387,577,-0.6356293723598128,109.96000000000001,-3.903999999999982,6,-0.922925132923889,-6.309393162360348
211819,4,Extend,>>,1053,98.29,455,389,577,-3.1027427717140963,106.04,-3.9200000000000017,6,-0.9446240183125698,-6.3674269646052215
211929,4,Extend,>>,1008,94.24,455,388,576,-4.984965116659702,102.11800000000001,-3.921999999999997,6,-0.9446240183125698,-6.3674269646052215
212038,4,Extend,>>,963,90.29,453,389,575,-6.418582286316862,98.18,-3.9380000000000024,6,-0.9877950504593023,-6.472081126386209
212148,4,Extend,>>,918,86.51,456,388,574,-7.667184336930706,94.296,-3.8840000000000003,6,-0.922925132923889,-6.309393162360348
212258,4,Extend,>>,873,82.64,454,388,571,-9.635074543488766,90.394,-3.902000000000001,6,-0.966247324157707,-6.421643672700639
212367,4,Extend,>>,828,78.68,456,387,567,-11.142747844223107,86.47200000000001,-3.921999999999997,6,-0.922925132923889,-6.309393162360348
212477,4,Extend,>>,783,74.81,455,385,564,-12.50744924664816,82.586,-3.88600000000001,6,-0.9446240183125698,-6.3674269646052215
212586,4,Extend,>>,738,70.95,453,384,563,-14.351947545632566,78.718,-3.867999999999995,6,-0.9877950504593023,-6.472081126386209
212696,4,Extend,>>,693,67.08,453,385,558,-15.795939835844573,74.83200000000001,-3.8859999999999957,6,-0.9877950504593023,-6.472081126386209
