Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABD_smooth,angle_smooth,dmotor,cycle,L_est_cm,theta_from_R(compose)
32222,4,Extend,>>,-607,-42.46,333,292,368,7.397727130880558,-34.954,-3.7099999999999937,0,-3.024814720529405,4.941751291049371
32332,4,Extend,>>,-652,-46.42,325,283,368,8.305990274449298,-38.734,-3.780000000000001,0,-3.121919305573459,6.28555317788279
32444,4,Extend,>>,-697,-50.46,319,282,365,8.85188955025051,-42.584,-3.8500000000000014,0,-3.1915734035276992,7.294299310165548
32554,4,Extend,>>,-742,-54.07,316,281,365,9.485126160858378,-46.436,-3.8519999999999968,0,-3.2253801286669903,7.797393202434221
32664,4,Extend,>>,-787,-57.93,311,274,364,10.019015390433932,-50.26800000000001,-3.832000000000008,0,-3.2802130796949514,8.63214432688946
32773,4,Extend,>>,-832,-61.71,310,274,363,10.495522112020586,-54.11800000000001,-3.8500000000000014,0,-3.290952931269915,8.798360433186168
32883,4,Extend,>>,-877,-65.49,309,275,366,10.837521702866445,-57.931999999999995,-3.813999999999986,0,-3.3016172033013356,8.964287671494695
32993,4,Extend,>>,-922,-69.36,304,274,366,10.726992185789918,-61.712,-3.7800000000000082,0,-3.353804870305296,9.788942303720653
33103,4,Extend,>>,-967,-73.14,307,273,364,10.944924523305444,-65.526,-3.813999999999993,0,-3.3227190087335483,9.295201028566233
33213,4,Extend,>>,-1012,-77.19,302,272,367,11.21942299386452,-69.378,-3.852000000000004,0,-3.3741508803020803,10.116139096142868
33323,4,Extend,>>,-1057,-81.14,303,274,363,11.480690878374824,-73.264,-3.8859999999999957,0,-3.36401566507546,9.952749062051414
33433,4,Extend,>>,-1102,-85.19,302,271,365,11.714034639319648,-77.204,-3.9399999999999977,0,-3.3741508803020803,10.116139096142868
33543,4,Extend,>>,-1147,-88.79,298,268,364,11.611293386834603,-81.09,-3.88600000000001,0,-3.4139359457731335,10.765179251293022
33653,4,Extend,>>,-1192,-92.48,299,268,363,11.528798724242368,-84.958,-3.867999999999995,0,-3.4041030487206845,10.603632152918733
33763,4,Extend,>>,-1237,-96.53,299,269,363,11.467981818983096,-88.826,-3.867999999999995,0,-3.4041030487206845,10.603632152918733
33873,4,Extend,<<,-1237,-100.04,303,268,370,11.65051037381587,-92.60600000000001,-3.7800000000000153,0,-3.36401566507546,9.952749062051414
33982,4,Extend,<<,-1192,-101.45,302,268,370,11.839694550057102,-95.858,-3.2519999999999953,0,-3.3741508803020803,10.116139096142868
34092,4,Extend,<<,-1147,-101.45,308,274,375,11.89347569888862,-98.39000000000001,-2.5320000000000107,0,-3.3122058957892135,9.129907379854656
34202,4,Extend,<<,-1102,-100.57,311,276,379,11.96711941755075,-100.008,-1.6179999999999808,0,-3.2802130796949514,8.63214432688946
34312,4,Extend,<<,-1057,-97.32,311,276,377,12.298578981373332,-100.16600000000001,-0.15800000000001546,0,-3.2802130796949514,8.63214432688946
57944,4,Extend,>>,1283,118.33,460,428,631,0.8466051009387632,124.732,-0.9660000000000082,1,-0.8353737959337373,-6.038325587975111
58054,4,Extend,>>,1238,114.29,459,426,629,-0.8726262883779714,121.86600000000001,-2.8659999999999854,1,-0.85737499949659,-6.112008809424769
58163,4,Extend,>>,1193,110.42,460,427,629,-1.7009075213838376,118.226,-3.640000000000015,1,-0.8353737959337373,-6.038325587975111
58273,4,Extend,>>,1148,106.37,460,425,630,-2.6883202785190408,114.304,-3.921999999999997,1,-0.8353737959337373,-6.038325587975111
58382,4,Extend,>>,1103,102.59,459,426,629,-3.70246719650435,110.4,-3.9039999999999964,1,-0.85737499949659,-6.112008809424769
58492,4,Extend,>>,1058,98.9,458,426,628,-4.618934292676062,106.51400000000001,-3.8859999999999957,1,-0.8793006235158991,-6.181722255161091
58602,4,Extend,>>,1013,94.86,461,426,627,-5.403450216831866,102.628,-3.88600000000001,1,-0.8132970128273431,-5.960634089769789
58711,4,Extend,>>,968,90.9,459,426,626,-6.087912135580565,98.724,-3.9039999999999964,1,-0.85737499949659,-6.112008809424769
58821,4,Extend,>>,923,87.03,459,425,622,-6.672855633128805,94.856,-3.868000000000009,1,-0.85737499949659,-6.112008809424769
58930,4,Extend,>>,878,83.16,460,426,622,-7.232125148204221,90.97,-3.8859999999999957,1,-0.8353737959337373,-6.038325587975111
59040,4,Extend,>>,833,79.3,459,422,615,-7.970583588509769,87.04999999999998,-3.920000000000016,1,-0.85737499949659,-6.112008809424769
59150,4,Extend,>>,788,75.34,456,420,613,-9.038212849156242,83.146,-3.903999999999982,1,-0.922925132923889,-6.309393162360348
59259,4,Extend,>>,743,71.56,455,420,607,-10.670662669501256,79.27799999999999,-3.868000000000009,1,-0.9446240183125698,-6.3674269646052215
59369,4,Extend,>>,698,67.78,456,417,606,-11.34765612539275,75.428,-3.8499999999999943,1,-0.922925132923889,-6.309393162360348
59479,4,Extend,>>,653,63.74,457,417,604,-11.212343830262798,71.544,-3.8840000000000003,1,-0.901150667991665,-6.247504293965868
59588,4,Extend,>>,608,59.96,457,417,601,-10.85725177396705,67.676,-3.867999999999995,1,-0.901150667991665,-6.247504293965868
59698,4,Extend,>>,563,56.18,456,414,595,-11.236128735762204,63.843999999999994,-3.832000000000008,1,-0.922925132923889,-6.309393162360348
59808,4,Extend,>>,518,52.4,453,411,590,-11.75325755145257,60.012,-3.8319999999999936,1,-0.9877950504593023,-6.472081126386209
59918,4,Extend,>>,473,48.53,453,406,580,-11.716476704507707,56.16199999999999,-3.8500000000000085,1,-0.9877950504593023,-6.472081126386209
60028,4,Extend,>>,428,44.4,453,404,571,-11.246296459140176,52.294,-3.867999999999995,1,-0.9877950504593023,-6.472081126386209
60138,4,Extend,>>,383,40.44,451,403,566,-10.621371092596434,48.38999999999999,-3.9040000000000035,1,-1.0306637644318632,-6.561768968183476
60248,4,Extend,>>,338,36.66,450,394,555,-9.732658544224106,44.48599999999999,-3.9040000000000035,1,-1.0519847521028294,-6.601094374471651
60357,4,Extend,>>,293,32.79,446,395,549,-8.371497860495323,40.564,-3.92199999999999,1,-1.1365129073512654,-6.722474942121324
60467,4,Extend,>>,248,29.1,442,387,541,-7.682079397490481,36.67799999999999,-3.88600000000001,1,-1.219831789903016,-6.788152098596975
60577,4,Extend,>>,203,25.14,438,385,532,-7.623025414231814,32.82599999999999,-3.8519999999999968,1,-1.3019413997580802,-6.800458708146027
60686,4,Extend,>>,158,21.36,433,384,528,-7.259136129566901,29.009999999999998,-3.8159999999999954,1,-1.402877872347195,-6.74428880587981
60796,4,Extend,>>,113,17.58,429,376,520,-6.71713962059391,25.193999999999996,-3.8160000000000025,1,-1.482266618634716,-6.644865842264065
60906,4,Extend,>>,68,13.89,427,372,510,-6.131618478013722,21.413999999999994,-3.780000000000001,1,-1.5215075145172192,-6.577758291056387
61016,4,Extend,>>,23,10.02,420,370,504,-5.38606021318157,17.597999999999995,-3.815999999999999,1,-1.6564698944843788,-6.2562256623013655
61126,4,Extend,>>,-22,6.33,417,364,495,-4.414988556168105,13.835999999999993,-3.7620000000000022,1,-1.7131772213171617,-6.079183503196965
61236,4,Extend,>>,-67,2.46,408,362,489,-3.5187535257506037,10.055999999999994,-3.7799999999999994,1,-1.879217906464194,-5.4180743485874325
61346,4,Extend,>>,-112,-1.41,399,355,483,-2.6550104105350107,6.257999999999994,-3.798,1,-2.0391366485842535,-4.580184170140873
61456,4,Extend,>>,-157,-5.19,396,351,472,-1.4917382314962688,2.441999999999994,-3.816,1,-2.0910824641738346,-4.265545670190122
61565,4,Extend,>>,-202,-8.88,395,345,460,-0.5576286974114417,-1.3380000000000059,-3.78,1,-2.108246576949943,-4.157004206666862
61675,4,Extend,>>,-247,-12.66,387,340,459,0.0720689555622614,-5.1360000000000054,-3.7979999999999996,1,-2.242838615591264,-3.227058584768639
61786,4,Extend,>>,-292,-16.53,379,336,452,0.9748405260357552,-8.934000000000006,-3.798000000000001,1,-2.3725935634458404,-2.1981705149295476
61896,4,Extend,>>,-337,-20.31,371,338,446,1.5925393352944972,-12.714000000000004,-3.7799999999999976,1,-2.497511420513673,-1.0848721497423903
62006,4,Extend,>>,-382,-24.09,363,334,434,2.1457088697786384,-16.494000000000007,-3.780000000000003,1,-2.617592186794762,0.09884609739825517
