Time(ms),MotorID,SensorA0,∠ABD_smooth,cycle
12692,1,410,48.3626468141229,0
12802,1,410,48.84624893361635,0
12912,1,409,48.956164206868834,0
13021,1,410,49.20352313978373,0
13131,1,408,49.35292047844813,0
13241,1,411,49.60359683628484,0
13351,1,410,50.19221571922223,0
13460,1,413,50.64943516255586,0
13570,1,416,51.19696637121021,0
13680,1,414,52.13424721061971,0
13791,1,413,53.58908108021003,0
13901,1,415,54.4157866774611,0
14011,1,419,54.91120783240963,0
14121,1,419,55.77121994106692,0
14230,1,425,56.51705058892817,0
14340,1,425,57.1301151469801,0
14450,1,453,57.56647997730048,0
14560,1,459,58.02254061213688,0
14669,1,456,58.21410783077902,0
14780,1,454,58.227875210925696,0
14890,1,452,57.8039012186524,0
15000,1,454,57.47975917650713,0
15111,1,468,57.27076010716112,0
15221,1,497,56.69252068628796,0
15330,1,501,56.02815666070028,0
15440,1,501,55.48861118235208,0
15551,1,495,54.716413813612725,0
15661,1,508,53.54710916697732,0
15770,1,551,52.52153888259933,0
15880,1,567,51.79463415325896,0
15990,1,576,50.54323121692914,0
16100,1,580,49.782400311293145,0
16210,1,577,49.02444748370174,0
16320,1,579,48.27824059729808,0
16429,1,581,47.36044537979408,0
16540,1,583,46.26851180842557,0
16650,1,585,45.48568337601161,0
16760,1,583,44.57474572736525,0
16869,1,582,43.546457154706914,0
16979,1,585,42.13548111234296,0
17089,1,587,40.37456688527924,0
17199,1,584,39.23380438927042,0
17309,1,583,38.11467186865001,0
17419,1,585,37.27956651345298,0
17529,1,590,36.82282588350839,0
17640,1,584,36.44226195201971,0
17750,1,589,36.14806548837917,0
17861,1,578,35.70365596706436,0
17971,1,581,35.165527059224054,0
18081,1,583,34.7249599117628,0
18191,1,580,34.53688369938348,0
18301,1,585,34.30292497940272,0
18410,1,592,33.95403643712918,0
18522,1,598,33.62535492900776,0
18633,1,600,33.42659912461699,0
18743,1,604,33.29186294482378,0
18854,1,606,32.83539736952759,0
18964,1,604,32.714989902188805,0
19074,1,606,32.96368163679294,0
19184,1,611,32.69996465208752,0
19294,1,613,32.58688761539758,0
19405,1,627,32.66049588696017,0
19515,1,626,32.459809390624045,0
19625,1,624,32.54557981748083,0
43282,1,393,50.05730198266964,1
43393,1,392,51.46211035277099,1
43503,1,395,52.14767829463136,1
43613,1,395,52.97965996296814,1
43723,1,398,54.5452027372211,1
43832,1,399,55.60873268107285,1
43942,1,402,56.24677042011933,1
44051,1,403,57.10548093244428,1
44162,1,405,57.629486878683096,1
44272,1,408,57.504957719268376,1
44381,1,409,57.36653220212902,1
44491,1,413,57.57314390680021,1
44601,1,421,57.62224376739323,1
44710,1,430,57.9624880082858,1
44820,1,437,58.03293598491095,1
44930,1,440,57.92128250577085,1
45040,1,456,57.85841686510622,1
45151,1,466,57.89083106804053,1
45261,1,467,57.84316150598487,1
45371,1,467,57.51890837028583,1
45481,1,470,56.66369458074709,1
45591,1,471,55.556864078012,1
