phase,plot,active_csv,sensor_norm_lo,sensor_norm_hi,linear_coeffs,quadratic_coeffs,R2_linear,MSE_linear,R2_quadratic,MSE_quadratic
Flex,D:\Soft_glove\models\thumb\R_theta_direct\R_theta_Flex.png,D:\Soft_glove\models\thumb\R_theta_direct\R_theta_Flex_active.csv,392.0,631.9499999999999,"[-21.44686394316776, 57.22565312310364]","[-37.015293226567714, 14.666266152699297, 52.10290516213391]",0.5303562873171291,40.16540925224274,0.6197514275633574,32.52005534632138
Extend,D:\Soft_glove\models\thumb\R_theta_direct\R_theta_Extend.png,D:\Soft_glove\models\thumb\R_theta_direct\R_theta_Extend_active.csv,292.0,490.0,"[-22.153879775591022, 11.368070786178912]","[37.221780779325066, -56.223317095509834, 14.4649622729683]",0.6461171333647455,33.642633838246475,0.7184974845644945,26.761640486831553
