Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth,θ_total,L_est_cm,theta_from_R(compose),phase_used
18825,2,Flex,>>,574,58.37,355,321,442,43.25643976212609,16.09789098039859,59.35433074252468,-1.3567001545922777,71.19666810321134,Flex
18840,3,Flex,>>,-470,-33.23,350,319,443,43.25643976212609,16.09789098039859,59.35433074252468,-1.3062732842576414,70.4183591452209,Flex
18920,1,Flex,>>,2526,227.08,357,321,445,44.32756282295256,16.794035513894883,61.12159833684744,-1.3567001545922777,71.19666810321134,Flex
18935,2,Flex,>>,510,52.75,353,318,443,44.32756282295256,16.794035513894883,61.12159833684744,-1.2809453050189976,70.02048368400034,Flex
18951,3,Flex,>>,-536,-39.03,352,319,444,44.884753389074646,17.17490542609031,62.05965881516495,-1.3062732842576414,70.4183591452209,Flex
19031,1,Flex,>>,2487,223.65,356,319,449,46.43443131352423,17.49669271928338,63.93112403280761,-1.3062732842576414,70.4183591452209,Flex
19046,2,Flex,>>,446,47.03,354,320,445,47.16025016666045,17.74568466553411,64.90593483219456,-1.3315249007820682,70.81040664284555,Flex
19060,3,Flex,>>,-602,-44.66,352,319,441,47.16025016666045,17.74568466553411,64.90593483219456,-1.3062732842576414,70.4183591452209,Flex
19141,1,Flex,>>,2448,220.22,355,320,445,48.366203721427866,18.19758725508417,66.56379097651204,-1.3315249007820682,70.81040664284555,Flex
19155,2,Flex,>>,382,41.67,354,320,442,48.910813473208336,18.360606913224828,67.27142038643316,-1.3315249007820682,70.81040664284555,Flex
19170,3,Flex,>>,-668,-50.29,354,320,442,48.910813473208336,18.360606913224828,67.27142038643316,-1.3315249007820682,70.81040664284555,Flex
19250,1,Flex,>>,2409,216.79,357,322,445,50.05979745467403,18.88172219502949,68.94151964970352,-1.3817990456882696,71.57718532586705,Flex
19265,2,Flex,>>,318,36.13,353,318,445,50.05979745467403,18.88172219502949,68.94151964970352,-1.2809453050189976,70.02048368400034,Flex
19279,3,Flex,>>,-734,-55.91,353,318,444,50.55123904449628,19.04570519869986,69.59694424319613,-1.2809453050189976,70.02048368400034,Flex
19360,1,Flex,>>,2370,213.45,354,319,445,51.576629755896505,19.37959248563109,70.9562222415276,-1.3062732842576414,70.4183591452209,Flex
19374,2,Flex,>>,254,30.59,353,320,444,51.576629755896505,19.37959248563109,70.9562222415276,-1.3315249007820682,70.81040664284555,Flex
19389,3,Flex,>>,-800,-61.63,353,319,441,52.084051983182505,19.86282301053073,71.94687499371324,-1.3062732842576414,70.4183591452209,Flex
19469,1,Flex,>>,2331,210.02,356,320,446,53.285137969005376,20.587432816176907,73.87257078518229,-1.3315249007820682,70.81040664284555,Flex
19484,2,Flex,>>,190,24.97,356,322,446,53.96354145268944,20.923175309398367,74.88671676208781,-1.3817990456882696,71.57718532586705,Flex
19499,3,Flex,>>,-866,-67.34,353,318,443,53.96354145268944,20.923175309398367,74.88671676208781,-1.2809453050189976,70.02048368400034,Flex
19580,1,Flex,>>,2292,206.59,357,322,448,55.47247468928214,21.616938232606543,77.08941292188868,-1.3817990456882696,71.57718532586705,Flex
19594,2,Flex,>>,126,19.34,354,315,442,55.47247468928214,21.616938232606543,77.08941292188868,-1.2045031910177615,68.7914683535684,Flex
19609,3,Flex,>>,-932,-73.05,353,321,443,55.82481459828735,21.81715737369737,77.64197197198472,-1.3567001545922777,71.19666810321134,Flex
19689,1,Flex,>>,2253,203.16,356,320,451,56.27289696211015,22.255844207524103,78.52874116963426,-1.3315249007820682,70.81040664284555,Flex
19704,2,Flex,>>,62,14.07,355,320,449,56.27289696211015,22.255844207524103,78.52874116963426,-1.3315249007820682,70.81040664284555,Flex
19718,3,Flex,>>,-998,-78.86,355,319,447,56.55906718441104,22.547193892249112,79.10626107666016,-1.3062732842576414,70.4183591452209,Flex
19799,1,Flex,>>,2214,199.91,356,321,452,57.29352049594738,23.04854081284776,80.34206130879514,-1.3567001545922777,71.19666810321134,Flex
19813,2,Flex,>>,-2,8.35,352,317,451,57.69078149436339,23.38154840162232,81.07232989598572,-1.2555409630661363,69.61673820605853,Flex
19828,3,Flex,>>,-1064,-84.48,354,319,449,57.69078149436339,23.38154840162232,81.07232989598572,-1.3062732842576414,70.4183591452209,Flex
19908,1,Flex,>>,2175,196.66,355,320,459,58.63493647198779,24.008847738951868,82.64378421093966,-1.3315249007820682,70.81040664284555,Flex
19923,2,Flex,>>,-66,2.73,352,318,460,59.1354695410257,24.46482487483041,83.60029441585611,-1.2809453050189976,70.02048368400034,Flex
19937,3,Flex,>>,-1130,-90.29,352,317,457,59.1354695410257,24.46482487483041,83.60029441585611,-1.2555409630661363,69.61673820605853,Flex
20018,1,Flex,>>,2136,193.14,358,323,465,60.44531934844297,25.8586150823118,86.30393443075477,-1.4068215740700443,71.95199998357319,Flex
20032,2,Flex,>>,-130,-2.81,355,319,461,60.44531934844297,25.8586150823118,86.30393443075477,-1.3062732842576414,70.4183591452209,Flex
20047,3,Flex,>>,-1196,-96.09,353,318,462,60.81575631344887,26.48550823351489,87.30126454696376,-1.2809453050189976,70.02048368400034,Flex
20127,1,Flex,>>,2097,189.8,358,320,468,61.42748215746599,27.59770957033352,89.02519172779951,-1.3315249007820682,70.81040664284555,Flex
20142,2,Flex,>>,-194,-8.35,356,320,466,61.69957294185981,28.18769792743832,89.88727086929813,-1.3315249007820682,70.81040664284555,Flex
20156,3,Flex,>>,-1262,-101.89,351,319,467,61.69957294185981,28.18769792743832,89.88727086929813,-1.3062732842576414,70.4183591452209,Flex
20237,1,Flex,>>,2058,186.37,356,322,471,62.305593223061805,29.284582836921366,91.59017605998318,-1.3817990456882696,71.57718532586705,Flex
20252,2,Flex,>>,-258,-13.89,355,323,471,62.716908601839066,29.75313949472509,92.47004809656416,-1.4068215740700443,71.95199998357319,Flex
20266,3,Flex,>>,-1328,-107.6,354,323,470,62.716908601839066,29.75313949472509,92.47004809656416,-1.4068215740700443,71.95199998357319,Flex
20347,1,Flex,>>,2019,183.03,359,329,477,63.69684483239647,30.769549713254136,94.46639454565062,-1.5553531273621277,74.08345176513512,Flex
20361,2,Flex,>>,-322,-19.34,359,326,476,63.69684483239647,30.769549713254136,94.46639454565062,-1.481430982930064,73.04264339277523,Flex
20376,3,Flex,>>,-1394,-113.14,357,327,475,63.96728813224499,31.04090107323738,95.00818920548237,-1.5061480604549693,73.39506198252272,Flex
20457,1,Flex,>>,1980,179.87,362,332,483,64.42226788163813,31.44666262075024,95.86893050238837,-1.6285880073662355,75.07552972548615,Flex
