Frame,Time(ms),∠ABC,∠BCD
0,69,149.38924641758297,169.60834181052363
1,102,149.38924641758297,169.401610130384
2,135,149.15217660338644,169.8322141492838
3,169,149.15217660338644,169.8322141492838
4,202,148.84837902880776,170.34278844087467
5,235,149.15217660338644,169.8322141492838
6,269,149.38057699287663,170.03899086629602
7,302,149.36990000682857,169.401610130384
8,335,149.36990000682857,169.3938682944792
9,369,149.68670458051383,169.313205946189
10,402,149.92387463290643,169.096289558826
11,435,149.38924641758297,169.401610130384
12,469,149.38924641758297,169.401610130384
13,502,149.38924641758297,169.60834181052363
14,535,149.90917518773648,168.88168136023046
15,569,149.393792827686,169.39291785937118
16,602,149.38924641758297,169.8212674628538
17,635,149.15978324739655,169.8212674628538
18,669,149.46510381895453,169.096289558826
19,702,148.9420598439544,169.82606521396582
20,735,149.15978324739655,169.3938682944792
21,769,149.47765060177798,169.5199376263286
22,802,149.15978324739655,169.60834181052363
23,835,148.92362253621357,170.03434476028013
24,869,149.46510381895453,169.30302123896564
25,902,149.69456698914098,169.51594689129578
26,935,149.46510381895453,169.51594689129578
27,969,149.14559571169644,169.81415721594294
28,1002,149.45010053069743,169.51272735961348
29,1035,149.43257409055133,169.51272735961348
30,1069,149.45010053069743,169.9309373011106
31,1102,149.22034796531113,169.93093730111056
32,1135,149.4326786953543,169.7186065710674
33,1169,149.5105162937875,169.62415507994896
34,1202,149.5105162937875,169.62415507994896
35,1235,149.2027923166107,169.71860657106737
36,1269,149.20373407262585,169.9309373011106
37,1302,149.5105162937875,169.41580770914277
38,1335,149.20373407262585,169.9309373011106
39,1369,149.20373407262585,169.9309373011106
40,1402,149.5105162937875,169.41580770914277
41,1435,149.22034796531113,169.9309373011106
42,1469,149.22034796531113,169.9309373011106
43,1502,149.5105162937875,169.20594513845185
44,1535,149.4326786953543,169.50873285949982
45,1569,148.97476183596157,169.9309373011106
46,1602,149.22034796531113,170.13928467191676
47,1635,149.5105162937875,169.8325024507552
48,1669,149.7386065846588,169.20433131095663
49,1702,148.97476183596157,169.72258993030437
50,1735,149.5105162937875,169.41580770914277
51,1769,149.22034796531113,169.72258993030437
52,1802,149.20373407262585,169.9309373011106
53,1835,149.5105162937875,169.62415507994896
54,1869,149.52713018647276,169.41580770914277
55,1902,149.52713018647276,169.41580770914277
56,1935,149.52713018647276,169.41580770914277
57,1969,149.52713018647276,169.41580770914277
58,2002,149.52713018647276,169.41428136838144
59,2035,149.75688275185908,169.41428136838144
60,2069,149.22034796531113,169.721063589543
61,2102,149.75688275185908,169.20287017578036
62,2135,149.54312102580877,169.62804309443166
63,2169,149.0057397667156,169.9356717881385
64,2202,149.52559458566267,169.62804309443166
65,2235,149.45010053069743,169.50965239694196
66,2269,149.0057397667156,169.9356717881385
67,2302,149.46776805388495,169.721063589543
68,2335,149.23549233210196,169.9356717881385
69,2369,149.22034796531113,169.721063589543
70,2402,149.21796589195586,169.9356717881385
71,2435,149.46776805388495,169.721063589543
72,2469,149.2370956756369,169.721063589543
73,2502,149.21796589195586,169.9341229186668
74,2535,149.23549233210196,169.72426059553743
75,2569,149.23549233210196,169.9341229186668
76,2602,149.0057397667156,169.72114008034458
77,2635,149.29675456773717,169.2036720915731
78,2669,149.0057397667156,169.9341229186668
79,2702,149.52559458566267,169.41663190183064
80,2735,149.31336846042245,169.41663190183064
81,2769,149.0057397667156,169.9341229186668
82,2802,149.52559458566267,169.2036720915731
83,2835,149.52559458566267,169.2036720915731
84,2869,148.98912587403038,169.9341229186668
85,2902,149.75688275185908,169.4127324989097
86,2935,149.31336846042245,169.41663190183064
87,2969,149.0057397667156,169.9341229186668
88,3002,149.31336846042245,169.62804309443166
89,3035,149.54387789679856,169.41428136838144
90,3069,149.54387789679856,169.20287017578036
91,3102,149.54387789679856,169.4127324989097
92,3135,149.29724380772916,169.20287017578036
93,3169,149.31336846042245,169.8379168059992
94,3202,149.6233136102833,169.31809794457078
95,3235,149.08348208167885,169.8379168059992
96,3269,149.09729020883898,170.05399505758274
97,3302,149.54387789679856,169.4127324989097
98,3335,149.31336846042245,169.62649422495994
99,3369,149.32704277422533,170.05399505758274
100,3402,149.0057397667156,169.9341229186668
101,3435,149.33011617074825,169.62649422495994
102,3469,149.33011617074825,169.62649422495994
103,3502,149.02248747704144,169.9341229186668
104,3535,149.33011617074825,169.62649422495994
105,3569,149.31336846042245,169.62649422495994
106,3602,149.33011617074825,169.41663190183064
107,3635,148.79167966511804,169.9341229186668
108,3669,149.33011617074825,169.62649422495994
109,3702,149.31336846042245,169.4135113866378
110,3735,149.40810510811806,169.32189525413497
111,3769,149.33011617074825,169.62649422495994
112,3802,149.08067631615373,169.84257247654344
113,3835,149.08067631615373,169.84257247654344
114,3869,149.6233136102833,169.10668675196973
115,3902,149.31336846042245,169.62649422495994
116,3935,149.31336846042245,169.62649422495994
117,3969,149.31336846042245,169.62649422495994
118,4002,149.31336846042245,169.62649422495994
119,4035,149.29675456773717,169.62649422495994
120,4069,148.77585338797203,170.14554549970603
121,4102,149.31336846042245,169.2036720915731
122,4135,149.54387789679856,169.4127324989097
123,4169,149.65552519669194,169.53330644673605
124,4202,149.33011617074825,169.62649422495994
125,4235,149.31336846042245,169.4135113866378
126,4269,149.54387789679856,169.1997496605875
127,4302,149.09729020883898,169.84257247654344
128,4335,148.79167966511804,169.9341229186668
129,4369,149.02248747704144,169.9341229186668
130,4402,149.31336846042245,169.62649422495994
131,4435,149.33011617074825,169.8379168059992
132,4469,149.54387789679856,169.4127324989097
133,4502,149.54387789679856,169.1997496605875
134,4535,149.33011617074825,169.4135113866378
135,4569,149.54387789679856,169.1997496605875
136,4602,149.54387789679856,169.1997496605875
137,4635,149.56076104516947,169.1997496605875
138,4669,149.02248747704144,169.72114008034458
139,4702,149.31336846042245,169.2036720915731
