Time(ms),MotorID,Angle(deg),angle_smooth,delta_motor,cycle,L_cm,L_rel_cm,θ_total,∠ABC_smooth,∠BCD_smooth
18441,3,7.12,9.64,-1.2599999999999998,0,0.1682497398922534,0.0,78.13797081556748,47.89366335813304,30.24430745743445
18551,3,1.49,7.6025,-2.0375000000000005,0,0.1326886563828689,-0.0355610835093845,78.17959859219206,47.987274746431545,30.19232384576052
18660,3,-4.22,5.238,-2.3644999999999996,0,0.09142034621946299,-0.0768293936727904,78.17987652549257,48.066426724075725,30.113449801416856
18770,3,-9.93,1.0720000000000003,-4.166,0,0.01870992958137922,-0.14953981031087418,78.19824937036957,47.65262496119389,30.545624409175677
18880,3,-15.56,-4.220000000000001,-5.292000000000001,0,-0.07365289443416072,-0.24190263432641412,78.42724384445685,47.84511536652364,30.582128477933217
18989,3,-21.19,-9.882,-5.661999999999999,0,-0.17247343668207965,-0.34072317657433304,78.33650923834037,47.87378736041633,30.46272187792404
19099,3,-26.9,-15.559999999999999,-5.677999999999999,0,-0.27157323161031766,-0.43982297150257105,78.11830317811447,47.52106839674592,30.59723478136855
19208,3,-32.62,-21.240000000000002,-5.680000000000003,0,-0.3707079331235956,-0.538957673015849,78.32763724600477,47.89878918532547,30.428848060679304
19318,3,-38.24,-26.901999999999997,-5.6619999999999955,0,-0.4695284753715145,-0.6377782152637679,78.53555169152985,48.19223043039327,30.343321261136573
19427,3,-44.13,-32.616,-5.714000000000002,0,-0.5692565888304705,-0.7375063287227239,78.41494978154826,48.18348420763176,30.2314655739165
19537,3,-49.76,-38.33,-5.713999999999999,0,-0.6689847022894265,-0.83723444218168,78.43034054165611,47.6768952110446,30.753445330611505
19647,3,-55.38,-44.025999999999996,-5.695999999999998,0,-0.7683986564830234,-0.9366483963752767,78.49217438649852,47.4858168904474,31.00635749605112
19756,3,-61.27,-49.756,-5.730000000000004,0,-0.8684060226222986,-1.036655762514552,78.23382698088278,47.41731963906794,30.816507341814845
19866,3,-66.99,-55.50599999999999,-5.749999999999993,0,-0.9687624546119724,-1.1370121945042257,78.1045195467137,47.568089511153005,30.5364300355607
19975,3,-72.79,-61.238,-5.732000000000006,0,-1.0688047273362875,-1.2370544672285408,78.06518281000348,47.62571391892683,30.439468891076658
20085,3,-78.68,-67.022,-5.784000000000006,0,-1.1697545712716397,-1.338004311163893,77.93483792157929,47.60051704346375,30.33432087811553
20195,3,-84.31,-72.808,-5.786000000000001,0,-1.2707393217920315,-1.4389890616842849,77.81527037634518,47.66667013723535,30.14860023910984
20304,3,-90.02,-78.55799999999999,-5.749999999999986,0,-1.3710957537817052,-1.5393454936739586,77.88883336888003,47.80138609197229,30.08744727690773
20413,3,-95.82,-84.324,-5.766000000000005,0,-1.4717314384516984,-1.6399811783439517,77.9444500598227,47.91281355298683,30.03163650683587
20523,3,-101.54,-90.074,-5.75,0,-1.5720878704413723,-1.7403376103336257,77.80058616376097,47.7732093120398,30.027376851721165
20633,3,-107.43,-95.824,-5.75,0,-1.6724443024310462,-1.8406940423232996,77.72752400445378,47.749568476102944,29.977955528350837
20743,3,-113.14,-101.59,-5.766000000000005,0,-1.7730799871010394,-1.9413297269932928,77.57525352588591,47.7855471474888,29.789706378397117
20852,3,-118.95,-107.376,-5.786000000000001,0,-1.8740647376214314,-2.042314477513685,77.35073059117136,47.87721572730351,29.473514863867848
20962,3,-124.75,-113.16199999999999,-5.785999999999987,0,-1.975049488141823,-2.1432992280340764,77.30758997278863,47.81505278308369,29.492537189704954
21071,3,-130.64,-118.98200000000001,-5.820000000000022,0,-2.0766276506078936,-2.244877390500147,77.5207314653628,47.52452882743104,29.99620263793176
21181,3,-136.35,-124.766,-5.783999999999992,0,-2.1775774945432453,-2.345827234435499,77.27327650198863,47.768599531376665,29.504676970611968
21290,3,-142.24,-130.586,-5.820000000000007,0,-2.279155657009315,-2.4474053969015688,76.33945922656021,47.72529156128496,28.614167665275243
21400,3,-147.96,-136.388,-5.8019999999999925,0,-2.3804196602100265,-2.54866940010228,75.04520111069607,47.13523893916802,27.909962171528058
21510,3,-153.67,-142.172,-5.783999999999992,0,-2.4813695041453783,-2.649619244037632,73.87253230838587,46.300496982069504,27.572035326316367
21619,3,-159.3,-147.904,-5.731999999999999,0,-2.581411776869693,-2.7496615167619467,71.41487936002596,44.847865233899526,26.56701412612644
21729,3,-164.92,-153.618,-5.713999999999999,0,-2.681139890328649,-2.8493896302209025,67.5803570198369,42.832693158080346,24.74766386175655
21839,3,-170.73,-159.31599999999997,-5.697999999999979,0,-2.7805887511072855,-2.948838490999539,61.3484264258105,39.60319421779518,21.74523220801532
21949,3,-176.18,-164.95999999999998,-5.6440000000000055,0,-2.879095134089846,-3.0473448739820994,56.36320795355999,36.88117688509864,19.482031068461357
22058,3,-181.89,-170.60399999999998,-5.6440000000000055,0,-2.9776015170724057,-3.1458512569646593,49.99548366057921,33.46503490614208,16.530448754437135
22168,3,-187.52,-176.248,-5.6440000000000055,0,-3.0761079000549656,-3.244357639947219,41.67983445599768,28.999075647144004,12.680758808853671
22278,3,-193.23,-181.91,-5.662000000000006,0,-3.174928442302885,-3.3431781821951385,36.87626578765119,26.143933684505704,10.732332103145485
22387,3,-198.95,-187.554,-5.6440000000000055,0,-3.273434825285445,-3.4416845651776984,33.20488460907756,24.41051573827839,8.79436887079917
22497,3,-204.66,-193.25,-5.695999999999998,0,-3.372848779479042,-3.5410985193712956,28.849924644135196,22.369369088408927,6.480555555726268
22607,3,-210.64,-199.0,-5.75,0,-3.473205211468716,-3.6414549513609695,24.989424821475183,19.92407802264499,5.065346798830192
22717,3,-216.44,-204.784,-5.783999999999992,0,-3.5741550554040677,-3.7424047952963213,21.726511010354663,18.25488712208486,3.471623888269802
22827,3,-222.15,-210.56799999999998,-5.783999999999992,0,-3.6751048993394195,-3.843354639231673,18.563694473079085,16.757543671951044,1.806150801128041
22938,3,-228.04,-216.38600000000002,-5.8180000000000405,0,-3.7766481552204505,-3.944897895112704,14.09334144395631,14.38486009346029,-0.2915186495039796
23047,3,-233.67,-222.18799999999996,-5.801999999999936,0,-3.8779121584211604,-4.0461618983134136,11.669644130295893,13.007918783546684,-1.3382746532507903
23158,3,-239.38,-227.936,-5.748000000000047,0,-3.978233683825795,-4.146483423718048,9.753480881700495,11.968525663266036,-2.21504478156554
23268,3,-245.01,-233.65,-5.713999999999999,0,-4.077961797284751,-4.246211537177005,8.012462173331407,10.83572674479423,-2.823264571462822
23378,3,-250.64,-239.348,-5.6980000000000075,0,-4.177410658063388,-4.345660397955641,7.058040663905556,10.339319500876057,-3.2812788369705004
23488,3,-256.26,-244.99200000000002,-5.6440000000000055,0,-4.275917041045949,-4.444166780938202,6.058896006080373,9.878442489937315,-3.819546483856942
23598,3,-261.8,-250.618,-5.625999999999976,0,-4.374109264763149,-4.5423590046554025,4.769479593323038,9.25482675732162,-4.485347163998582
23708,3,-267.08,-256.158,-5.5400000000000205,0,-4.470800505323635,-4.639050245215889,3.721481783512144,8.727975332746276,-5.006493549234132
23817,3,-272.7,-261.696,-5.538000000000011,0,-4.567456839299081,-4.735706579191334,2.9175141246986858,8.485940479016845,-5.568426354318159
23927,3,-278.07,-267.182,-5.48599999999999,0,-4.66320560206349,-4.831455341955744,2.3139933507944797,8.141819369041157,-5.827826018246677
24037,3,-283.25,-272.58000000000004,-5.398000000000025,0,-4.757418475086144,-4.925668214978398,1.4695165273483397,7.740605792800411,-6.271089265452071
24146,3,-288.62,-277.94399999999996,-5.363999999999919,0,-4.851037936163118,-5.019287676055372,0.24462605622034506,7.238941921799099,-6.994315865578754
24257,3,-294.51,-283.43,-5.486000000000047,0,-4.946786698927529,-5.115036438819782,-0.9404932104872845,6.591436577699765,-7.53192978818705
24366,3,-300.04,-288.898,-5.468000000000018,0,-5.0422213024265785,-5.210471042318832,-2.225481554722439,6.139565458868599,-8.365047013591038
24477,3,-305.23,-294.33000000000004,-5.432000000000016,0,-5.137027587394911,-5.305277327287165,-3.543897144786097,5.470137104969275,-9.014034249755372
24587,3,-310.42,-299.764,-5.433999999999969,0,-5.231868778948282,-5.400118518840536,-5.183973835105348,4.489167605821709,-9.673141440927058
24696,3,-315.87,-305.21400000000006,-5.4500000000000455,0,-5.3269892231819735,-5.495238963074227,-7.28079615544104,3.19091341110972,-10.47170956655076
24806,3,-321.05,-310.522,-5.307999999999936,0,-5.419631299877832,-5.587881039770085,-8.528576417158405,2.3111830053447937,-10.8397594225032
24915,3,-326.51,-315.816,-5.293999999999983,0,-5.512029030478411,-5.6802787703706645,-9.450407635905302,1.967910085001008,-11.41831772090631
25025,3,-328.26,-320.42199999999997,-4.6059999999999945,0,-5.59241889582527,-5.760668635717524,-10.383652473112312,1.6662226572469627,-12.049875130359274
25135,3,-328.35,-324.00800000000004,-3.5860000000000696,0,-5.655006402801788,-5.823256142694041,-12.024267217500082,0.8289487911169486,-12.85321600861703
25245,3,-325.36,-325.906,-1.8979999999999677,0,-5.688132752004639,-5.856382491896893,-12.875379019857263,0.3281549437111178,-13.20353396356838
48982,3,-4.31,5.220000000000001,-1.5300000000000011,1,0.09110618695410401,0.0,76.42303511567133,46.59438580280448,29.82864931286684
49092,3,-10.02,1.0360000000000007,-4.184,1,0.018081611050661268,-0.07302457590344275,76.44978278106564,46.74146916007087,29.70831362099477
49202,3,-15.82,-4.308,-5.344,1,-0.07518878417591571,-0.16629497113001973,76.4037587243271,46.635218339945695,29.768540384381414
