Time(ms),MotorID,Phase,Direction,Position,Angle(deg)
26223,4,Extend,>>,1487,130.73
26325,4,Extend,>>,1449,130.73
26427,4,Extend,>>,1411,128.62
26530,4,Extend,>>,1373,125.45
26632,4,Extend,>>,1335,122.2
26734,4,Extend,>>,1297,118.95
26837,4,Extend,>>,1259,115.69
26939,4,Extend,>>,1221,112.35
27041,4,Extend,>>,1183,109.01
27143,4,Extend,>>,1145,105.67
27245,4,Extend,>>,1107,102.42
27347,4,Extend,>>,1069,99.34
27450,4,Extend,>>,1031,95.91
27552,4,Extend,>>,993,92.48
27655,4,Extend,>>,955,89.23
27757,4,Extend,>>,917,86.15
27859,4,Extend,>>,879,82.73
27962,4,Extend,>>,841,79.56
28064,4,Extend,>>,803,76.22
28166,4,Extend,>>,765,72.97
28268,4,Extend,>>,727,69.8
28371,4,Extend,>>,689,66.46
28473,4,Extend,>>,651,63.21
28575,4,Extend,>>,613,60.04
28678,4,Extend,>>,575,56.88
28780,4,Extend,>>,537,53.63
28883,4,Extend,>>,499,50.2
28985,4,Extend,>>,461,46.95
29088,4,Extend,>>,423,43.52
29191,4,Extend,>>,385,40.26
29293,4,Extend,>>,347,36.92
29396,4,Extend,>>,309,33.67
29498,4,Extend,>>,271,30.51
29601,4,Extend,>>,233,27.16
29703,4,Extend,>>,195,23.82
29805,4,Extend,>>,157,20.57
29907,4,Extend,>>,119,17.23
30009,4,Extend,>>,81,13.89
30111,4,Extend,>>,43,10.64
30214,4,Extend,>>,5,7.38
30316,4,Extend,>>,-33,4.22
30419,4,Extend,>>,-71,0.88
30521,4,Extend,>>,-109,-2.46
30624,4,Extend,>>,-147,-5.71
30727,4,Extend,>>,-185,-8.97
30829,4,Extend,>>,-223,-12.13
30932,4,Extend,>>,-261,-15.38
31034,4,Extend,>>,-299,-18.55
31137,4,Extend,>>,-337,-21.89
31240,4,Extend,>>,-375,-24.88
31342,4,Extend,>>,-413,-28.04
31445,4,Extend,>>,-451,-31.3
31547,4,Extend,>>,-489,-34.29
31650,4,Extend,>>,-527,-37.71
31752,4,Extend,>>,-565,-40.97
31855,4,Extend,>>,-603,-44.13
31958,4,Extend,>>,-641,-47.47
32060,4,Extend,>>,-679,-50.73
32163,4,Extend,>>,-717,-53.98
32265,4,Extend,>>,-755,-57.58
32367,4,Extend,>>,-793,-60.75
32471,4,Extend,<<,-793,-63.82
32574,4,Extend,<<,-755,-65.14
32676,4,Extend,<<,-717,-65.14
32778,4,Extend,<<,-679,-63.21
32881,4,Extend,<<,-641,-60.48
32984,4,Extend,<<,-603,-57.23
33087,4,Extend,<<,-565,-53.8
33190,4,Extend,<<,-527,-50.64
33293,4,Extend,<<,-489,-47.21
33395,4,Extend,<<,-451,-43.96
33498,4,Extend,<<,-413,-40.7
33600,4,Extend,<<,-375,-37.36
33703,4,Extend,<<,-337,-33.93
33806,4,Extend,<<,-299,-30.59
33908,4,Extend,<<,-261,-27.34
34011,4,Extend,<<,-223,-24.0
34113,4,Extend,<<,-185,-20.66
34216,4,Extend,<<,-147,-17.14
34319,4,Extend,<<,-109,-13.98
34421,4,Extend,<<,-71,-10.73
34524,4,Extend,<<,-33,-7.47
34626,4,Extend,<<,5,-3.96
34728,4,Extend,<<,43,-0.7
34831,4,Extend,<<,81,2.73
34934,4,Extend,<<,119,5.98
35036,4,Extend,<<,157,9.23
35139,4,Extend,<<,195,12.66
35241,4,Extend,<<,233,15.91
35344,4,Extend,<<,271,19.25
35446,4,Extend,<<,309,22.59
35549,4,Extend,<<,347,25.93
35651,4,Extend,<<,385,29.27
35753,4,Extend,<<,423,32.44
35856,4,Extend,<<,461,35.78
35959,4,Extend,<<,499,39.12
36061,4,Extend,<<,537,42.46
36164,4,Extend,<<,575,45.89
36266,4,Extend,<<,613,49.14
36368,4,Extend,<<,651,52.57
36470,4,Extend,<<,689,55.82
36573,4,Extend,<<,727,59.16
36675,4,Extend,<<,765,62.59
36777,4,Extend,<<,803,65.93
36881,4,Extend,<<,841,69.45
36983,4,Extend,<<,879,72.7
37086,4,Extend,<<,917,76.04
37188,4,Extend,<<,955,79.38
37290,4,Extend,<<,993,82.81
37393,4,Extend,<<,1031,86.07
37495,4,Extend,<<,1069,89.41
37597,4,Extend,<<,1107,92.66
37699,4,Extend,<<,1145,96.18
37801,4,Extend,<<,1183,99.52
37904,4,Extend,<<,1221,102.77
38006,4,Extend,<<,1259,106.11
38108,4,Extend,<<,1297,109.54
38210,4,Extend,<<,1335,112.97
38313,4,Extend,<<,1373,116.31
38415,4,Extend,<<,1411,119.47
38517,4,Extend,<<,1449,122.73
38619,4,Extend,<<,1487,126.07
5217560641,4,Extend,>>,-756,-57.67
