Frame,Time(ms),∠ABC,∠BCD,∠ABC_smooth,∠BCD_smooth
0,6408,12.83207717978695,2.7292966708043025,12.830754774161186,2.7874542965002083
1,6441,12.83207717978695,2.974315296621171,12.888134659089385,2.865915231624032
2,6474,12.606046513148897,3.2003459632591955,12.933585524525814,2.9381765629797263
3,6508,13.421835067886207,2.4569636764575193,12.967107370470474,3.0042382905672893
4,6541,13.307777304953532,2.974315296621171,12.988700196923364,3.0641004143867225
5,6574,12.968587199299066,3.494944822058926,12.99836400388452,3.1177629344380335
6,6608,12.649393958224522,3.229404786119204,12.959722472688323,3.1620530556314286
7,6641,12.649393958224522,3.229404786119204,12.986590477551097,3.1707711286447067
8,6674,13.125525209866368,3.229404786119204,12.909435171815925,3.3108130605030066
9,6708,13.125525209866368,2.9615945754551376,12.879304720914519,3.2965076041471075
10,6741,12.80766918963866,3.4744234119360726,12.943372564947822,3.263220981773846
11,6774,13.242664647975914,3.2003459632591955,12.939766386219482,3.353341200635313
12,6808,12.649393958224522,3.740146375810241,12.932945634366924,3.3594393046331845
13,6841,12.649393958224522,3.229404786119204,12.86507874336695,3.3330073860397778
14,6874,13.125525209866368,3.229404786119204,12.913822888770987,3.32328498550737
15,6908,12.74513610650203,3.452855878916239,12.86732237908435,3.2924737269769846
16,6941,13.125525209866368,2.986656351121127,12.798813716627674,3.3259234383277905
17,6974,12.80766918963866,3.229404786119204,12.881362012349683,3.2460829317356845
18,7008,12.968587199299066,3.494944822058926,12.970628757419375,3.3037500037777687
19,7041,12.373160034193376,3.5056387101503503,12.905097129127764,3.3112391629412583
20,7074,13.125525209866368,3.229404786119204,12.9599427538263,3.278105620893516
21,7108,13.351132811254331,3.0037971847312406,12.946039229780787,3.3048513281778327
22,7141,13.125525209866368,3.4744234119360726,12.894071696271492,3.3155417154948505
23,7174,12.373160034193376,3.237828499486284,12.843881503580096,3.295478466926297
24,7208,13.066092534951025,3.185045668252144,12.898720477809942,3.2636799518243937
25,7241,12.6263000904043,3.4608196949172054,12.753099518829673,3.2879004221708934
26,7274,12.46936207983697,3.4608196949172054,12.75697934883507,3.2009482922967614
27,7308,13.125525209866368,2.9615945754551376,12.823258867661952,3.1439694280443833
28,7341,13.125525209866368,2.9615945754551376,12.890535313574318,3.1688551965699157
