Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,Frame,∠ABC,∠BCD,∠ABC_smooth,∠BCD_smooth
15996,2,Flex,>>,-908,-72.0,377,298,608,288,12.444687736606113,3.447657687563634,12.748802644852546,3.4706767101456775
16106,2,Flex,>>,-972,-77.63,377,299,614,291,13.035361476886749,3.1757239569722913,12.714768708149034,3.554412940168013
16216,2,Flex,>>,-1036,-83.25,376,299,628,294,13.035361476886749,3.1757239569722913,13.018470143811268,3.2923995142681823
16325,2,Flex,>>,-1100,-88.79,376,299,640,298,12.92347140690137,3.447657687563634,12.964184436654499,3.3396539159736607
16435,2,Flex,>>,-1164,-94.42,375,297,642,301,12.606046513148897,3.447657687563634,12.935027064621375,3.3001482534353554
16545,2,Flex,>>,-1228,-100.04,375,299,642,304,12.601588391502673,3.466068927133392,12.716991044450854,3.445444641160079
16655,2,Flex,>>,-1292,-105.67,375,298,650,307,12.763427746295378,3.447657687563634,12.5412818826727,3.680925856824909
16764,2,Flex,>>,-1356,-111.38,375,298,650,311,12.601588391502673,3.9771359163198383,12.812576529909634,3.7871531292383818
16874,2,Flex,>>,-1420,-117.01,374,297,662,314,12.779892411881633,3.7286702332350217,12.88315213550689,3.723459087164003
16984,2,Flex,>>,-1484,-122.55,375,298,662,317,12.295377820999278,4.242365009643834,12.930723445921494,3.7182651069988135
17094,2,Flex,>>,-1548,-128.18,374,297,667,321,12.690244568090662,4.527599663661505,12.968945884133724,4.179404208231819
17205,2,Flex,>>,-1612,-133.71,374,297,666,324,13.504076339102596,5.067513345741361,13.593150190628922,4.893362888115238
17314,2,Flex,>>,-1676,-139.34,375,297,668,327,15.232630276457883,6.694918485850621,15.31470273159362,6.206149981823352
17424,2,Flex,>>,-1740,-144.88,373,297,679,330,16.932690101583546,6.889828173892198,16.774463363123072,7.292030434047102
17534,2,Flex,>>,-1804,-150.42,373,298,701,334,17.55307821358997,7.662457910256933,17.777281618064638,7.63576118188824
17644,2,Flex,>>,-1868,-156.04,371,298,709,337,18.336422898215858,7.37042383072577,18.143898498969854,7.67486313789346
17754,2,Flex,>>,-1932,-161.49,373,298,711,340,18.702162749406057,7.782566818948794,18.44261013003034,7.988231501834238
17863,2,Flex,>>,-1996,-167.03,371,297,716,344,18.904096677244468,8.860467649796561,18.949672545126347,8.596031310298773
17974,2,Flex,>>,-2060,-172.57,372,297,719,347,20.2246309308091,8.641454307101839,19.496033996143076,9.148484833801103
18083,2,Flex,>>,-2124,-178.02,373,296,729,350,20.017302745540604,10.046771792476136,20.019350595734227,9.998577657974748
