Frame,Time(ms),ABC_signed(deg),BCD_signed(deg),∠ABC,∠BCD,∠ABC_smooth,∠BCD_smooth
0,6893,-167.16792282021305,-177.2707033291957,12.83207717978695,2.7292966708043025,12.652131614753491,2.874470763775712
1,6926,-167.5553122633939,-176.7996540367408,12.444687736606113,3.2003459632591955,12.890461226195034,2.7959294458488464
2,6959,-167.16792282021305,-177.2707033291957,12.83207717978695,2.7292966708043025,13.08013742093678,2.741234719115958
3,6993,-166.19130563382888,-177.77162039041326,13.808694366171125,2.2283796095867388,13.221160198978726,2.710386583577047
4,7026,-166.69222269504647,-177.02568470337883,13.307777304953532,2.974315296621171,13.313529560320879,2.7033850392321135
5,7059,-166.0547743737213,-177.2707033291957,13.945225626278699,2.7292966708043025,13.35724550496326,2.7202300860811635
6,7093,-166.85049792646058,-177.78103875174332,13.149502073539423,2.218961248256676,13.38615037117701,2.7173430548255024
7,7126,-167.35060604177548,-176.7705952138808,12.649393958224522,3.229404786119204,13.199469659219186,2.926816048763146
8,7159,-166.87447479013363,-176.7705952138808,13.125525209866368,3.229404786119204,13.043506507923421,3.0201567769580784
9,7193,-166.87447479013363,-177.03840542454486,13.125525209866368,2.9615945754551376,12.928134167911956,3.070537815247966
10,7226,-166.9667232089734,-176.99620281526876,13.033276791026594,3.0037971847312406,12.837882131089346,3.1464040846716164
11,7259,-167.35060604177548,-176.52557658806393,12.649393958224522,3.4744234119360726,12.957641711973285,3.1348226943787605
12,7293,-166.85049792646058,-177.2707033291957,13.149502073539423,2.7292966708043025,13.076337047230309,2.9899587772381855
13,7326,-167.35060604177548,-176.7705952138808,12.649393958224522,3.229404786119204,13.065318595272306,2.9307087026406364
14,7359,-166.60039734145676,-177.31248287322174,13.399602658543245,2.6875171267782605,13.067551008898214,2.946245682254366
15,7393,-166.64886718874567,-177.23895125026684,13.351132811254331,2.7610487497331633,12.991223272364063,2.9521954315062926
16,7426,-166.87447479013363,-177.01334364887887,13.125525209866368,2.986656351121127,12.95054635799817,2.947202322620597
17,7459,-167.35060604177548,-177.01334364887887,12.649393958224522,2.986656351121127,12.947936868987233,2.9072483580655772
18,7493,-167.35060604177548,-176.7705952138808,12.649393958224522,3.229404786119204,12.994680235849925,2.9383482953354743
19,7526,-167.35060604177548,-177.03840542454486,12.649393958224522,2.9615945754551376,12.925413384597162,2.9921706783035793
20,7559,-166.60039734145676,-177.31248287322174,13.399602658543245,2.6875171267782605,13.067202150239531,2.928061493322086
21,7593,-166.37436667481873,-177.53851353985976,13.62563332518127,2.461486460140236,13.227269278563854,2.7990603282676583
22,7626,-166.87447479013363,-176.52557658806393,13.125525209866368,3.4744234119360726,13.380254553184109,2.697552771016583
23,7659,-166.75733535202409,-177.58258064289652,13.242664647975914,2.4174193571034834,13.401291266674153,2.5963411324236887
24,7693,-166.28080504035935,-177.58258064289652,13.719194959640646,2.4174193571034834,13.379198972023522,2.62161198435653
25,7726,-166.87447479013363,-177.55078183751584,13.125525209866368,2.449218162484158,13.216191033141163,2.6287662364289313
26,7759,-166.87447479013363,-177.30850319421964,13.125525209866368,2.6914968057803605,13.15440123506555,2.6394332984187843
27,7793,-167.03141280070093,-177.28093063642842,12.968587199299066,2.7190693635715775,13.125194879197407,2.62227802580753
28,7826,-166.87447479013363,-177.03840542454486,13.125525209866368,2.9615945754551376,12.995914348134878,2.7994759091761514
29,7859,-167.19233081036134,-177.30850319421964,12.80766918963866,2.6914968057803605,12.877799014156887,2.896765823263018
30,7893,-166.87447479013363,-177.03840542454486,13.125525209866368,2.9615945754551376,12.952749723058913,2.9154142769148947
31,7926,-167.19233081036134,-177.03840542454486,12.80766918963866,2.9615945754551376,12.967747509764925,2.887075644335045
32,7959,-167.19233081036134,-177.03840542454486,12.80766918963866,2.9615945754551376,13.045855765912696,2.8947538213794415
33,7993,-166.87447479013363,-177.03840542454486,13.125525209866368,2.9615945754551376,13.031671758808782,2.951439717293976
34,8026,-166.60039734145676,-177.31248287322174,13.399602658543245,2.6875171267782605,13.051576768662413,3.0060837996180405
35,8059,-167.03141280070093,-177.03840542454486,12.968587199299066,2.9615945754551376,13.059341424723304,2.9468239175198843
36,8093,-166.87447479013363,-176.79359263558595,13.125525209866368,3.206407364414048,13.03136760120816,2.9619463812243234
37,8126,-167.35060604177548,-176.79359263558595,12.649393958224522,3.206407364414048,12.987725222851038,2.976855658089044
38,8159,-166.9667232089734,-177.26401302593283,13.033276791026594,2.735986974067174,12.954730716884729,2.925336691287858
39,8193,-166.9667232089734,-177.26401302593283,13.033276791026594,2.735986974067174,12.863664207136221,2.9795538278291556
40,8226,-167.35060604177548,-176.79359263558595,12.649393958224522,3.206407364414048,12.879750306908988,3.0503134101328317
41,8259,-166.87447479013363,-177.03840542454486,13.125525209866368,2.9615945754551376,12.8677800358923,3.1365151454472495
42,8293,-167.03141280070093,-177.03840542454486,12.968587199299066,2.9615945754551376,12.927402292993243,3.164408965128522
43,8326,-167.46856473439252,-176.24934266403278,12.531435265607485,3.750657335967219,12.90283127275844,3.2466569763267508
44,8359,-166.87447479013363,-176.52557658806393,13.125525209866368,3.4744234119360726,12.985511406828328,3.2433953978424377
45,8393,-166.9667232089734,-176.99620281526876,13.033276791026594,3.0037971847312406,13.02437995975093,3.197785494466695
46,8426,-166.85049792646058,-177.29370075090083,13.149502073539423,2.7062992490991746,13.029306951237263,3.160971594249234
47,8459,-166.9667232089734,-176.75118418945186,13.033276791026594,3.2488158105481375,13.14936115084674,3.033127751252457
48,8493,-166.73893482732345,-176.97897257110185,13.261065172676552,3.021027428898151,13.20245907529864,2.8598718499062565
49,8526,-167.16792282021305,-177.02568470337883,12.83207717978695,2.974315296621171,13.021912224131514,2.8831480956287994
50,8559,-166.78013892333902,-177.25388292020227,13.219861076660976,2.7461170797977275,12.879093518740014,2.9605063832257486
51,8593,-166.9397246033896,-177.25388292020227,13.060275396610393,2.7461170797977275,12.737979865143561,2.934892013824349
52,8626,-167.64622147919985,-177.02568470337883,12.353778520800148,2.974315296621171,12.6339448491151,2.9018763143222857
53,8659,-167.92072199312682,-176.75118418945186,12.079278006873182,3.2488158105481375,12.643740010088043,2.9019766190656875
54,8693,-167.32928159675586,-177.02568470337883,12.670718403244138,2.974315296621171,12.643923965070709,2.952014903925649
55,8726,-167.16792282021305,-177.29370075090083,12.83207717978695,2.7062992490991746,12.640379469831938,3.044591471489097
56,8759,-167.07652859309863,-176.7996540367408,12.92347140690137,3.2003459632591955,12.676968275307978,3.1638495398246964
57,8793,-166.85049792646058,-177.02568470337883,13.149502073539423,2.974315296621171,12.817868403421764,3.2238667716012737
58,8826,-167.6037821106828,-176.4854612255777,12.3962178893172,3.514538774422306,12.844720652534853,3.2820735012771065
59,8859,-167.16792282021305,-176.51248510751796,12.83207717978695,3.4875148924820394,12.83880305191538,3.326095241277704
60,8893,-167.32928159675586,-176.51248510751796,12.670718403244138,3.4875148924820394,12.882735213561663,3.306721095491044
61,8926,-166.805805199313,-176.99620281526876,13.194194800687,3.0037971847312406,12.973357150282135,3.1316687522474576
62,8959,-167.03141280070093,-177.03840542454486,12.968587199299066,2.9615945754551376,13.043110865757706,3.0240190113565197
63,8993,-166.60039734145676,-177.31248287322174,13.399602658543245,2.6875171267782605,13.25904293677264,2.776907682346458
64,9026,-166.75733535202409,-177.31248287322174,13.242664647975914,2.6875171267782605,13.300485612868282,2.629504397041979
65,9059,-166.69222269504647,-177.53851353985976,13.307777304953532,2.461486460140236,13.273027772026108,2.5284863863273914
66,9093,-166.85049792646058,-177.2707033291957,13.149502073539423,2.7292966708043025,13.208965533936311,2.5606187345551428
67,9126,-166.464024478223,-177.74164998101722,13.535975521777004,2.2583500189827816,13.214783004744103,2.5889950917534845
68,9159,-167.16792282021305,-177.2707033291957,12.83207717978695,2.7292966708043025,13.109315294859442,2.6349447002233157
69,9193,-167.16792282021305,-177.2707033291957,12.83207717978695,2.7292966708043025,13.07855647307672,2.7035905107545775
70,9226,-166.69222269504647,-177.02568470337883,13.307777304953532,2.974315296621171,13.049140365819873,2.774721513050128
71,9259,-166.85049792646058,-177.2707033291957,13.149502073539423,2.7292966708043025,13.05021999385756,2.7994179259810146
72,9293,-167.16792282021305,-177.2707033291957,12.83207717978695,2.7292966708043025,13.046447223400179,2.847212922187701
73,9326,-166.80459486250726,-177.07158776733218,13.195405137492742,2.9284122326678244,13.15972016236292,2.7734520629907076
74,9359,-166.85049792646058,-177.2707033291957,13.149502073539423,2.7292966708043025,13.157371036458553,2.7567122742041104
75,9393,-166.85049792646058,-177.2707033291957,13.149502073539423,2.7292966708043025,13.098468238021908,2.751283812646155
76,9426,-166.85049792646058,-177.2707033291957,13.149502073539423,2.7292966708043025,13.051376548178144,2.822100082502346
77,9459,-166.85049792646058,-177.2707033291957,13.149502073539423,2.7292966708043025,12.88424744543373,2.898230278526412
78,9493,-167.16792282021305,-177.00516329325595,12.83207717978695,2.994836706744053,13.037584950611116,2.8557006683812154
79,9526,-167.16792282021305,-177.00516329325595,12.83207717978695,2.994836706744053,13.14558205104031,2.820719940660108
80,9559,-167.16792282021305,-177.00516329325595,12.83207717978695,2.994836706744053,13.213562110071813,2.834256979426966
81,9593,-166.78013892333902,-177.2333615100794,13.219861076660976,2.7666384899206093,13.359827418548335,2.7601383938290276
82,9626,-165.08007608849158,-177.77162039041326,14.91992391150842,2.2283796095867388,13.413357539229878,2.729121836997204
83,9659,-167.16792282021305,-177.2707033291957,12.83207717978695,2.7292966708043025,13.404009970676238,2.682203573665329
84,9693,-166.85049792646058,-177.00516329325595,13.149502073539423,2.994836706744053,13.383027051973741,2.6568986736323015
85,9726,-166.5781649321138,-177.54303632354248,13.421835067886207,2.4569636764575193,13.30150626674152,2.7293105724400064
86,9759,-167.32928159675586,-177.00516329325595,12.670718403244138,2.994836706744053,13.072974271256768,2.7605364499685443
87,9793,-167.05694860240908,-177.27749628760273,12.94305139759092,2.7225037123972697,12.838593519323368,2.8128113562396893
88,9826,-166.66700575899551,-177.26087880072222,13.332994241004485,2.7391211992777755,12.992033115745215,2.7996027905174383
89,9859,-167.1453044179823,-176.99743090216162,12.854695582017712,3.002569097838375,12.869960857686026,2.8058918062603313
90,9893,-167.46044014819404,-177.50608035447354,12.539559851805961,2.4939196455264607,12.784108381221913,2.854198478828185
91,9926,-167.1453044179823,-176.99743090216162,12.854695582017712,3.002569097838375,12.816836396466485,2.7881622882521264
92,9959,-167.05694860240908,-177.03229473385144,12.94305139759092,2.967705266148556,12.715384095556931,2.875565155209823
93,9993,-167.53833949878015,-177.27749628760273,12.461660501219853,2.7225037123972697,12.733780701136947,2.8662031152086334
94,10026,-167.1453044179823,-177.24279301233517,12.854695582017712,2.75720698766483,12.883114585681442,2.7107840797945926
95,10059,-166.98265763667413,-177.26087880072222,13.017342363325866,2.7391211992777755,13.028594436857677,2.6749903675412225
96,10093,-167.1453044179823,-176.99743090216162,12.854695582017712,3.002569097838375,12.965136186462217,2.6392465711444713
97,10126,-166.55782330537454,-177.77662158463727,13.44217669462546,2.223378415362731,13.010984516359763,2.6632618177151275
98,10159,-166.87476318781853,-177.77662158463727,13.12523681218147,2.223378415362731,13.006394007178084,2.7902286475606717
99,10193,-167.1453044179823,-176.73623997297875,12.854695582017712,3.263760027021249,12.929327808947464,2.8307287334279234
100,10226,-167.68902421506485,-176.76884683529082,12.310975784935152,3.231153164709184,12.863032918919254,2.905213516611831
101,10259,-166.78676971590264,-177.0390257217973,13.213230284097364,2.9609742782027126,12.850975567606504,2.99588675836345
102,10293,-167.37388848485307,-176.76884683529082,12.626111515146931,3.231153164709184,12.798969749904959,3.1279005338205508
103,10326,-166.98265763667413,-177.26087880072222,13.017342363325866,2.7391211992777755,12.871940428865704,3.217953274624848
104,10359,-167.05694860240908,-176.76884683529082,12.94305139759092,3.231153164709184,12.987867226438388,3.1590617230823064
105,10393,-166.89558982586627,-176.76884683529082,13.104410174133733,3.231153164709184,13.08405963117118,3.1471461655136697
106,10426,-167.05694860240908,-176.76884683529082,12.94305139759092,3.231153164709184,12.978948438307704,3.1572016286929605
107,10459,-166.89558982586627,-176.52122774466497,13.104410174133733,3.4787722553350306,13.031799359920454,3.1231442690690177
108,10493,-166.87476318781853,-177.26797213232538,13.12523681218147,2.732027867674617,12.943349216640058,3.0594189837128076
109,10526,-167.1453044179823,-177.24279301233517,12.854695582017712,2.75720698766483,12.970971866972906,2.8803572130182964
110,10559,-167.37388848485307,-177.03229473385144,12.626111515146931,2.967705266148556,12.968412069494676,2.7813606805127504
111,10593,-166.82836453553827,-177.24279301233517,13.17163546446173,2.75720698766483,12.951594872735903,2.726468290422691
112,10626,-167.1453044179823,-177.50608035447354,12.854695582017712,2.4939196455264607,12.93841470974598,2.7636922127992536
113,10659,-166.66700575899551,-177.26087880072222,13.332994241004485,2.7391211992777755,12.990493376234877,2.835665421700819
114,10693,-167.1453044179823,-176.99743090216162,12.854695582017712,3.002569097838375,13.089782586012294,2.784377373681068
115,10726,-167.1453044179823,-176.99743090216162,12.854695582017712,3.002569097838375,13.024863639612473,2.846416320698621
116,10759,-166.82836453553827,-176.99743090216162,13.17163546446173,3.002569097838375,12.971641469026654,2.856239850523795
117,10793,-166.82836453553827,-177.50608035447354,13.17163546446173,2.4939196455264607,13.021684358405423,2.864994466612734
118,10826,-167.05694860240908,-177.27749628760273,12.94305139759092,2.7225037123972697,12.95307678808902,2.85180949413214
119,10859,-167.4835746978917,-176.7418759511176,12.516425302108303,3.2581240488823937,12.98657064685781,2.8468774015235843
120,10893,-166.5781649321138,-177.54303632354248,13.421835067886207,2.4569636764575193,13.063695038814899,2.8006978486528107
121,10926,-166.85049792646058,-177.00516329325595,13.149502073539423,2.994836706744053,13.143857679620638,2.758054733420858
122,10959,-167.16792282021305,-177.00516329325595,12.83207717978695,2.994836706744053,13.182123296780006,2.84764617633238
123,10993,-166.5781649321138,-177.27749628760273,13.421835067886207,2.7225037123972697,13.234306020643697,2.8617987314552757
124,11026,-166.349580865243,-177.50608035447354,13.650419134756987,2.4939196455264607,13.252434251733806,2.902290489815485
125,11059,-166.85049792646058,-177.00516329325595,13.149502073539423,2.994836706744053,13.1603810552227,3.0070709883785307
126,11093,-167.23657225370462,-176.5339310728666,12.763427746295378,3.466068927133392,13.171246805023792,2.9735769352484973
127,11126,-166.85049792646058,-177.00516329325595,13.149502073539423,2.994836706744053,13.226237711431557,2.8919582135015833
128,11159,-166.85049792646058,-177.00516329325595,13.149502073539423,2.994836706744053,13.084547845726213,2.9989546524030035
129,11193,-166.85049792646058,-177.2707033291957,13.149502073539423,2.7292966708043025,12.977360905601678,3.0285657268205886
130,11226,-166.85049792646058,-177.2707033291957,13.149502073539423,2.7292966708043025,12.990600138335058,2.9344376782409656
131,11259,-166.85049792646058,-177.2707033291957,13.149502073539423,2.7292966708043025,12.961553608072117,2.9224936389522247
132,11293,-167.66803093552798,-176.25985362418976,12.33196906447202,3.740146375810241,12.89712737104675,2.9617866805137076
133,11326,-167.16792282021305,-177.2707033291957,12.83207717978695,2.7292966708043025,12.893596770004429,2.895597470540862
134,11359,-166.85049792646058,-177.2707033291957,13.149502073539423,2.7292966708043025,12.933523456879172,2.884888659954255
135,11393,-167.00833714016247,-177.02568470337883,12.991662859837533,2.974315296621171,13.045467478327712,2.8310556467130548
136,11426,-166.78013892333902,-177.49890154601917,13.219861076660976,2.5010984539808305,13.176177687720678,2.703019975086368
137,11459,-166.78013892333902,-177.49890154601917,13.219861076660976,2.5010984539808305,13.216219400004647,2.649543070675947
138,11493,-166.69222269504647,-177.02568470337883,13.307777304953532,2.974315296621171,13.16848135691901,2.7256025228978773
139,11526,-166.69222269504647,-177.2707033291957,13.307777304953532,2.7292966708043025,13.112083707383537,2.7777324902863048
140,11559,-167.07652859309863,-177.31248287322174,12.92347140690137,2.6875171267782605,13.14810391911588,2.8365047502646323
141,11593,-167.35060604177548,-176.7705952138808,12.649393958224522,3.229404786119204,13.09878995975364,2.9705293455168587
142,11626,-166.60039734145676,-177.31248287322174,13.399602658543245,2.6875171267782605,13.122308020918895,2.9438218322210608
143,11659,-166.87447479013363,-176.7705952138808,13.125525209866368,3.229404786119204,13.043768087864768,2.9974957685687835
144,11693,-166.64886718874567,-176.99620281526876,13.351132811254331,3.0037971847312406,13.017796847504627,3.0796331545644655
145,11726,-167.12499844038751,-176.99620281526876,12.875001559612485,3.0037971847312406,13.132690119826842,3.018487790536894
146,11759,-166.85049792646058,-177.2707033291957,13.149502073539423,2.7292966708043025,13.175461580538911,2.931158966227632
147,11793,-167.35060604177548,-176.52557658806393,12.649393958224522,3.4744234119360726,13.119171384830365,2.908755084157901
148,11826,-166.60039734145676,-177.31248287322174,13.399602658543245,2.6875171267782605,13.13851381584951,2.8648228632844175
149,11859,-166.37436667481873,-177.53851353985976,13.62563332518127,2.461486460140236,13.099444130936686,2.91958378899522
150,11893,-167.03141280070093,-177.01334364887887,12.968587199299066,2.986656351121127,13.096087880086714,2.953169994857218
151,11926,-167.03141280070093,-177.01334364887887,12.968587199299066,2.986656351121127,13.106387593459065,2.926173955766557
