Time(ms),MotorID,Phase,Direction,Position,Angle(deg)
26231,5,Extend,>>,195,17.14
26333,5,Extend,>>,158,17.14
26435,5,Extend,>>,121,15.03
26538,5,Extend,>>,84,12.04
26640,5,Extend,>>,47,8.88
26742,5,Extend,>>,10,5.71
26844,5,Extend,>>,-27,2.46
26947,5,Extend,>>,-64,-0.79
27049,5,Extend,>>,-101,-4.04
27151,5,Extend,>>,-138,-7.3
27254,5,Extend,>>,-175,-10.55
27356,5,Extend,>>,-212,-13.71
27459,5,Extend,>>,-249,-16.88
27561,5,Extend,>>,-286,-19.96
27663,5,Extend,>>,-323,-23.21
27766,5,Extend,>>,-360,-26.46
27868,5,Extend,>>,-397,-29.63
27971,5,Extend,>>,-434,-32.88
28073,5,Extend,>>,-471,-36.04
28175,5,Extend,>>,-508,-39.3
28277,5,Extend,>>,-545,-42.37
28380,5,Extend,>>,-582,-45.54
28482,5,Extend,>>,-619,-48.88
28584,5,Extend,>>,-656,-52.04
28686,5,Extend,>>,-693,-55.21
28788,5,Extend,>>,-730,-58.29
28890,5,Extend,>>,-767,-61.36
28992,5,Extend,>>,-804,-64.53
29094,5,Extend,>>,-841,-67.78
29197,5,Extend,>>,-878,-71.03
29299,5,Extend,>>,-915,-74.2
29401,5,Extend,>>,-952,-77.45
29504,5,Extend,>>,-989,-80.53
29608,5,Extend,>>,-1026,-83.6
29710,5,Extend,>>,-1063,-86.77
29813,5,Extend,>>,-1100,-89.93
29916,5,Extend,>>,-1137,-93.27
30019,5,Extend,>>,-1174,-96.53
30121,5,Extend,>>,-1211,-99.6
30223,5,Extend,>>,-1248,-102.77
30325,5,Extend,>>,-1285,-105.85
30428,5,Extend,>>,-1322,-109.01
30530,5,Extend,>>,-1359,-112.35
30633,5,Extend,>>,-1396,-115.6
30735,5,Extend,>>,-1433,-118.77
30838,5,Extend,>>,-1470,-122.02
30941,5,Extend,>>,-1507,-125.27
31043,5,Extend,>>,-1544,-128.35
31145,5,Extend,>>,-1581,-131.52
31249,5,Extend,>>,-1618,-134.77
31351,5,Extend,>>,-1655,-137.93
31453,5,Extend,>>,-1692,-141.19
31556,5,Extend,>>,-1729,-144.44
31658,5,Extend,>>,-1766,-147.6
31761,5,Extend,>>,-1803,-150.86
31864,5,Extend,>>,-1840,-154.11
31966,5,Extend,>>,-1877,-157.27
32069,5,Extend,>>,-1914,-160.53
32171,5,Extend,>>,-1951,-163.6
32274,5,Extend,>>,-1988,-166.68
32376,5,Extend,>>,-2025,-169.76
32479,5,Extend,<<,-2025,-172.84
32582,5,Extend,<<,-1988,-173.89
32684,5,Extend,<<,-1951,-173.98
32787,5,Extend,<<,-1914,-171.78
32890,5,Extend,<<,-1877,-168.88
32992,5,Extend,<<,-1840,-165.98
33095,5,Extend,<<,-1803,-162.73
33197,5,Extend,<<,-1766,-159.47
33300,5,Extend,<<,-1729,-156.31
33402,5,Extend,<<,-1692,-152.97
33505,5,Extend,<<,-1655,-149.71
33608,5,Extend,<<,-1618,-146.46
33711,5,Extend,<<,-1581,-143.12
33814,5,Extend,<<,-1544,-139.96
33916,5,Extend,<<,-1507,-136.79
34019,5,Extend,<<,-1470,-133.45
34121,5,Extend,<<,-1433,-130.29
34224,5,Extend,<<,-1396,-127.03
34327,5,Extend,<<,-1359,-123.69
34430,5,Extend,<<,-1322,-120.44
34532,5,Extend,<<,-1285,-117.27
34634,5,Extend,<<,-1248,-114.11
34737,5,Extend,<<,-1211,-110.86
34839,5,Extend,<<,-1174,-107.52
34942,5,Extend,<<,-1137,-104.35
35044,5,Extend,<<,-1100,-101.1
35146,5,Extend,<<,-1063,-97.76
35249,5,Extend,<<,-1026,-94.51
35352,5,Extend,<<,-989,-91.34
35455,5,Extend,<<,-952,-88.0
35558,5,Extend,<<,-915,-84.84
35660,5,Extend,<<,-878,-81.76
35763,5,Extend,<<,-841,-78.24
35865,5,Extend,<<,-804,-74.99
35967,5,Extend,<<,-767,-71.82
36070,5,Extend,<<,-730,-68.57
36172,5,Extend,<<,-693,-65.23
36274,5,Extend,<<,-656,-62.07
36377,5,Extend,<<,-619,-58.81
36479,5,Extend,<<,-582,-55.56
36581,5,Extend,<<,-545,-52.31
36683,5,Extend,<<,-508,-48.97
36785,5,Extend,<<,-471,-45.63
36887,5,Extend,<<,-434,-42.37
36989,5,Extend,<<,-397,-39.3
37092,5,Extend,<<,-360,-36.04
37194,5,Extend,<<,-323,-32.7
37296,5,Extend,<<,-286,-29.45
37398,5,Extend,<<,-249,-26.2
37501,5,Extend,<<,-212,-22.86
37602,5,Extend,<<,-175,-19.69
37705,5,Extend,<<,-138,-16.53
37807,5,Extend,<<,-101,-13.19
37910,5,Extend,<<,-64,-10.02
38013,5,Extend,<<,-27,-6.68
38116,5,Extend,<<,10,-3.34
38218,5,Extend,<<,47,-0.18
38321,5,Extend,<<,84,3.08
38423,5,Extend,<<,121,6.24
38526,5,Extend,<<,158,9.58
38628,5,Extend,<<,195,12.84
54805,5,Extend,>>,195,17.14
54908,5,Extend,>>,158,17.14
55010,5,Extend,>>,121,15.03
55112,5,Extend,>>,84,11.96
55215,5,Extend,>>,47,8.79
55317,5,Extend,>>,10,5.63
55419,5,Extend,>>,-27,2.46
55522,5,Extend,>>,-64,-0.88
55624,5,Extend,>>,-101,-4.13
55726,5,Extend,>>,-138,-7.38
55829,5,Extend,>>,-175,-10.64
55931,5,Extend,>>,-212,-13.71
56034,5,Extend,>>,-249,-16.97
56137,5,Extend,>>,-286,-20.04
56239,5,Extend,>>,-323,-23.21
56341,5,Extend,>>,-360,-26.46
56443,5,Extend,>>,-397,-29.54
56546,5,Extend,>>,-434,-32.88
56648,5,Extend,>>,-471,-36.04
56751,5,Extend,>>,-508,-39.3
56853,5,Extend,>>,-545,-42.37
56956,5,Extend,>>,-582,-45.54
57058,5,Extend,>>,-619,-48.88
57161,5,Extend,>>,-656,-52.13
57263,5,Extend,>>,-693,-55.21
57365,5,Extend,>>,-730,-58.29
57468,5,Extend,>>,-767,-61.45
57570,5,Extend,>>,-804,-64.62
57672,5,Extend,>>,-841,-67.87
57774,5,Extend,>>,-878,-71.03
57877,5,Extend,>>,-915,-74.2
57979,5,Extend,>>,-952,-77.45
58083,5,Extend,>>,-989,-80.62
58185,5,Extend,>>,-1026,-83.69
58288,5,Extend,>>,-1063,-86.86
58390,5,Extend,>>,-1100,-90.11
58492,5,Extend,>>,-1137,-93.36
58595,5,Extend,>>,-1174,-96.62
58697,5,Extend,>>,-1211,-99.69
58800,5,Extend,>>,-1248,-102.86
58903,5,Extend,>>,-1285,-106.02
59006,5,Extend,>>,-1322,-109.1
59108,5,Extend,>>,-1359,-112.44
59211,5,Extend,>>,-1396,-115.78
59314,5,Extend,>>,-1433,-118.95
59416,5,Extend,>>,-1470,-122.2
59519,5,Extend,>>,-1507,-125.36
59622,5,Extend,>>,-1544,-128.44
59724,5,Extend,>>,-1581,-131.6
59827,5,Extend,>>,-1618,-134.95
59930,5,Extend,>>,-1655,-138.11
60033,5,Extend,>>,-1692,-141.36
60136,5,Extend,>>,-1729,-144.53
60239,5,Extend,>>,-1766,-147.6
60341,5,Extend,>>,-1803,-150.77
60444,5,Extend,>>,-1840,-153.85
60546,5,Extend,>>,-1877,-157.19
60649,5,Extend,>>,-1914,-160.53
60752,5,Extend,>>,-1951,-163.69
60855,5,Extend,>>,-1988,-166.68
60958,5,Extend,>>,-2025,-169.76
61060,5,Extend,<<,-2025,-172.92
61164,5,Extend,<<,-1988,-173.98
61267,5,Extend,<<,-1951,-174.07
61369,5,Extend,<<,-1914,-171.87
61472,5,Extend,<<,-1877,-168.97
61575,5,Extend,<<,-1840,-165.98
61678,5,Extend,<<,-1803,-162.73
61780,5,Extend,<<,-1766,-159.56
61883,5,Extend,<<,-1729,-156.31
61985,5,Extend,<<,-1692,-153.05
62088,5,Extend,<<,-1655,-149.71
62190,5,Extend,<<,-1618,-146.55
62293,5,Extend,<<,-1581,-143.21
62395,5,Extend,<<,-1544,-139.96
62498,5,Extend,<<,-1507,-136.79
62600,5,Extend,<<,-1470,-133.45
62703,5,Extend,<<,-1433,-130.29
62806,5,Extend,<<,-1396,-127.03
62908,5,Extend,<<,-1359,-123.78
63011,5,Extend,<<,-1322,-120.53
63114,5,Extend,<<,-1285,-117.36
63216,5,Extend,<<,-1248,-114.11
63319,5,Extend,<<,-1211,-110.95
63422,5,Extend,<<,-1174,-107.6
63524,5,Extend,<<,-1137,-104.44
63627,5,Extend,<<,-1100,-101.19
63729,5,Extend,<<,-1063,-97.85
63831,5,Extend,<<,-1026,-94.59
63935,5,Extend,<<,-989,-91.34
64038,5,Extend,<<,-952,-88.09
64140,5,Extend,<<,-915,-84.84
64243,5,Extend,<<,-878,-81.76
64346,5,Extend,<<,-841,-78.33
64448,5,Extend,<<,-804,-74.99
64552,5,Extend,<<,-767,-71.82
64654,5,Extend,<<,-730,-68.57
64756,5,Extend,<<,-693,-65.23
64859,5,Extend,<<,-656,-61.98
64961,5,Extend,<<,-619,-58.81
65063,5,Extend,<<,-582,-55.56
65166,5,Extend,<<,-545,-52.31
65269,5,Extend,<<,-508,-48.97
65371,5,Extend,<<,-471,-45.63
65474,5,Extend,<<,-434,-42.37
65577,5,Extend,<<,-397,-39.3
65680,5,Extend,<<,-360,-36.04
65782,5,Extend,<<,-323,-32.7
65885,5,Extend,<<,-286,-29.45
65988,5,Extend,<<,-249,-26.2
66090,5,Extend,<<,-212,-22.95
66192,5,Extend,<<,-175,-19.69
66295,5,Extend,<<,-138,-16.53
66397,5,Extend,<<,-101,-13.19
66499,5,Extend,<<,-64,-10.02
66601,5,Extend,<<,-27,-6.68
66703,5,Extend,<<,10,-3.43
66805,5,Extend,<<,47,-0.18
66907,5,Extend,<<,84,3.08
67009,5,Extend,<<,121,6.24
67112,5,Extend,<<,158,9.49
67214,5,Extend,<<,195,12.84
83350,5,Extend,>>,195,17.14
83453,5,Extend,>>,158,17.14
83555,5,Extend,>>,121,15.03
83657,5,Extend,>>,84,11.87
83760,5,Extend,>>,47,8.62
83863,5,Extend,>>,10,5.54
83965,5,Extend,>>,-27,2.29
84067,5,Extend,>>,-64,-0.97
84169,5,Extend,>>,-101,-4.22
84272,5,Extend,>>,-138,-7.38
84374,5,Extend,>>,-175,-10.73
84476,5,Extend,>>,-212,-13.89
84579,5,Extend,>>,-249,-17.05
84681,5,Extend,>>,-286,-20.22
84783,5,Extend,>>,-323,-23.47
84886,5,Extend,>>,-360,-26.73
84988,5,Extend,>>,-397,-29.8
85090,5,Extend,>>,-434,-33.05
85192,5,Extend,>>,-471,-36.31
85294,5,Extend,>>,-508,-39.47
85397,5,Extend,>>,-545,-42.64
85498,5,Extend,>>,-582,-45.8
85601,5,Extend,>>,-619,-49.05
85703,5,Extend,>>,-656,-52.31
85806,5,Extend,>>,-693,-55.47
85908,5,Extend,>>,-730,-58.55
86010,5,Extend,>>,-767,-61.63
86113,5,Extend,>>,-804,-64.97
86215,5,Extend,>>,-841,-68.13
86317,5,Extend,>>,-878,-71.3
86420,5,Extend,>>,-915,-74.46
86522,5,Extend,>>,-952,-77.71
86624,5,Extend,>>,-989,-80.88
86727,5,Extend,>>,-1026,-83.96
86829,5,Extend,>>,-1063,-87.12
86931,5,Extend,>>,-1100,-90.46
87033,5,Extend,>>,-1137,-93.8
87135,5,Extend,>>,-1174,-96.97
87239,5,Extend,>>,-1211,-100.13
87341,5,Extend,>>,-1248,-103.21
87445,5,Extend,>>,-1285,-106.37
