Time(ms),SensorA0,SensorA1,SensorA2
165150,406,372,515
165164,403,374,515
165245,406,373,519
165259,404,371,516
165273,403,371,513
165354,407,373,517
165369,405,372,511
165384,402,372,513
165464,404,375,516
165479,405,371,513
165494,401,370,513
165574,404,373,516
165589,403,372,514
165603,403,375,513
166951,407,374,519
166966,408,375,519
166981,406,374,519
167063,406,372,516
167077,403,372,515
167093,402,372,514
167174,405,374,513
167188,404,370,512
167203,403,371,513
167283,403,371,512
167297,403,373,510
167312,402,370,511
167392,403,373,514
167407,403,371,512
167421,403,370,511
167502,404,373,511
167516,403,373,511
167531,403,372,509
167611,404,372,511
167626,400,371,508
167640,402,373,511
167721,405,370,509
167736,402,371,509
167750,400,369,508
167831,405,373,509
167845,404,371,508
167860,402,370,506
167941,403,372,508
167955,402,370,504
167970,403,371,505
168050,404,372,505
168065,403,369,504
168079,401,367,500
168160,403,371,501
168174,402,371,502
168189,401,371,499
168269,401,371,500
168284,399,369,497
168298,402,370,495
168379,402,368,496
168393,400,369,494
168408,400,365,493
168488,400,367,492
168503,400,366,491
168518,399,365,490
168598,399,366,489
168613,397,365,488
168628,398,369,486
168708,399,366,485
168723,398,364,483
168737,398,361,479
168818,399,364,481
168832,397,363,479
168847,398,362,478
168927,398,360,476
168942,396,359,474
168956,397,354,468
169037,395,353,467
169051,395,354,466
169066,393,350,464
169146,394,346,456
169161,393,347,453
169175,393,343,450
169256,394,346,448
169270,392,344,448
169285,390,344,445
169365,391,343,444
169380,390,340,441
169395,388,341,439
169475,390,342,438
169490,390,340,434
169504,388,338,431
169585,388,340,429
169599,388,340,427
169614,386,337,422
169694,389,339,420
169709,385,340,418
169723,384,338,417
169804,384,338,414
169818,385,341,410
169833,382,338,409
169913,385,340,407
169928,385,336,404
169942,382,337,401
170023,383,338,398
170037,380,334,395
170052,378,335,393
170132,377,333,395
170147,378,334,390
170161,375,333,390
170242,374,329,385
170257,373,328,384
170271,370,325,380
170352,372,325,376
170366,371,323,373
170381,367,321,374
170461,367,317,371
170476,366,316,369
170490,365,314,369
170571,366,308,363
170586,363,310,360
170600,362,306,359
170681,360,304,361
170695,361,304,361
170710,359,305,359
170790,355,299,358
170805,354,300,355
170820,352,298,357
170900,350,296,358
170915,348,296,356
170930,343,294,355
171011,344,294,356
171025,342,294,356
171040,341,294,354
171120,337,292,354
171135,337,296,355
171150,334,289,352
171230,330,290,354
171245,331,290,355
171259,326,286,353
171340,323,285,353
