phase,plot,active_csv,sensor_norm_lo,sensor_norm_hi,linear_coeffs,quadratic_coeffs,R2_linear,MSE_linear,R2_quadratic,MSE_quadratic
Flex,D:\Soft_glove\models\middle\R_theta_direct\R_theta_Flex.png,D:\Soft_glove\models\middle\R_theta_direct\R_theta_Flex_active.csv,423.28,805.0,"[9.316908486293375, 22.69258464172169]","[11.043234948043624, -1.9083413718039974, 24.39960959653406]",0.13405004142804922,58.15936350901385,0.14407703371803515,57.48592564609499
Extend,D:\Soft_glove\models\middle\R_theta_direct\R_theta_Extend.png,D:\Soft_glove\models\middle\R_theta_direct\R_theta_Extend_active.csv,349.0,584.0,"[9.761748501762368, 54.12493044266059]","[-3.971034020229926, 13.329013128244258, 53.863057092931946]",0.12267843826764058,84.344567113819,0.12344656508021923,84.2707203895147
