Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABD_smooth,angle_smooth,dmotor,cycle
109878,1,Flex,>>,810,80.62,620,523,744,40.29024324017404,87.296,-3.2519999999999953,3
109989,1,Flex,>>,771,77.45,619,527,749,39.79798201722758,84.044,-3.2520000000000095,3
110100,1,Flex,>>,732,74.37,621,534,756,39.5406236612457,80.772,-3.2719999999999914,3
110211,1,Flex,>>,693,71.38,620,539,762,39.25300759708003,77.572,-3.200000000000003,3
110322,1,Flex,>>,654,68.57,621,541,753,38.67925867495982,74.478,-3.0940000000000083,3
110434,1,Flex,>>,615,65.67,617,538,760,38.50823295034767,71.488,-2.989999999999995,3
110546,1,Flex,>>,576,62.51,614,537,756,38.291780521668215,68.5,-2.9879999999999995,3
110657,1,Flex,<<,576,59.78,614,541,758,37.96180155691111,65.58200000000001,-2.917999999999992,3
110767,1,Flex,<<,615,59.08,621,550,765,37.87738297345995,63.122,-2.460000000000008,3
110877,1,Flex,<<,654,59.08,634,558,781,37.92161424725397,61.224000000000004,-1.8979999999999961,3
110987,1,Flex,<<,693,59.08,633,556,781,37.65500776882224,59.90599999999999,-1.318000000000012,3
111098,1,Flex,<<,732,61.19,630,556,777,37.64319542302045,59.641999999999996,-0.2639999999999958,3
135200,1,Flex,>>,2760,247.74,388,349,533,48.69895701631928,253.152,-0.7720000000000482,4
135314,1,Flex,>>,2721,244.48,388,349,531,49.40074062953079,250.77800000000002,-2.373999999999967,4
135428,1,Flex,>>,2682,241.14,389,347,531,51.0063413868365,247.73600000000002,-3.0420000000000016,4
135539,1,Flex,>>,2643,237.8,392,350,532,52.379291638048535,244.448,-3.288000000000011,4
135652,1,Flex,>>,2604,234.46,396,348,533,53.61855882780895,241.12399999999997,-3.3240000000000407,4
135764,1,Flex,>>,2565,231.03,401,349,532,54.28590893207904,237.78199999999998,-3.3419999999999845,4
135875,1,Flex,>>,2526,227.78,411,348,530,54.99102725147594,234.442,-3.339999999999975,4
135989,1,Flex,>>,2487,224.44,417,348,529,55.71521551893942,231.102,-3.3400000000000034,4
136102,1,Flex,>>,2448,221.1,422,348,530,56.32791904848075,227.762,-3.3400000000000034,4
136216,1,Flex,>>,2409,217.67,427,346,531,56.940786810177855,224.404,-3.358000000000004,4
136330,1,Flex,>>,2370,214.24,436,349,531,57.64494314978749,221.046,-3.358000000000004,4
136444,1,Flex,>>,2331,210.81,441,347,530,58.11069450619193,217.652,-3.3940000000000055,4
136558,1,Flex,>>,2292,207.47,441,348,531,58.75162352884043,214.25799999999998,-3.3940000000000055,4
136672,1,Flex,>>,2253,204.13,453,349,534,59.20588909997316,210.86400000000003,-3.3939999999999486,4
136785,1,Flex,>>,2214,200.79,457,348,534,59.35634553017958,207.488,-3.376000000000033,4
136897,1,Flex,>>,2175,197.36,484,349,533,59.58063990277335,204.112,-3.3760000000000048,4
137009,1,Flex,>>,2136,193.76,488,348,536,59.86734916008694,200.702,-3.4099999999999966,4
137120,1,Flex,>>,2097,190.24,495,351,538,59.882452789786505,197.256,-3.445999999999998,4
