phase,prior_from,"prior_coeffs(a,b,c)",affine_source,affine_a,affine_b,affine_info,"final_quad_coeffs(a,b,c)",final_R2,final_MSE,N_points,active_csv,plot
Flex,summary,"-6.03968, -41.8075, 33.2244",auto_ls,-0.015381278687662715,28.70490662384686,"{""N"": 429}","0.092898, 0.643053, 28.1939",1.0,1.8582547234968431e-28,429,C:\Users\nicey\Desktop\Soft_glove\models\middle\middle_Flex_active.csv,C:\Users\nicey\Desktop\Soft_glove\models\middle\middle_Flex_transfer_fit.png
Extend,summary,"12.7013, 63.7265, 78.3464",auto_ls,-0.03263847983709627,58.10457465217032,"{""N"": 435}","-0.414551, -2.07994, 55.5475",1.0,4.844440155795867e-28,435,C:\Users\nicey\Desktop\Soft_glove\models\middle\middle_Extend_active.csv,C:\Users\nicey\Desktop\Soft_glove\models\middle\middle_Extend_transfer_fit.png
