Time(ms),MotorID,Phase,Direction,Position,Angle(deg),Frame,∠ABC,∠BCD
12484,2,Flex,>>,1240,109.01,372.0,131.05333419193443,141.67777098517237
12586,2,Flex,>>,1180,109.01,376.0,129.32926292745455,141.39925769368202
12687,2,Flex,>>,1120,105.76,379.0,128.90237140334494,140.53982917310918
12790,2,Flex,>>,1060,100.92,382.0,128.13486073727455,139.37152969307215
12892,2,Flex,>>,1000,95.82,385.0,127.20221747845508,138.65108025012105
12994,2,Flex,>>,940,90.55,388.0,126.14569181167813,137.3832632752552
13096,2,Flex,>>,880,85.36,391.0,124.75455743817032,136.75228802681934
13199,2,Flex,>>,820,80.18,394.0,124.59735358240613,136.27509693686522
13300,2,Flex,>>,760,74.9,397.0,124.05732754281199,135.90369776692555
13403,2,Flex,>>,700,69.63,400.0,123.00846032516536,135.77836328026618
13505,2,Flex,>>,640,64.44,403.0,121.97518132894314,135.03217779034557
13606,2,Flex,>>,580,59.25,406.0,121.87286866814924,134.8003185705749
13708,2,Flex,>>,520,54.07,409.0,120.27372747745574,134.21624889446014
13810,2,Flex,>>,460,48.62,412.0,120.39986571650176,133.4470887466378
13913,2,Flex,>>,400,43.52,415.0,119.88362674872006,133.5133081909725
14015,2,Flex,>>,340,38.33,418.0,118.8727203200696,132.98163962840837
14117,2,Flex,>>,280,33.05,421.0,117.67124801723632,132.5828035948487
14219,2,Flex,>>,220,27.78,425.0,116.66302224154795,132.01384985240855
14322,2,Flex,>>,160,22.42,428.0,116.66302224154795,131.76374548016366
14424,2,Flex,>>,100,17.23,431.0,116.66302224154795,131.46014114309673
14526,2,Flex,>>,40,12.04,434.0,117.12447476457903,131.55239732937747
14629,2,Flex,>>,-20,6.86,437.0,117.72393770607889,131.90131184126756
14731,2,Flex,>>,-80,1.49,440.0,118.42619694471378,132.5650959346477
14833,2,Flex,>>,-140,-3.69,443.0,120.21069037970722,133.12325009685225
14935,2,Flex,>>,-200,-8.88,446.0,122.15045590850455,133.891981952183
15038,2,Flex,>>,-260,-14.15,449.0,123.83415461897128,133.81549014265278
15140,2,Flex,>>,-320,-19.34,452.0,123.73899861689247,134.56608633031985
15242,2,Flex,>>,-380,-24.62,455.0,124.48357309717164,134.85175188140568
15345,2,Flex,>>,-440,-29.89,458.0,124.70557368218135,135.52200176975538
15447,2,Flex,>>,-500,-35.25,461.0,125.74792788774063,134.5445369489104
15549,2,Flex,>>,-560,-40.35,464.0,125.78213380545992,135.32964087255615
15652,2,Flex,>>,-620,-45.63,467.0,126.4351952595139,135.28925778858792
15754,2,Flex,>>,-680,-50.81,471.0,126.84479308707301,136.33633459977898
15857,2,Flex,>>,-740,-56.09,474.0,127.36995390512249,135.9766879895146
15959,2,Flex,>>,-800,-61.27,477.0,127.55332100832015,136.48889681076355
16061,2,Flex,>>,-860,-66.37,480.0,127.82421203876653,136.80215750060324
16164,2,Flex,>>,-920,-71.56,483.0,128.52857832133756,136.52851204771144
16266,2,Flex,>>,-980,-76.75,486.0,128.19289063101147,137.25498746551756
16369,2,Flex,>>,-1040,-82.02,489.0,129.20002001014228,136.56549248661887
16471,2,Flex,>>,-1100,-87.21,492.0,129.01746115390728,137.68977032315047
16574,2,Flex,>>,-1160,-92.48,495.0,129.84369688056202,137.60704621832247
16676,2,Flex,>>,-1220,-97.76,498.0,130.59916048552716,138.22725503658123
16778,2,Flex,>>,-1280,-102.95,501.0,130.84002371618433,138.22904286947139
16880,2,Flex,>>,-1340,-108.13,504.0,131.7656025683962,138.06209345423187
16983,2,Flex,>>,-1400,-113.23,507.0,132.2537892815431,138.79903694465028
17085,2,Flex,>>,-1460,-118.59,510.0,133.33113593689288,139.05817511925375
17187,2,Flex,>>,-1520,-123.87,514.0,135.03294409624112,140.20941141009885
17289,2,Flex,>>,-1580,-129.05,517.0,135.96142342117034,140.39026594881028
17392,2,Flex,>>,-1640,-134.24,520.0,136.5558283728895,141.31076498365547
17494,2,Flex,>>,-1700,-139.43,523.0,137.51312767531965,141.647105574259
17596,2,Flex,>>,-1760,-144.62,526.0,138.51451586654733,142.2017523026413
17699,2,Flex,>>,-1820,-149.71,529.0,139.6819279666204,141.99836463132965
17801,2,Flex,>>,-1880,-154.9,532.0,141.05297815109708,142.50702723194243
17904,2,Flex,>>,-1940,-160.0,535.0,142.12554516630803,143.03079791716632
18006,2,Flex,>>,-2000,-165.01,538.0,142.49682503263355,143.18512014538385
18108,2,Flex,>>,-2060,-170.2,541.0,142.41720533060607,144.31493110528717
18210,2,Flex,>>,-2120,-175.21,544.0,143.92598010132104,144.10262248829193
18313,2,Flex,>>,-2180,-180.31,547.0,144.48641260915045,144.71679698791658
18415,2,Flex,>>,-2240,-185.32,550.0,144.84159706254994,145.48357359089422
18517,2,Flex,>>,-2300,-190.42,553.0,145.2976291845921,145.17633497001572
18620,2,Flex,>>,-2360,-195.43,557.0,146.27999538704336,146.12768138344435
18722,2,Flex,<<,-2360,-200.35,560.0,146.38098738364494,146.93651014988473
18825,2,Flex,<<,-2300,-201.85,563.0,146.30561156607973,147.30906472498364
18927,2,Flex,<<,-2240,-201.85,566.0,146.9257889091387,147.43234319823299
19029,2,Flex,<<,-2180,-197.8,569.0,147.35535986508353,147.552966461731
19131,2,Flex,<<,-2120,-192.88,572.0,147.41283320325766,148.4203625288613
19234,2,Flex,<<,-2060,-187.87,575.0,147.5426261298611,148.5405736241469
19337,2,Flex,<<,-2000,-182.59,578.0,147.2297275319935,148.90783364097913
19439,2,Flex,<<,-1940,-177.49,581.0,147.8473308809409,148.6566193479692
19541,2,Flex,<<,-1880,-172.31,584.0,147.29270372182214,149.46190425306835
19644,2,Flex,<<,-1820,-166.86,587.0,147.35869847996437,149.3866779541271
19747,2,Flex,<<,-1760,-161.67,590.0,147.83195715286564,149.8969714493999
19849,2,Flex,<<,-1700,-156.48,593.0,148.15459539167816,149.57433321058738
19952,2,Flex,<<,-1640,-151.12,596.0,147.52288198991386,149.53212806488412
20054,2,Flex,<<,-1580,-146.02,600.0,147.76556578105863,149.53212806488412
20156,2,Flex,<<,-1520,-140.57,603.0,147.7120766846923,149.46190425306835
20259,2,Flex,<<,-1460,-135.3,606.0,147.77941721649304,149.3866779541271
20361,2,Flex,<<,-1400,-130.2,609.0,147.77941721649304,149.3866779541271
20464,2,Flex,<<,-1340,-124.92,612.0,148.02191766657364,149.3866779541271
20566,2,Flex,<<,-1280,-119.56,615.0,147.95830768428456,149.712702245082
20668,2,Flex,<<,-1220,-114.2,618.0,147.75164133079295,149.96176789684682
20771,2,Flex,<<,-1160,-109.1,621.0,147.82422606388997,149.96176789684682
20873,2,Flex,<<,-1100,-103.74,624.0,148.3928723902322,149.19644985636864
20976,2,Flex,<<,-1040,-98.46,627.0,148.22561987452858,149.26490940501222
21078,2,Flex,<<,-980,-93.27,630.0,148.02089238375044,149.93481891878787
21180,2,Flex,<<,-920,-88.09,633.0,147.73318042510962,149.9246013701348
21282,2,Flex,<<,-860,-82.73,636.0,147.2083451248248,149.7732672799878
21385,2,Flex,<<,-800,-77.45,639.0,147.73318042510962,149.48888180465906
21487,2,Flex,<<,-740,-72.18,643.0,147.877396215014,149.82370369258788
21589,2,Flex,<<,-680,-66.81,646.0,147.76365231719004,149.4051634774339
21692,2,Flex,<<,-620,-61.63,649.0,148.28814731860885,148.6911041243792
21795,2,Flex,<<,-560,-56.26,652.0,147.42937501598234,149.73944077864155
21898,2,Flex,<<,-500,-51.08,655.0,147.3318984208516,150.07702689986243
22001,2,Flex,<<,-440,-45.89,658.0,147.66948454207244,149.73944077864155
22103,2,Flex,<<,-380,-40.62,661.0,147.74605197826662,149.67639313745002
22206,2,Flex,<<,-320,-35.34,664.0,147.3318984208516,149.6473530221365
22308,2,Flex,<<,-260,-30.07,667.0,147.57136974651016,149.708106890355
22410,2,Flex,<<,-200,-24.7,670.0,148.64927349030276,149.73072766787925
22513,2,Flex,<<,-140,-19.43,673.0,148.9686729879283,149.36410143134486
22615,2,Flex,<<,-80,-14.24,676.0,148.9686729879283,149.73072766787925
22717,2,Flex,<<,-20,-8.97,679.0,148.3660218995111,149.708106890355
22820,2,Flex,<<,40,-3.69,683.0,148.8289593632837,149.02592601230805
22922,2,Flex,<<,100,1.58,686.0,148.46520809481171,149.73944077864155
23024,2,Flex,<<,160,6.95,689.0,148.50998592213642,149.45559989003394
23126,2,Flex,<<,220,12.22,692.0,147.908955867731,150.17371444984198
23228,2,Flex,<<,280,17.41,695.0,148.19279675633865,149.82370369258788
23330,2,Flex,<<,340,22.68,698.0,147.74605197826662,150.17371444984198
23432,2,Flex,<<,400,27.96,701.0,148.36471475480306,149.48888180465906
23534,2,Flex,<<,460,33.14,704.0,147.98642442451643,150.17371444984198
23636,2,Flex,<<,520,38.42,707.0,147.74605197826662,150.91192613711965
23738,2,Flex,<<,580,43.69,710.0,148.44192821534358,150.29326336058327
23840,2,Flex,<<,640,48.88,713.0,148.1236963046818,151.0278157825279
23942,2,Flex,<<,700,54.33,716.0,149.1394765793192,150.40813483011445
24045,2,Flex,<<,760,59.6,719.0,148.19999488497064,151.75849647897465
24148,2,Flex,<<,820,64.79,722.0,147.88203780689602,152.656314457665
24250,2,Flex,<<,880,70.07,725.0,149.12227510497914,152.51086196028183
24352,2,Flex,<<,940,75.34,728.0,149.8239086087995,152.38904790945503
24454,2,Flex,<<,1000,80.62,732.0,150.27238397911532,152.64276199951746
24556,2,Flex,<<,1060,85.89,735.0,150.8795023570681,153.6260280900721
24658,2,Flex,<<,1120,91.16,738.0,150.94220120301404,154.1927446067034
24760,2,Flex,<<,1180,96.53,741.0,151.37584230471842,153.6232369666813
24862,2,Flex,<<,1240,101.71,744.0,151.73267959809806,153.54389770521144
26231,5,Extend,>>,195,17.14,785.0,170.5932307279151,168.09938848680554
26333,5,Extend,>>,158,17.14,788.0,172.19252697907473,169.23452280630408
26435,5,Extend,>>,121,15.03,791.0,173.7347481364087,170.22494683334855
26538,5,Extend,>>,84,12.04,794.0,175.0462043926872,170.90219854438635
26640,5,Extend,>>,47,8.88,797.0,175.69150294145473,172.00028443526153
26742,5,Extend,>>,10,5.71,800.0,176.8872357368757,172.6501457474352
26844,5,Extend,>>,-27,2.46,803.0,178.29049819840895,173.30379100811092
26947,5,Extend,>>,-64,-0.79,806.0,179.60438430880643,173.19527048976624
27049,5,Extend,>>,-101,-4.04,809.0,179.92694974695812,174.61687012594174
27151,5,Extend,>>,-138,-7.3,812.0,179.066937752304,174.81644261840844
27254,5,Extend,>>,-175,-10.55,816.0,177.11055688897525,175.39259124010556
27356,5,Extend,>>,-212,-13.71,819.0,176.16489164159472,176.01269738847174
27459,5,Extend,>>,-249,-16.88,822.0,175.54084776459126,176.6238295247495
27561,5,Extend,>>,-286,-19.96,825.0,174.97386740879838,177.2960325385225
27663,5,Extend,>>,-323,-23.21,828.0,174.27434554815497,177.19754848013312
27766,5,Extend,>>,-360,-26.46,831.0,173.46304843635534,177.86752259716226
27868,5,Extend,>>,-397,-29.63,834.0,173.3986964832387,178.1705356651529
27971,5,Extend,>>,-434,-32.88,837.0,173.38999758802527,178.37712178473686
28073,5,Extend,>>,-471,-36.04,840.0,172.7286348669042,177.95387038542566
28175,5,Extend,>>,-508,-39.3,843.0,172.59193259683067,178.30469058174614
28277,5,Extend,>>,-545,-42.37,846.0,172.87816292305536,178.3794777512136
28380,5,Extend,>>,-582,-45.54,849.0,172.14073425963053,178.0145414154832
28482,5,Extend,>>,-619,-48.88,852.0,173.67076910681072,178.44185331701306
28584,5,Extend,>>,-656,-52.04,855.0,173.83041794917278,178.1074367667002
28686,5,Extend,>>,-693,-55.21,859.0,173.67365513617756,177.83432072717753
28788,5,Extend,>>,-730,-58.29,862.0,174.45723549186212,177.86752259716226
28890,5,Extend,>>,-767,-61.36,865.0,174.77121264853076,178.29223907198622
28992,5,Extend,>>,-804,-64.53,868.0,174.85780672035287,177.26294583391834
29094,5,Extend,>>,-841,-67.78,871.0,176.94472835526008,177.76634429761992
29197,5,Extend,>>,-878,-71.03,874.0,176.77917855167493,177.46498980937122
29299,5,Extend,>>,-915,-74.2,877.0,177.49946442302866,177.20355599127535
29401,5,Extend,>>,-952,-77.45,880.0,178.33389243668142,176.92718465952896
