Time(ms),MotorID,Phase,Direction,Position,Angle(deg)
12497,3,Flex,>>,158,13.89
12599,3,Flex,>>,95,13.89
12701,3,Flex,>>,32,10.46
12803,3,Flex,>>,-31,5.54
12905,3,Flex,>>,-94,0.09
13007,3,Flex,>>,-157,-5.27
13109,3,Flex,>>,-220,-10.9
13211,3,Flex,>>,-283,-16.44
13313,3,Flex,>>,-346,-21.89
13416,3,Flex,>>,-409,-27.34
13518,3,Flex,>>,-472,-32.79
13620,3,Flex,>>,-535,-38.24
13723,3,Flex,>>,-598,-43.78
13825,3,Flex,>>,-661,-49.32
13927,3,Flex,>>,-724,-54.77
14030,3,Flex,>>,-787,-60.4
14132,3,Flex,>>,-850,-65.85
14234,3,Flex,>>,-913,-71.47
14337,3,Flex,>>,-976,-76.92
14439,3,Flex,>>,-1039,-82.55
14541,3,Flex,>>,-1102,-88.0
14643,3,Flex,>>,-1165,-93.63
14745,3,Flex,>>,-1228,-99.16
14848,3,Flex,>>,-1291,-104.7
14950,3,Flex,>>,-1354,-110.15
15052,3,Flex,>>,-1417,-115.6
15155,3,Flex,>>,-1480,-121.23
15257,3,Flex,>>,-1543,-126.86
15360,3,Flex,>>,-1606,-132.31
15462,3,Flex,>>,-1669,-137.93
15564,3,Flex,>>,-1732,-143.47
15667,3,Flex,>>,-1795,-149.01
15769,3,Flex,>>,-1858,-154.46
15871,3,Flex,>>,-1921,-160.0
15974,3,Flex,>>,-1984,-165.63
16076,3,Flex,>>,-2047,-171.16
16178,3,Flex,>>,-2110,-176.53
16281,3,Flex,>>,-2173,-182.07
16383,3,Flex,>>,-2236,-187.34
16485,3,Flex,>>,-2299,-192.79
16587,3,Flex,>>,-2362,-198.24
16690,3,Flex,>>,-2425,-203.69
16792,3,Flex,>>,-2488,-209.23
16894,3,Flex,>>,-2551,-214.77
16996,3,Flex,>>,-2614,-220.31
17099,3,Flex,>>,-2677,-225.67
17201,3,Flex,>>,-2740,-231.03
17303,3,Flex,>>,-2803,-236.57
17406,3,Flex,>>,-2866,-241.93
17508,3,Flex,>>,-2929,-247.3
17611,3,Flex,>>,-2992,-252.75
17713,3,Flex,>>,-3055,-258.11
17815,3,Flex,>>,-3118,-263.47
17918,3,Flex,>>,-3181,-268.84
18020,3,Flex,>>,-3244,-274.2
18123,3,Flex,>>,-3307,-279.65
18225,3,Flex,>>,-3370,-284.84
18327,3,Flex,>>,-3433,-290.29
18429,3,Flex,>>,-3496,-295.65
18532,3,Flex,>>,-3559,-301.19
18634,3,Flex,>>,-3622,-306.37
18736,3,Flex,<<,-3622,-311.74
18838,3,Flex,<<,-3559,-313.58
18941,3,Flex,<<,-3496,-312.7
19043,3,Flex,<<,-3433,-308.57
19145,3,Flex,<<,-3370,-303.3
19248,3,Flex,<<,-3307,-297.76
19350,3,Flex,<<,-3244,-292.4
19452,3,Flex,<<,-3181,-286.86
19554,3,Flex,<<,-3118,-281.32
19656,3,Flex,<<,-3055,-275.87
19758,3,Flex,<<,-2992,-270.24
19861,3,Flex,<<,-2929,-264.7
19963,3,Flex,<<,-2866,-259.34
20066,3,Flex,<<,-2803,-253.71
20168,3,Flex,<<,-2740,-248.26
20271,3,Flex,<<,-2677,-242.81
20374,3,Flex,<<,-2614,-237.27
20477,3,Flex,<<,-2551,-231.74
20579,3,Flex,<<,-2488,-226.11
20681,3,Flex,<<,-2425,-220.66
20784,3,Flex,<<,-2362,-215.12
20886,3,Flex,<<,-2299,-209.58
20988,3,Flex,<<,-2236,-204.04
21091,3,Flex,<<,-2173,-198.51
21193,3,Flex,<<,-2110,-192.88
21296,3,Flex,<<,-2047,-187.43
21398,3,Flex,<<,-1984,-181.8
21501,3,Flex,<<,-1921,-176.35
21603,3,Flex,<<,-1858,-170.73
21705,3,Flex,<<,-1795,-165.19
21807,3,Flex,<<,-1732,-159.74
21910,3,Flex,<<,-1669,-154.2
22012,3,Flex,<<,-1606,-148.66
22115,3,Flex,<<,-1543,-143.12
22217,3,Flex,<<,-1480,-137.49
22319,3,Flex,<<,-1417,-131.96
22421,3,Flex,<<,-1354,-126.51
22523,3,Flex,<<,-1291,-121.05
22625,3,Flex,<<,-1228,-115.34
22728,3,Flex,<<,-1165,-109.98
22830,3,Flex,<<,-1102,-104.35
22932,3,Flex,<<,-1039,-98.81
23034,3,Flex,<<,-976,-93.19
23137,3,Flex,<<,-913,-87.82
23239,3,Flex,<<,-850,-82.37
23341,3,Flex,<<,-787,-76.75
23444,3,Flex,<<,-724,-71.21
23546,3,Flex,<<,-661,-65.76
23648,3,Flex,<<,-598,-60.22
23750,3,Flex,<<,-535,-54.59
23852,3,Flex,<<,-472,-48.88
23954,3,Flex,<<,-409,-43.43
24056,3,Flex,<<,-346,-37.98
24158,3,Flex,<<,-283,-32.44
24261,3,Flex,<<,-220,-26.81
24363,3,Flex,<<,-157,-21.27
24465,3,Flex,<<,-94,-15.82
24567,3,Flex,<<,-31,-10.2
24669,3,Flex,<<,32,-4.57
24771,3,Flex,<<,95,0.79
24874,3,Flex,<<,158,6.33
40977,3,Flex,>>,159,13.98
41078,3,Flex,>>,96,13.98
41181,3,Flex,>>,33,10.46
41283,3,Flex,>>,-30,5.45
41385,3,Flex,>>,-93,-0.09
41488,3,Flex,>>,-156,-5.45
41591,3,Flex,>>,-219,-10.99
41693,3,Flex,>>,-282,-16.62
41796,3,Flex,>>,-345,-22.07
41898,3,Flex,>>,-408,-27.52
42000,3,Flex,>>,-471,-33.05
42102,3,Flex,>>,-534,-38.59
42204,3,Flex,>>,-597,-44.13
42307,3,Flex,>>,-660,-49.58
42410,3,Flex,>>,-723,-55.12
42513,3,Flex,>>,-786,-60.66
42615,3,Flex,>>,-849,-66.11
42717,3,Flex,>>,-912,-71.65
42820,3,Flex,>>,-975,-77.01
42922,3,Flex,>>,-1038,-82.55
43024,3,Flex,>>,-1101,-88.0
43126,3,Flex,>>,-1164,-93.45
43229,3,Flex,>>,-1227,-98.99
43331,3,Flex,>>,-1290,-104.44
43434,3,Flex,>>,-1353,-109.98
