Time(ms),MotorID,Phase,Direction,Position,Angle(deg)
26218,4,Extend,>>,1487,130.73
26321,4,Extend,>>,1449,130.73
26424,4,Extend,>>,1411,128.62
26526,4,Extend,>>,1373,125.45
26628,4,Extend,>>,1335,122.11
26730,4,Extend,>>,1297,118.86
26832,4,Extend,>>,1259,115.6
26935,4,Extend,>>,1221,112.26
27037,4,Extend,>>,1183,108.92
27140,4,Extend,>>,1145,105.49
27242,4,Extend,>>,1107,102.24
27345,4,Extend,>>,1069,99.16
27447,4,Extend,>>,1031,95.82
27549,4,Extend,>>,993,92.4
27652,4,Extend,>>,955,89.14
27754,4,Extend,>>,917,85.98
27856,4,Extend,>>,879,82.64
27958,4,Extend,>>,841,79.47
28060,4,Extend,>>,803,76.22
28162,4,Extend,>>,765,72.97
28264,4,Extend,>>,727,69.71
28366,4,Extend,>>,689,66.37
28468,4,Extend,>>,651,63.21
28570,4,Extend,>>,613,59.96
28673,4,Extend,>>,575,56.7
28776,4,Extend,>>,537,53.54
28878,4,Extend,>>,499,50.2
28980,4,Extend,>>,461,46.95
29082,4,Extend,>>,423,43.52
29184,4,Extend,>>,385,40.26
29286,4,Extend,>>,347,37.01
29388,4,Extend,>>,309,33.76
29490,4,Extend,>>,271,30.68
29593,4,Extend,>>,233,27.34
29695,4,Extend,>>,195,24.09
29798,4,Extend,>>,157,21.01
29900,4,Extend,>>,119,17.85
30002,4,Extend,>>,81,14.59
30104,4,Extend,>>,43,11.34
30207,4,Extend,>>,5,8.09
30309,4,Extend,>>,-33,4.92
30412,4,Extend,>>,-71,1.67
30514,4,Extend,>>,-109,-1.67
30617,4,Extend,>>,-147,-4.84
30719,4,Extend,>>,-185,-8.0
30822,4,Extend,>>,-223,-11.34
30924,4,Extend,>>,-261,-14.68
31027,4,Extend,>>,-299,-17.93
31130,4,Extend,>>,-337,-21.36
31232,4,Extend,>>,-375,-24.44
31335,4,Extend,>>,-413,-27.69
31437,4,Extend,>>,-451,-31.03
31540,4,Extend,>>,-489,-34.11
31642,4,Extend,>>,-527,-37.45
31745,4,Extend,>>,-565,-40.79
31847,4,Extend,>>,-603,-44.04
31950,4,Extend,>>,-641,-47.3
32052,4,Extend,>>,-679,-50.64
32155,4,Extend,>>,-717,-54.07
32257,4,Extend,>>,-755,-57.41
32360,4,Extend,>>,-793,-60.57
32462,4,Extend,<<,-793,-63.74
32565,4,Extend,<<,-755,-64.88
32667,4,Extend,<<,-717,-64.88
32770,4,Extend,<<,-679,-63.21
32873,4,Extend,<<,-641,-60.4
32975,4,Extend,<<,-603,-57.05
33078,4,Extend,<<,-565,-53.8
33180,4,Extend,<<,-527,-50.55
33284,4,Extend,<<,-489,-47.21
33386,4,Extend,<<,-451,-43.87
33489,4,Extend,<<,-413,-40.62
33591,4,Extend,<<,-375,-37.27
33694,4,Extend,<<,-337,-33.85
33796,4,Extend,<<,-299,-30.59
33899,4,Extend,<<,-261,-27.34
34002,4,Extend,<<,-223,-24.0
34104,4,Extend,<<,-185,-20.57
34207,4,Extend,<<,-147,-17.14
34310,4,Extend,<<,-109,-13.98
34412,4,Extend,<<,-71,-10.73
34514,4,Extend,<<,-33,-7.38
34617,4,Extend,<<,5,-3.96
34719,4,Extend,<<,43,-0.62
34822,4,Extend,<<,81,2.73
34924,4,Extend,<<,119,6.07
35027,4,Extend,<<,157,9.23
35129,4,Extend,<<,195,12.66
35232,4,Extend,<<,233,15.91
35334,4,Extend,<<,271,19.25
35436,4,Extend,<<,309,22.59
35539,4,Extend,<<,347,25.93
35642,4,Extend,<<,385,29.19
35743,4,Extend,<<,423,32.44
35844,4,Extend,<<,461,35.69
35945,4,Extend,<<,499,39.03
36046,4,Extend,<<,537,42.46
36147,4,Extend,<<,575,45.89
36248,4,Extend,<<,613,49.14
36349,4,Extend,<<,651,52.48
36450,4,Extend,<<,689,55.82
36551,4,Extend,<<,727,59.16
36652,4,Extend,<<,765,62.51
36753,4,Extend,<<,803,65.93
36854,4,Extend,<<,841,69.45
36955,4,Extend,<<,879,72.7
37057,4,Extend,<<,917,76.04
37158,4,Extend,<<,955,79.38
37259,4,Extend,<<,993,82.73
37360,4,Extend,<<,1031,86.07
37461,4,Extend,<<,1069,89.41
37562,4,Extend,<<,1107,92.66
37663,4,Extend,<<,1145,96.18
37765,4,Extend,<<,1183,99.52
37867,4,Extend,<<,1221,102.77
37970,4,Extend,<<,1259,106.2
38072,4,Extend,<<,1297,109.54
38174,4,Extend,<<,1335,112.97
38276,4,Extend,<<,1373,116.31
38379,4,Extend,<<,1411,119.47
38481,4,Extend,<<,1449,122.73
38583,4,Extend,<<,1487,126.15
5315961737,4,Extend,<<,-452,-44.04
61840,4,Extend,<<,-414,-40.7
61944,4,Extend,<<,-376,-37.36
62047,4,Extend,<<,-338,-33.93
62149,4,Extend,<<,-300,-30.68
62252,4,Extend,<<,-262,-27.43
62355,4,Extend,<<,-224,-24.09
62457,4,Extend,<<,-186,-20.66
62560,4,Extend,<<,-148,-17.32
