phase,plot,active_csv,sensor_norm_lo,sensor_norm_hi,linear_coeffs,quadratic_coeffs,cubic_coeffs,R2_linear,MSE_linear,R2_quadratic,MSE_quadratic,R2_cubic,MSE_cubic
Flex,D:\Soft_glove\models\qu_cubic\middle\R_L\R_L_Flex.png,D:\Soft_glove\models\qu_cubic\middle\R_L\R_L_Flex_active.csv,423.28,805.0,"[-5.286545125103114, -0.2970007588732282]","[-0.7897347588563947, -4.483793935664932, -0.4190752187025392]","[-2.395874136140264, 2.8182563649579535, -5.918534012826842, -0.30214651403358317]",0.9374812856621533,0.1933042760234522,0.938595159465119,0.18986024216344347,0.939376267717174,0.18744510028538924
Extend,D:\Soft_glove\models\qu_cubic\middle\R_L\R_L_Extend.png,D:\Soft_glove\models\qu_cubic\middle\R_L\R_L_Extend_active.csv,349.0,584.0,"[3.211935602253525, -3.22586736490224]","[-2.2682579458937724, 5.249560133522359, -3.3754496407814796]","[3.406138514623464, -7.3300195180367975, 7.143702656271608, -3.4637196195421955]",0.802192089161503,0.3148547576860453,0.8173291758457067,0.2907607579070431,0.8197958788085826,0.28683445809240193
