Time(ms),SensorA0,SensorA1,SensorA2
25339,382,298,587
25354,383,299,585
25435,385,300,589
25449,382,298,587
25463,384,298,584
25544,387,300,589
25559,384,298,586
25574,382,298,584
25654,384,300,588
25669,382,299,585
25684,383,298,583
25764,386,300,587
25779,383,299,584
25794,382,299,586
27141,386,302,589
27156,388,301,591
27170,387,302,589
27251,385,300,587
27266,383,300,586
27280,383,299,584
27361,384,300,585
27376,384,299,586
27390,382,298,584
27471,383,300,587
27486,382,300,585
27500,382,299,584
27581,385,299,585
27596,384,300,585
27610,383,298,584
27691,382,299,586
27705,383,299,584
27720,381,298,583
27800,384,299,585
27815,384,301,585
27829,384,298,581
27910,384,300,585
27925,382,299,583
27939,382,298,582
28020,383,299,582
28034,382,299,582
28049,381,298,580
28129,384,300,583
28144,382,299,581
28159,382,298,580
28239,386,299,582
28254,383,300,580
28269,383,298,576
28350,384,300,580
28365,382,299,577
28380,383,298,576
28460,384,300,579
28475,383,299,569
28490,382,298,570
28570,383,299,574
28585,384,299,574
28599,382,298,570
28680,383,300,573
28694,383,300,570
28709,381,297,568
28789,383,299,567
28804,384,299,565
28819,381,297,562
28899,385,298,561
28914,383,299,560
28929,381,299,559
29009,382,299,555
29023,382,298,553
29038,381,298,551
29119,383,299,546
29133,383,300,544
29148,381,298,539
29228,383,299,536
29243,381,298,534
29257,381,296,531
29338,382,298,517
29353,383,299,512
29367,379,297,514
29449,382,298,503
29463,379,298,499
29478,379,296,495
29558,382,299,488
29573,382,298,484
29588,380,296,479
29668,381,298,474
29683,381,298,474
29697,379,298,471
29778,381,298,465
29792,383,298,464
29807,378,296,461
29888,380,299,457
29902,380,297,455
29917,379,296,451
29997,381,298,448
30012,381,296,445
30027,378,294,439
30107,381,298,434
30122,379,296,431
30136,380,297,427
30217,381,298,418
30231,381,298,415
30246,379,297,410
30326,383,296,405
30341,380,298,404
30355,377,295,399
30436,380,299,398
30450,379,297,394
30465,380,296,392
30545,380,297,387
30560,380,296,389
30575,376,295,383
30655,381,297,386
30670,379,297,383
30685,378,296,382
30765,379,298,381
30781,380,300,381
30795,377,295,377
30876,380,297,380
30891,379,296,379
30905,377,295,377
30986,382,296,378
31000,378,297,378
31015,376,293,375
31095,380,295,375
31110,381,295,375
31125,380,297,372
31206,381,296,370
31221,381,296,371
31235,378,295,366
31316,381,297,368
31331,382,294,365
31345,382,295,363
31426,382,296,366
31440,381,295,365
31455,378,292,364
31535,382,296,366
31550,380,293,365
31565,378,291,362
31646,381,294,365
31660,381,295,366
31675,378,290,360
31756,382,294,363
31770,380,292,363
31785,378,290,363
31866,383,292,363
31880,384,291,361
31895,381,287,359
31975,382,290,362
31990,382,288,361
32005,377,286,359
32086,381,286,363
32100,381,284,360
32115,381,284,360
32196,380,282,361
32211,381,281,360
32225,379,281,360
32306,383,280,360
32320,381,280,359
32335,379,278,360
32416,380,279,361
32431,381,280,359
32445,375,276,359
32526,379,277,360
32541,377,277,359
32555,374,274,358
32636,381,277,360
32650,378,276,358
32665,377,275,356
32745,376,275,361
32760,378,274,358
32775,372,272,356
32857,376,275,361
32872,375,274,358
32886,371,272,356
32967,376,274,361
32983,373,271,358
32997,368,270,356
33078,374,274,359
33093,371,273,360
33107,367,270,357
33188,371,272,361
33202,371,273,360
33217,371,270,358
33298,375,271,358
33312,373,273,360
33327,368,269,356
33408,374,272,359
33423,369,269,360
33437,367,268,360
33518,371,271,362
33533,368,267,358
33547,365,270,360
33628,366,270,363
33643,366,270,362
33657,364,269,360
33738,367,268,360
33753,366,272,363
33769,360,267,357
33850,366,269,363
33865,365,271,366
33879,368,271,364
33960,367,271,365
33974,367,272,368
33989,370,273,371
34069,371,276,369
34084,368,273,369
34098,373,276,372
34179,373,278,371
34195,375,276,371
34210,377,276,372
34290,379,277,372
34305,376,276,371
34320,378,275,371
34400,380,274,372
34415,379,277,371
34430,379,275,372
34510,383,278,372
34525,380,277,371
34540,379,276,370
34621,382,278,370
34635,382,277,371
34650,381,276,369
34730,383,278,370
34745,381,278,367
34759,383,277,368
34840,384,278,367
34855,384,278,368
34869,384,278,367
34950,385,279,367
34965,385,279,366
34979,384,279,365
35060,385,280,365
35074,384,280,364
35089,384,279,364
35169,385,280,365
35184,385,281,364
35199,385,281,365
35279,384,281,363
35294,384,282,364
35309,384,281,363
35389,384,283,362
35405,383,281,362
35419,383,283,363
35500,385,282,363
35515,385,283,362
35529,383,282,362
35610,384,284,363
35625,383,282,360
35640,382,282,360
35720,383,282,360
35735,382,283,362
35750,383,283,361
35830,385,284,361
35845,384,283,360
35860,381,282,360
35940,384,284,361
35955,383,284,359
35969,383,283,360
36050,384,284,361
36065,383,284,362
36080,381,283,360
36161,383,285,362
36176,382,284,361
36191,383,284,360
36272,383,284,361
36286,383,284,362
36301,382,283,361
36381,384,284,363
36396,383,284,363
36411,382,284,362
36491,383,284,364
36506,383,284,364
36520,383,283,363
36601,385,284,365
36616,383,282,364
36630,382,283,364
36711,384,284,367
36725,384,283,367
36740,382,284,366
36821,385,284,368
36835,383,284,369
36850,383,284,367
36930,383,284,367
36945,384,284,370
36959,384,284,369
37040,384,284,372
37054,384,285,373
37070,383,284,373
37151,385,285,375
37166,384,285,375
37180,384,284,374
37261,384,285,376
37276,383,285,378
37290,384,285,375
37371,385,284,384
37385,385,285,383
37400,385,285,385
37480,384,285,389
37495,384,286,389
37510,383,281,387
37590,386,286,387
37605,385,285,390
37619,383,285,388
37700,385,285,390
37714,384,284,390
37729,383,285,390
37809,385,285,392
37824,384,285,391
37838,382,285,389
37919,384,286,394
37933,384,286,392
37948,385,285,394
38028,386,286,396
38043,384,282,393
38058,384,286,394
38139,385,286,397
38153,385,286,396
38168,383,284,397
38249,384,286,399
38263,385,285,402
38278,384,285,402
38358,385,284,404
38373,383,284,404
38387,384,285,405
38468,385,286,410
38482,385,286,410
38497,383,285,412
38577,384,286,414
38592,385,286,415
38606,384,284,414
38687,385,286,419
38701,384,285,419
38716,384,285,420
38797,384,286,422
38811,384,285,422
38826,384,284,422
38907,384,286,426
38921,385,286,427
38936,384,284,427
39016,386,285,430
39030,383,284,430
39045,383,285,431
39125,384,286,436
39140,384,286,433
39155,383,285,432
39235,384,286,434
39249,383,286,434
39264,382,285,433
39344,385,286,434
39359,384,285,433
39373,383,286,432
39454,384,286,436
39468,385,286,434
39483,384,286,434
39564,383,286,436
39579,383,286,436
39593,384,285,436
39674,384,286,437
39688,384,285,436
39703,382,286,434
39783,385,286,435
39798,385,286,434
39813,383,286,433
39893,384,285,434
39907,384,287,432
39922,384,286,431
40003,383,285,434
40017,384,286,432
40032,385,286,433
40112,384,286,433
40127,384,286,430
40141,384,286,431
40221,384,286,433
40236,384,286,433
40250,383,285,432
40331,385,286,433
40346,383,286,434
40360,382,286,433
40441,384,286,432
40455,383,287,431
40470,384,285,432
42817,386,288,431
42832,387,288,432
42847,387,288,432
42928,385,288,427
42943,383,286,429
42957,381,284,427
43038,384,285,430
43052,382,285,427
43067,383,283,425
43147,385,286,429
43161,383,285,428
43176,382,285,427
43256,384,285,429
43271,382,284,427
43285,380,282,426
43366,386,286,431
43381,384,284,428
43395,383,285,427
43476,384,287,429
43490,384,286,428
43505,381,282,426
43585,385,287,430
43600,382,285,429
43614,383,283,424
43695,384,285,430
43709,383,285,427
43724,383,285,426
43804,384,286,430
43819,384,285,428
43833,381,285,428
43914,385,286,430
43928,382,284,427
43943,380,284,427
44023,385,287,430
44038,384,284,430
44052,380,285,428
44133,384,285,430
44147,382,286,428
44162,382,285,426
44243,384,286,431
44257,383,285,430
44271,381,284,426
44352,384,287,432
44367,385,284,429
44381,382,284,428
44462,384,286,434
44476,383,285,430
44491,381,284,429
44571,385,286,435
44586,380,284,433
44600,379,283,431
44681,383,286,440
44695,381,284,441
44710,380,283,438
44790,383,286,449
44805,383,286,444
44820,379,283,444
44900,384,285,455
44915,382,285,454
44930,380,285,452
45010,382,285,463
45025,382,285,462
45040,379,284,460
45120,382,286,476
45135,381,286,479
45149,380,284,474
45230,384,285,482
45245,382,284,481
45260,380,284,483
45340,382,286,491
45355,380,283,485
45369,378,283,485
45450,383,287,495
45464,380,285,495
45479,380,283,492
45559,382,286,508
45574,380,285,510
45588,378,282,506
45669,383,286,526
45683,380,285,529
45698,380,284,526
45778,381,286,539
45794,380,285,540
45808,379,284,540
45890,382,286,554
45904,380,284,552
45919,378,281,550
45999,382,285,565
46014,380,286,565
46028,377,284,563
46109,380,284,568
46123,379,285,568
46138,377,283,568
46218,381,286,581
46233,379,285,586
46247,378,282,583
46328,381,285,611
46342,379,284,609
46357,377,282,606
46438,380,286,615
46453,378,285,619
46468,378,284,619
46549,382,287,627
46564,379,285,623
46579,375,282,624
46659,381,284,636
46674,377,284,634
46689,376,283,631
46770,379,286,641
46784,379,285,640
46799,378,283,637
46879,380,285,654
46894,377,286,651
46908,374,282,648
46989,379,286,668
47003,378,285,672
47018,374,282,671
47099,379,286,688
47114,376,285,685
47128,375,283,686
47209,379,285,692
47224,376,285,689
47238,373,286,689
47319,377,286,695
47333,375,284,692
47348,372,282,693
47429,378,286,704
47444,374,284,698
47458,373,284,698
47539,376,286,705
47554,375,285,703
47568,372,283,700
47649,375,285,719
47663,375,285,721
47678,371,281,711
47758,376,287,729
47773,373,285,728
47789,370,282,723
47870,376,285,732
47884,374,284,725
47899,371,282,722
47979,374,283,735
47994,371,285,731
48008,370,281,723
48089,374,286,734
48104,370,284,730
48118,369,282,722
48198,372,286,735
48213,371,284,732
48228,369,283,732
48309,372,285,743
48323,370,284,743
48338,365,282,739
48419,370,283,748
48434,367,283,742
48450,365,280,739
48531,371,284,755
48545,368,284,758
48560,366,281,751
48640,371,285,763
48655,367,283,756
48669,363,279,747
48750,368,284,770
48764,367,285,763
48779,363,280,757
48859,371,287,768
48874,366,284,764
48889,361,280,754
48969,369,287,771
48984,367,286,764
48999,365,281,755
49080,370,290,771
49095,365,288,770
49110,364,285,761
49192,368,291,776
49206,365,291,773
49221,362,288,767
49301,370,292,782
49316,367,295,775
