phase,plot,active_csv,sensor_norm_lo,sensor_norm_hi,linear_coeffs,quadratic_coeffs,R2_linear,MSE_linear,R2_quadratic,MSE_quadratic
Flex,D:\Soft_glove\models\index\R_theta_direct\R_theta_Flex.png,D:\Soft_glove\models\index\R_theta_direct\R_theta_Flex_active.csv,312.0,575.19,"[20.784843788152568, 78.6266688287314]","[-171.5934490663165, 173.293970260561, 68.08097696113947]",0.13554000908280528,352.71509038991985,0.5326594636426181,190.6832719340474
Extend,D:\Soft_glove\models\index\R_theta_direct\R_theta_Extend.png,D:\Soft_glove\models\index\R_theta_direct\R_theta_Extend_active.csv,263.28,409.0,"[41.12548250152613, -0.6883670793767902]","[157.31573311978755, -105.01798255639912, 13.764827267578923]",0.39219789743663536,323.21071455012077,0.6636688331347338,178.85070865918203
