Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABD_smooth,angle_smooth,dmotor,L_cm,cycle,L_rel_cm
90810,4,Extend,>>,338,36.66,446,386,543,-9.581061031957663,44.501999999999995,-3.8859999999999957,0.7767064237225164,2,-1.3996493403443324
90921,4,Extend,>>,293,32.79,448,380,536,-8.52368318492266,40.57999999999999,-3.922000000000004,0.7082546104592988,2,-1.4681011536075501
91032,4,Extend,>>,248,29.01,443,377,524,-7.89626486748765,36.67599999999999,-3.9040000000000035,0.6401169564614401,2,-1.5362388076054088
91143,4,Extend,>>,203,25.14,440,371,511,-7.454245854513731,32.80799999999999,-3.867999999999995,0.5726076209942995,2,-1.6037481430725493
91255,4,Extend,>>,158,21.36,436,360,501,-6.685281251103698,28.99199999999999,-3.8160000000000025,0.5060058567381959,2,-1.670349907328653
91366,4,Extend,>>,113,17.58,433,356,491,-6.264979721312588,25.175999999999995,-3.8159999999999954,0.43940409248209233,2,-1.7369516715847566
91477,4,Extend,>>,68,13.8,428,350,477,-5.700299625723456,21.377999999999993,-3.798000000000002,0.3731164874913476,2,-1.8032392765755012
91588,4,Extend,>>,23,10.02,424,346,468,-4.745585809552746,17.57999999999999,-3.798000000000002,0.306828882500603,2,-1.869526881566246
91700,4,Extend,>>,-22,6.33,423,345,461,-3.752296766882041,13.817999999999993,-3.7619999999999987,0.24116959604057633,2,-1.9351861680262725
91811,4,Extend,>>,-67,2.55,419,337,452,-2.6838061202739167,10.055999999999994,-3.7619999999999987,0.17551030958054967,2,-2.0008454544862992
91921,4,Extend,>>,-112,-1.32,414,334,443,-1.2460620328247074,6.2759999999999945,-3.7799999999999994,0.10953686385516402,2,-2.066818900211685
92032,4,Extend,>>,-157,-5.1,404,326,433,-0.5030253365507718,2.4959999999999942,-3.7800000000000002,0.04356341812977836,2,-2.132792345937071
92144,4,Extend,>>,-202,-8.88,403,319,422,-0.0395984421661118,-1.284000000000006,-3.7800000000000002,-0.022410027595607295,2,-2.1987657916624563
92255,4,Extend,>>,-247,-12.75,399,309,408,0.4228390306084989,-5.100000000000006,-3.816,-0.0890117918517109,2,-2.26536755591856
92367,4,Extend,>>,-292,-16.53,388,303,401,0.4956196572445954,-8.916000000000006,-3.816,-0.15561355610781452,2,-2.3319693201746636
92478,4,Extend,>>,-337,-20.4,380,300,396,0.9567703126494336,-12.732000000000005,-3.815999999999999,-0.2222153203639181,2,-2.398571084430767
92589,4,Extend,>>,-382,-24.0,368,300,391,2.4844786073960887,-16.512000000000008,-3.780000000000003,-0.2881887660893038,2,-2.464544530156153
92700,4,Extend,>>,-427,-27.78,354,299,393,3.561021125929905,-20.29200000000001,-3.780000000000001,-0.3541622118146895,2,-2.5305179758815384
92812,4,Extend,>>,-472,-31.56,338,298,388,4.133022184197815,-24.05400000000001,-3.7620000000000005,-0.4198214982747162,2,-2.5961772623415653
92924,4,Extend,>>,-517,-35.34,325,294,384,4.818967686546192,-27.81600000000001,-3.7620000000000005,-0.4854807847347429,2,-2.661836548801592
93035,4,Extend,>>,-562,-39.38,320,295,381,5.6730398186076805,-31.612000000000005,-3.795999999999996,-0.5517334831404476,2,-2.7280892472072966
93147,4,Extend,>>,-607,-43.08,316,295,373,6.477570656898333,-35.42800000000001,-3.816000000000006,-0.6183352473965513,2,-2.7946910114634003
93256,4,Extend,>>,-652,-46.77,308,289,371,7.602213023145872,-39.226000000000006,-3.7979999999999947,-0.6846228523872958,2,-2.860978616454145
93370,4,Extend,>>,-697,-50.64,311,290,372,8.22702523980134,-43.04200000000001,-3.8160000000000025,-0.7512246166433995,2,-2.9275803807102485
93482,4,Extend,>>,-742,-54.15,305,287,373,8.724909371687506,-46.80400000000001,-3.7620000000000005,-0.8168839031034262,2,-2.993239667170275
93594,4,Extend,>>,-787,-58.02,302,283,374,9.328183114847084,-50.532000000000004,-3.7279999999999944,-0.8819497776177747,2,-3.0583055416846237
93706,4,Extend,>>,-832,-61.71,300,280,368,9.853094560343514,-54.25800000000002,-3.7260000000000133,-0.9469807455470837,2,-3.1233365096139325
93817,4,Extend,>>,-877,-65.58,299,280,373,10.21366636041346,-58.02,-3.7619999999999862,-1.01264003200711,2,-3.188995796073959
93929,4,Extend,>>,-922,-69.45,297,276,372,10.502618844439702,-61.782000000000004,-3.7620000000000005,-1.0782993184671368,2,-3.2546550825339855
94040,4,Extend,>>,-967,-73.14,299,278,373,10.806186089854606,-65.58000000000001,-3.798000000000009,-1.1445869234578816,2,-3.3209426875247305
94152,4,Extend,>>,-1012,-77.1,296,275,372,10.880748612583474,-69.396,-3.8159999999999883,-1.211188687713985,2,-3.387544451780834
94263,4,Extend,>>,-1057,-80.79,296,273,375,10.939433987143763,-73.21200000000002,-3.8160000000000167,-1.277790451970089,2,-3.454146216036938
94375,4,Extend,>>,-1102,-84.57,293,271,375,11.309377479547509,-77.01000000000002,-3.798000000000002,-1.3440780569608335,2,-3.5204338210276824
94486,4,Extend,>>,-1147,-88.09,293,268,375,11.46417736886561,-80.738,-3.72799999999998,-1.4091439314751817,2,-3.5854996955420306
94597,4,Extend,>>,-1192,-91.69,289,268,378,11.55167067400383,-84.44800000000001,-3.710000000000008,-1.4738956467241715,2,-3.6502514107910207
94708,4,Extend,>>,-1237,-95.56,294,267,374,11.771775718702251,-88.14000000000001,-3.6920000000000073,-1.5383332027078023,2,-3.714688966774651
94819,4,Extend,<<,-1237,-99.08,294,268,377,11.854342225928512,-91.798,-3.657999999999987,-1.6021773467457547,2,-3.778533110812604
94930,4,Extend,<<,-1192,-100.4,298,269,381,11.96332271343067,-94.96400000000001,-3.166000000000011,-1.6574344708638953,2,-3.8337902349307442
95042,4,Extend,<<,-1147,-100.4,305,276,387,12.058431825226162,-97.426,-2.461999999999989,-1.7004044770479956,2,-3.8767602411148445
95153,4,Extend,<<,-1102,-100.31,305,276,389,12.272726180992478,-99.15,-1.7240000000000038,-1.7304939533523778,2,-3.9068497174192265
95264,4,Extend,<<,-1057,-96.88,307,277,390,12.45084073938816,-99.41400000000002,-0.26400000000001,-1.735101622577643,2,-3.911457386644492
119147,4,Extend,>>,1282,118.15,491,403,604,7.029466612152586,124.606,-1.0019999999999953,2.174784967740054,3,0.0
119257,4,Extend,>>,1237,114.2,490,401,603,5.209456731947018,121.74000000000001,-2.8659999999999854,2.124763831377897,3,-0.050021136362157215
119368,4,Extend,>>,1192,110.33,492,402,603,4.209814635947083,118.1,-3.640000000000015,2.0612338466053033,3,-0.11355112113475085
119480,4,Extend,>>,1147,106.29,491,404,603,3.027170154428448,114.19800000000001,-3.901999999999987,1.9931310991924847,3,-0.18165386854756949
119591,4,Extend,>>,1102,102.51,492,405,602,1.392431451397404,110.296,-3.902000000000001,1.9250283517796658,3,-0.24975661596038834
119701,4,Extend,>>,1057,98.73,490,402,601,0.3358501272367459,106.412,-3.8840000000000003,1.857239763632206,3,-0.31754520410784814
119812,4,Extend,>>,1012,94.59,490,401,600,-0.7763124481018927,102.49000000000001,-3.921999999999997,1.7887879503689885,3,-0.3859970173710656
