Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth,θ_total,angle_smooth,dmotor,L_cm,cycle,L_rel_cm
31345,6,Extend,>>,-768,-56.79,382,295,363,35.839544175880285,25.301910505437316,61.1414546813176,-48.54600000000001,-4.07800000000001,-0.8472875386731673,0,-2.4517687200315548
31455,6,Extend,>>,-816,-60.75,378,292,364,35.79094947700221,25.120324534878897,60.911274011881105,-52.626,-4.079999999999991,-0.9184969721545359,0,-2.522978153512923
31565,6,Extend,>>,-864,-64.79,378,291,362,35.64551589986238,25.219264665408215,60.86478056527059,-56.74000000000001,-4.114000000000011,-0.9902998175815827,0,-2.59478099893997
31675,6,Extend,>>,-912,-68.92,378,290,360,35.65315841625629,25.39894987087816,61.052108287134445,-60.818,-4.077999999999989,-1.0614743444779113,0,-2.6659555258362984
31785,6,Extend,>>,-960,-72.97,378,290,363,35.977205106658424,25.16056745399048,61.137772560648905,-64.84400000000001,-4.0260000000000105,-1.1317413001632033,0,-2.7362224815215903
31895,6,Extend,>>,-1008,-77.36,381,287,359,35.87685497609357,25.315445048636047,61.19230002472962,-68.958,-4.11399999999999,-1.2035441455902498,0,-2.808025326948637
32005,6,Extend,>>,-1056,-81.41,377,286,359,35.94533963792676,25.197508592743805,61.142848230670566,-73.09,-4.132000000000005,-1.2756611502826556,0,-2.880142331641043
32115,6,Extend,>>,-1104,-85.36,381,284,360,36.06077676998375,25.094428826971807,61.155205596955554,-77.204,-4.11399999999999,-1.347463995709702,0,-2.9519451770680893
32225,6,Extend,>>,-1152,-89.32,379,281,360,36.10199353324224,24.886526905070536,60.988520438312776,-81.284,-4.0800000000000125,-1.418673429191071,0,-3.023154610549458
32335,6,Extend,>>,-1200,-93.19,379,278,360,36.23150266127583,24.45480867044721,60.68631133172305,-85.328,-4.043999999999997,-1.4892545441417215,0,-3.0937357255001086
32445,6,Extend,>>,-1248,-97.23,375,276,359,36.0800686283914,24.21255114609561,60.29261977448701,-89.30199999999999,-3.9739999999999895,-1.5586139286159761,0,-3.163095109974363
32555,6,Extend,>>,-1296,-101.19,374,274,358,35.787668783683884,24.08048573985638,59.86815452354026,-93.258,-3.956000000000003,-1.6276591538248717,0,-3.232140335183259
32665,6,Extend,>>,-1344,-105.49,377,275,356,35.832682604563374,23.7112602285747,59.543942833138075,-97.28399999999999,-4.025999999999996,-1.6979261095101634,0,-3.3024072908685507
32775,6,Extend,>>,-1392,-109.54,372,272,356,36.289195259763424,22.961824334054977,59.2510195938184,-101.328,-4.044000000000011,-1.7685072244608142,0,-3.3729884058192017
32886,6,Extend,>>,-1440,-113.85,371,272,356,35.856050466110176,21.861254417298213,57.71730488340839,-105.46,-4.131999999999991,-1.8406242291532198,0,-3.445105410511607
32997,6,Extend,>>,-1488,-117.71,368,270,356,34.732572668901085,21.406796177973444,56.13936884687453,-109.556,-4.096000000000004,-1.9121129153149077,0,-3.5165940966732947
33107,6,Extend,>>,-1536,-121.67,367,270,357,33.73194411350239,20.550935655101885,54.282879768604275,-113.652,-4.096000000000004,-1.9836016014765954,0,-3.5880827828349826
33217,6,Extend,>>,-1584,-125.63,371,270,358,32.28736173073297,18.62491673966487,50.91227847039784,-117.67999999999999,-4.027999999999992,-2.0539034637469267,0,-3.658384645105314
33327,6,Extend,>>,-1632,-129.23,368,269,356,30.45829844481696,17.067436800595253,47.525735245412214,-121.61799999999998,-3.937999999999988,-2.122634529690463,0,-3.7271157110488504
33437,6,Extend,>>,-1680,-133.45,367,268,360,28.191098762244174,15.569664149698124,43.760762911942294,-125.53799999999998,-3.9200000000000017,-2.191051436368641,0,-3.7955326177270283
33547,6,Extend,>>,-1728,-137.23,365,270,360,25.68874293825049,13.698031698936546,39.38677463718703,-129.44199999999998,-3.9039999999999964,-2.2591890903664997,0,-3.863670271724887
33657,6,Extend,>>,-1776,-141.27,364,269,360,24.52107894716537,12.138664591053464,36.659743538218834,-133.362,-3.920000000000016,-2.3276059970446776,0,-3.932087178403065
33769,6,Extend,>>,-1824,-145.14,360,267,357,23.38119942920116,10.496110440572766,33.877309869773924,-137.26399999999998,-3.901999999999987,-2.395708744457496,0,-4.000189925815883
33879,6,Extend,<<,-1824,-148.75,368,271,364,22.099832457718463,9.002611230268663,31.102443687987126,-141.16799999999998,-3.9039999999999964,-2.4638463984553547,0,-4.068327579813742
33989,6,Extend,<<,-1776,-149.89,370,273,371,20.72706598002156,7.847628536404184,28.574694516425744,-144.456,-3.288000000000011,-2.5212328242609283,0,-4.125714005619315
34098,6,Extend,<<,-1728,-149.89,373,276,372,18.697599734224266,5.838312679020937,24.535912413245203,-146.988,-2.5320000000000107,-2.565424560921425,0,-4.169905742279813
34210,6,Extend,<<,-1680,-149.8,377,276,372,16.006550825094223,3.1506191906511134,19.157170015745336,-148.69400000000002,-1.7060000000000173,-2.595199877960449,0,-4.199681059318836
34320,6,Extend,<<,-1632,-147.16,378,275,371,14.041038230056472,1.5006757252893042,15.541713955345775,-149.09799999999998,-0.40399999999996794,-2.6022510081385053,0,-4.2067321894968925
57950,6,Extend,>>,861,81.49,372,299,574,35.603930474378785,24.826524620352245,60.43045509473103,88.47399999999999,-1.1260000000000048,1.544162602409463,1,0.0
58059,6,Extend,>>,813,77.27,373,298,571,35.4549393480161,24.89064343528969,60.34558278330579,85.396,-3.0779999999999887,1.4904413680330777,1,-0.05372123437638532
58170,6,Extend,>>,765,73.05,372,298,572,35.45259325686786,24.7825858509497,60.23517910781756,81.49199999999999,-3.9040000000000106,1.4223037140352188,1,-0.12185888837424419
58279,6,Extend,>>,717,68.92,372,299,573,35.296833332752854,24.55599419796058,59.852827530713434,77.306,-4.185999999999993,1.3492442315467363,1,-0.19491837086272668
58389,6,Extend,>>,669,64.88,373,299,570,35.42720762904744,24.636817624616747,60.064025253664184,73.122,-4.1839999999999975,1.2762196556432936,1,-0.26794294676616937
58498,6,Extend,>>,621,60.75,371,297,570,35.53103452977585,24.53939764232736,60.07043217210321,68.974,-4.147999999999996,1.2038233982705688,1,-0.3403392041388942
58608,6,Extend,>>,573,56.7,371,298,571,35.58130899763,24.362285145083256,59.94359414271326,64.86,-4.114000000000004,1.132020552843522,1,-0.4121420495659409
58718,6,Extend,>>,525,52.75,370,298,568,35.619479205320324,24.515570800616253,60.13505000593658,60.8,-4.060000000000002,1.0611601852125523,1,-0.4830024171969107
