Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth,θ_total,angle_smooth,dmotor,cycle
35471,5,Extend,>>,-983,-80.09,424,377,463,14.071811807663105,4.36012198704772,18.431933794710826,-72.458,-3.8160000000000025,0
35581,5,Extend,>>,-1027,-83.78,419,370,448,12.259588071570594,2.515713961762038,14.775302033332633,-76.256,-3.798000000000002,0
35690,5,Extend,>>,-1071,-87.56,416,365,442,10.269157876386624,1.4772682343539227,11.746426110740547,-80.018,-3.7620000000000005,0
35800,5,Extend,>>,-1115,-91.43,415,356,423,8.505313179493957,0.5709228376199478,9.076236017113905,-83.816,-3.798000000000002,0
35909,5,Extend,>>,-1159,-95.3,409,352,416,6.483944420068401,-0.5350374339961962,5.948906986072204,-87.632,-3.8160000000000025,0
36019,5,Extend,>>,-1203,-99.08,398,345,407,4.889377466900192,-1.0315859745089868,3.857791492391205,-91.42999999999999,-3.7979999999999876,0
36129,5,Extend,>>,-1247,-102.68,392,341,402,3.604466785745227,-1.3505623616675766,2.2539044240776507,-95.21000000000001,-3.7800000000000153,0
36238,5,Extend,>>,-1291,-106.37,376,341,393,2.4204586181382366,-1.9399470008170752,0.48051161732116143,-98.97200000000001,-3.7620000000000005,0
36348,5,Extend,>>,-1335,-110.15,364,334,391,1.2430528204588969,-2.879943718665253,-1.6368908982063561,-102.71600000000001,-3.7439999999999998,0
36458,5,Extend,>>,-1379,-114.02,356,332,387,0.2609357920594535,-3.0331734037748577,-2.772237611715404,-106.46,-3.7439999999999856,0
36569,5,Extend,>>,-1423,-117.8,346,330,387,-0.4760524830808136,-3.268575717998361,-3.7446282010791747,-110.204,-3.7439999999999998,0
36678,5,Extend,>>,-1467,-121.49,337,326,382,-0.7934126327132178,-3.821582477433759,-4.614995110146976,-113.96600000000001,-3.7620000000000147,0
36788,5,Extend,>>,-1511,-125.27,328,321,380,-0.8372412705906115,-4.200440004861342,-5.037681275451954,-117.74600000000001,-3.780000000000001,0
36899,5,Extend,>>,-1555,-128.97,321,312,375,-0.8697031792352186,-4.521601687886897,-5.391304867122116,-121.50999999999999,-3.7639999999999816,0
37009,5,Extend,>>,-1599,-132.66,313,311,373,-0.8882409911829063,-4.658720914716925,-5.546961905899831,-125.23799999999999,-3.7279999999999944,0
37119,5,Extend,>>,-1643,-136.62,312,306,373,-0.999740439268168,-4.524845775666064,-5.5245862149342315,-129.002,-3.764000000000024,0
37229,5,Extend,>>,-1687,-140.4,306,299,368,-0.7647840702465227,-4.462272969264633,-5.2270570395111555,-132.784,-3.7819999999999823,0
37339,5,Extend,>>,-1731,-144.18,305,298,370,-0.172814756975849,-4.635112583406962,-4.807927340382811,-136.56599999999997,-3.7819999999999823,0
37449,5,Extend,>>,-1775,-147.78,305,293,368,0.293544149471963,-4.462510573070926,-4.168966423598963,-140.328,-3.762000000000029,0
37558,5,Extend,>>,-1819,-151.56,298,290,367,0.6226104156565748,-4.146804874927407,-3.5241944592708325,-144.108,-3.780000000000001,0
37668,5,Extend,>>,-1863,-155.34,302,287,370,1.4306126309480742,-3.990524751528772,-2.5599121205806976,-147.852,-3.7439999999999998,0
37779,5,Extend,>>,-1907,-159.3,300,282,371,3.002066812289753,-3.6062700250095503,-0.6042032127197974,-151.632,-3.780000000000001,0
37888,5,Extend,>>,-1951,-162.99,302,280,370,4.119021761859036,-2.80592004472905,1.3131017171299861,-155.394,-3.7620000000000005,0
37998,5,Extend,>>,-1995,-166.59,299,278,371,4.886917155931958,-2.180122892208593,2.7067942637233653,-159.156,-3.7620000000000005,0
38108,5,Extend,>>,-2039,-170.2,297,275,371,5.952531401156277,-2.2383482132734684,3.714183187882808,-162.88400000000001,-3.7280000000000086,0
38218,5,Extend,>>,-2083,-173.8,297,273,372,7.290484762055611,-1.694304914534495,5.596179847521116,-166.576,-3.691999999999979,0
