Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth,θ_total,angle_smooth,dmotor,cycle,L_est_cm,theta_from_R(compose)
129016,5,Extend,>>,-1819,-152.09,300,282,370,0.6830518338618216,-5.160099982656731,-4.47704814879491,-144.61599999999999,-3.834000000000003,3,-3.089584686543372,3.323327393588742
129125,5,Extend,>>,-1863,-155.96,300,279,370,1.5995938644204326,-5.1715814883601485,-3.571987623939716,-148.398,-3.7820000000000107,3,-3.1574633164213584,4.37051224500089
129235,5,Extend,>>,-1907,-159.74,300,275,369,2.193636410797537,-4.854439424626218,-2.660803013828681,-152.178,-3.780000000000001,3,-3.248292378243477,5.952601901309781
129345,5,Extend,>>,-1951,-163.43,298,275,371,2.950413824967714,-3.995378200106548,-1.044964375138834,-155.92400000000004,-3.7460000000000377,3,-3.248292378243477,5.952601901309781
129455,5,Extend,>>,-1995,-167.12,297,273,371,3.965560570666757,-3.680601978825504,0.28495859184125294,-159.668,-3.7439999999999714,3,-3.2938458614337374,6.824006116782164
129566,5,Extend,>>,-2039,-170.64,296,273,370,4.766507128069833,-3.6246199956628713,1.1418871324069615,-163.378,-3.7099999999999795,3,-3.2938458614337374,6.824006116782164
129676,5,Extend,>>,-2083,-174.42,293,268,371,5.598144095483921,-2.9628585089541484,2.6352855865297724,-167.07,-3.6920000000000073,3,-3.408134846890393,9.239446510167262
129786,5,Extend,>>,-2127,-178.29,295,269,372,6.576890456679887,-2.5572972525162903,4.019593204163597,-170.78,-3.710000000000008,3,-3.385230732372661,8.729121474527204
129896,5,Extend,>>,-2171,-181.98,294,267,370,7.661127716322852,-2.187214366981788,5.473913349341064,-174.48999999999998,-3.7099999999999795,3,-3.4310621201213247,9.763469815408705
130006,5,Extend,>>,-2215,-185.67,295,267,367,8.509264944587235,-1.8590492172881683,6.6502157272990665,-178.2,-3.710000000000008,3,-3.4310621201213247,9.763469815408705
130117,5,Extend,>>,-2259,-189.36,296,265,366,9.95609232302453,-0.9489055912199524,9.007186731804577,-181.944,-3.7439999999999998,3,-3.476986142722789,10.852771139892596
130226,5,Extend,>>,-2303,-192.79,295,266,363,12.17625049420231,0.4587544059079352,12.635004900110246,-185.618,-3.6740000000000066,3,-3.4540125520654565,10.30123135645833
130336,5,Extend,>>,-2347,-196.75,294,263,364,14.128354535943943,1.5449150772788074,15.67326961322275,-189.31,-3.6920000000000073,3,-3.523002800177054,11.99734566206918
130446,5,Extend,>>,-2391,-200.53,292,265,364,15.86721808387444,2.749683806558032,18.616901890432473,-193.02,-3.710000000000008,3,-3.476986142722789,10.852771139892596
130555,5,Extend,>>,-2435,-204.22,294,265,364,17.42344126684756,3.084217172684716,20.50765843953228,-196.73000000000002,-3.710000000000008,3,-3.476986142722789,10.852771139892596
130665,5,Extend,<<,-2435,-207.91,294,264,367,18.593358266045627,3.276151208300969,21.869509474346597,-200.44,-3.7099999999999795,3,-3.499982892093321,11.418129212657622
130775,5,Extend,<<,-2391,-209.23,299,268,371,19.168687685955693,3.76323772391769,22.931925409873383,-203.728,-3.288000000000011,3,-3.408134846890393,9.239446510167262
130884,5,Extend,<<,-2347,-209.23,303,271,376,20.42486991819843,4.254964808301566,24.679834726499994,-206.22400000000002,-2.4960000000000093,3,-3.339491979476799,7.74940654907224
130994,5,Extend,<<,-2303,-206.51,306,274,378,21.139004316502277,4.972952886204025,26.1119572027063,-207.42,-1.1959999999999695,3,-3.271057540482007,6.381574348984442
154729,5,Extend,>>,29,7.91,443,389,553,42.81056988595523,23.669535549483168,66.4801054354384,14.222,-0.9860000000000024,4,-0.8048692480784911,35.50643269005963
154838,5,Extend,>>,-15,4.22,440,389,553,42.64341491870755,23.20906342342692,65.85247834213448,11.462,-2.76,4,-0.8048692480784911,35.50643269005963
154948,5,Extend,>>,-59,0.26,440,391,555,41.648591744221285,22.746179606123366,64.39477135034466,7.909999999999999,-3.5520000000000005,4,-0.7646885863506823,37.244341408894094
155057,5,Extend,>>,-103,-3.6,441,390,554,40.453604164210944,22.47088815407438,62.924492318285324,4.096,-3.813999999999999,4,-0.7847673378579869,36.37082440656203
155167,5,Extend,>>,-147,-7.47,442,389,551,39.41841160682788,21.99435988008694,61.41277148691482,0.26400000000000007,-3.832,4,-0.8048692480784911,35.50643269005963
155277,5,Extend,>>,-191,-11.34,441,390,552,38.3294529854757,20.733419827379684,59.06287281285538,-3.586,-3.85,4,-0.7847673378579869,36.37082440656203
155387,5,Extend,>>,-235,-15.21,439,389,551,37.08133266364642,19.552551398715025,56.633884062361446,-7.4719999999999995,-3.8859999999999997,4,-0.8048692480784911,35.50643269005963
155497,5,Extend,>>,-279,-18.9,439,387,549,35.678954048898184,18.97421026999983,54.653164318898014,-11.303999999999998,-3.831999999999999,4,-0.845142544659101,33.805165319353065
155607,5,Extend,>>,-323,-22.68,440,389,550,34.698015992237615,18.40888313502192,53.10689912725954,-15.12,-3.8160000000000007,4,-0.8048692480784911,35.50643269005963
155717,5,Extend,>>,-367,-26.55,437,388,547,32.584020582137484,17.067793413021224,49.651813995158705,-18.936,-3.8160000000000007,4,-0.8249943170121958,34.6512013004968
155826,5,Extend,>>,-411,-30.33,438,387,546,30.463381055224403,16.434141297232028,46.897522352456434,-22.734,-3.798000000000002,4,-0.845142544659101,33.805165319353065
