Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABD_smooth
12471,1,Flex,>>,2916,256.35,413,341,549,47.231561188977
12487,2,Flex,>>,1142,100.4,413,335,550,47.16030213503846
12501,3,Flex,>>,124,10.9,412,340,550,47.16030213503846
12582,1,Flex,>>,2877,256.35,409,339,545,47.22161018519054
12596,2,Flex,>>,1078,100.4,408,337,543,47.38341321908571
12611,3,Flex,>>,58,10.9,407,337,544,47.38341321908571
12692,1,Flex,>>,2838,254.33,410,338,546,48.3626468141229
12706,2,Flex,>>,1014,96.7,407,336,544,48.3626468141229
12721,3,Flex,>>,-8,7.12,406,336,544,48.66648731201319
12802,1,Flex,>>,2799,251.16,410,339,546,48.84624893361635
12817,2,Flex,>>,950,91.34,406,336,542,48.84624893361635
12831,3,Flex,>>,-74,1.49,407,335,543,48.901630366795786
12912,1,Flex,>>,2760,247.82,409,339,546,48.956164206868834
12926,2,Flex,>>,886,85.8,406,336,544,48.976499846804245
12941,3,Flex,>>,-140,-4.22,405,334,542,48.976499846804245
13021,1,Flex,>>,2721,244.66,410,338,544,49.20352313978373
13036,2,Flex,>>,822,80.18,408,335,543,49.20352313978373
13050,3,Flex,>>,-206,-10.02,407,337,542,49.20352313978373
13131,1,Flex,>>,2682,241.32,408,337,544,49.35292047844813
13145,2,Flex,>>,758,74.73,407,338,544,49.35292047844813
13160,3,Flex,>>,-272,-15.74,406,336,540,49.43006717882837
13241,1,Flex,>>,2643,237.89,411,333,546,49.60359683628484
13256,2,Flex,>>,694,69.1,411,339,545,49.77658225712174
13270,3,Flex,>>,-338,-21.71,409,338,543,49.77658225712174
13351,1,Flex,>>,2604,234.55,410,332,544,50.19221571922223
13365,2,Flex,>>,630,63.74,408,334,543,50.19221571922223
13380,3,Flex,>>,-404,-27.34,409,334,538,50.19221571922223
13460,1,Flex,>>,2565,231.21,413,336,545,50.64943516255586
13475,2,Flex,>>,566,58.2,411,335,542,50.64943516255586
13490,3,Flex,>>,-470,-33.05,410,333,538,50.71124290815612
13570,1,Flex,>>,2526,227.96,416,338,545,51.19696637121021
13585,2,Flex,>>,502,52.66,412,336,541,51.47501778709076
13599,3,Flex,>>,-536,-38.86,412,335,538,51.47501778709076
13680,1,Flex,>>,2487,224.7,414,337,544,52.13424721061971
13695,2,Flex,>>,438,46.95,415,335,539,52.59816217801351
13710,3,Flex,>>,-602,-44.48,411,334,542,52.59816217801351
13791,1,Flex,>>,2448,221.45,413,337,544,53.58908108021003
13806,2,Flex,>>,374,41.49,414,335,543,53.58908108021003
13820,3,Flex,>>,-668,-50.2,412,334,540,53.90357382556262
13901,1,Flex,>>,2409,218.02,415,337,544,54.4157866774611
13916,2,Flex,>>,310,35.87,415,335,542,54.4157866774611
13930,3,Flex,>>,-734,-55.74,413,334,542,54.55963944690022
14011,1,Flex,>>,2370,214.68,419,339,546,54.91120783240963
14025,2,Flex,>>,246,30.24,415,336,543,55.09002410690325
14040,3,Flex,>>,-800,-61.54,417,333,540,55.09002410690325
14121,1,Flex,>>,2331,211.34,419,337,544,55.77121994106692
14135,2,Flex,>>,182,24.62,420,334,542,55.77121994106692
14150,3,Flex,>>,-866,-67.25,419,336,540,55.77121994106692
14230,1,Flex,>>,2292,207.82,425,338,544,56.51705058892817
14245,2,Flex,>>,118,18.99,421,334,542,56.51705058892817
14259,3,Flex,>>,-932,-73.14,420,333,540,56.774270538996724
14340,1,Flex,>>,2253,204.57,425,340,543,57.1301151469801
14355,2,Flex,>>,54,13.54,424,333,542,57.304334723576034
14369,3,Flex,>>,-998,-78.95,421,335,539,57.304334723576034
14450,1,Flex,>>,2214,201.14,453,335,543,57.566479977300475
14465,2,Flex,>>,-10,8.0,454,335,543,57.66681950904696
14479,3,Flex,>>,-1064,-84.57,456,335,543,57.66681950904696
14560,1,Flex,>>,2175,197.63,459,340,547,58.02254061213688
14574,2,Flex,>>,-74,2.37,457,337,541,58.02254061213688
14589,3,Flex,>>,-1130,-90.29,453,336,543,58.104213716846104
14669,1,Flex,>>,2136,194.29,456,339,548,58.21410783077902
14685,2,Flex,>>,-138,-3.08,455,336,545,58.30070262429983
14700,3,Flex,>>,-1196,-96.18,453,335,541,58.30070262429983
14780,1,Flex,>>,2097,190.86,454,340,551,58.227875210925696
14795,2,Flex,>>,-202,-8.62,453,340,550,58.14691882637911
14809,3,Flex,>>,-1262,-101.89,449,336,547,58.14691882637911
14890,1,Flex,>>,2058,187.52,452,341,554,57.8039012186524
14904,2,Flex,>>,-266,-14.15,451,338,549,57.8039012186524
14919,3,Flex,>>,-1328,-107.69,449,341,550,57.65148610963716
15000,1,Flex,>>,2019,184.09,454,344,554,57.47975917650713
15015,2,Flex,>>,-330,-19.6,450,342,548,57.47975917650713
15030,3,Flex,>>,-1394,-113.32,452,344,551,57.43893850240721
15111,1,Flex,>>,1980,180.75,468,345,556,57.270760107161124
15125,2,Flex,>>,-394,-25.32,469,343,554,57.16971418181608
15140,3,Flex,>>,-1460,-119.12,474,343,548,57.16971418181608
15221,1,Flex,>>,1941,177.23,497,347,555,56.69252068628796
15235,2,Flex,>>,-458,-30.68,498,346,552,56.69252068628796
15250,3,Flex,>>,-1526,-124.84,494,345,551,56.69252068628796
15330,1,Flex,>>,1902,173.63,501,351,562,56.028156660700276
15345,2,Flex,>>,-522,-36.22,503,351,559,56.028156660700276
15360,3,Flex,>>,-1592,-130.64,499,350,559,55.8206677649401
15440,1,Flex,>>,1863,170.2,501,358,572,55.48861118235208
15455,2,Flex,>>,-586,-41.67,497,357,567,55.35901347954358
15470,3,Flex,>>,-1658,-136.35,494,355,569,55.35901347954358
15551,1,Flex,>>,1824,166.95,495,363,579,54.716413813612725
15565,2,Flex,>>,-650,-47.21,494,362,575,54.716413813612725
15580,3,Flex,>>,-1724,-142.24,494,362,577,54.716413813612725
15661,1,Flex,>>,1785,163.52,508,372,589,53.54710916697732
15675,2,Flex,>>,-714,-52.66,508,369,587,53.54710916697732
15690,3,Flex,>>,-1790,-147.96,512,365,582,53.149894437570104
15770,1,Flex,>>,1746,159.91,551,376,598,52.52153888259933
15785,2,Flex,>>,-778,-58.29,549,376,597,52.348539914823846
15799,3,Flex,>>,-1856,-153.67,546,375,597,52.348539914823846
15880,1,Flex,>>,1707,156.4,567,383,607,51.794634153258954
15894,2,Flex,>>,-842,-63.82,565,383,604,51.46633393237777
15909,3,Flex,>>,-1922,-159.38,558,379,603,51.46633393237777
15990,1,Flex,>>,1668,152.79,576,391,618,50.543231216929144
16004,2,Flex,>>,-906,-69.27,571,386,609,50.543231216929144
16019,3,Flex,>>,-1988,-165.19,566,383,612,50.28164811647582
16100,1,Flex,>>,1629,149.45,580,397,623,49.782400311293145
16114,2,Flex,>>,-970,-74.81,574,393,617,49.782400311293145
16129,3,Flex,>>,-2054,-170.9,574,390,619,49.57694561725282
16210,1,Flex,>>,1590,146.11,577,401,624,49.02444748370174
16224,2,Flex,>>,-1034,-80.44,572,398,621,48.826654322310574
16239,3,Flex,>>,-2120,-176.53,568,399,622,48.826654322310574
16320,1,Flex,>>,1551,142.86,579,408,640,48.27824059729808
16334,2,Flex,>>,-1098,-85.8,580,407,637,48.27824059729808
16349,3,Flex,>>,-2186,-182.33,574,404,631,48.27824059729808
16429,1,Flex,>>,1512,139.52,581,413,643,47.36044537979408
16444,2,Flex,>>,-1162,-91.43,579,416,644,47.36044537979408
16459,3,Flex,>>,-2252,-187.96,579,417,645,46.9709832079499
16540,1,Flex,>>,1473,136.26,583,429,660,46.26851180842557
16555,2,Flex,>>,-1226,-97.23,580,425,658,45.9210760430143
16570,3,Flex,>>,-2318,-193.67,577,425,653,45.9210760430143
16650,1,Flex,>>,1434,133.19,585,446,677,45.48568337601161
16665,2,Flex,>>,-1290,-103.12,578,443,673,45.33749654491418
16679,3,Flex,>>,-2384,-199.47,573,441,673,45.33749654491418
16760,1,Flex,>>,1395,129.85,583,455,686,44.574745727365254
16774,2,Flex,>>,-1354,-108.92,577,453,686,44.574745727365254
16789,3,Flex,>>,-2450,-205.27,573,450,681,44.26416853763592
16869,1,Flex,>>,1356,126.42,582,457,691,43.546457154706914
16884,2,Flex,>>,-1418,-114.37,578,454,686,43.05535340709568
16899,3,Flex,>>,-2516,-211.25,579,454,681,43.05535340709568
16979,1,Flex,>>,1317,123.08,585,466,697,42.13548111234296
16994,2,Flex,>>,-1482,-120.09,578,462,696,41.705720562726164
17009,3,Flex,>>,-2582,-217.05,579,458,685,41.705720562726164
17089,1,Flex,>>,1278,119.74,587,473,700,40.37456688527924
17104,2,Flex,>>,-1546,-125.63,580,468,696,40.37456688527924
17118,3,Flex,>>,-2648,-222.68,582,468,695,39.968555358665526
17199,1,Flex,>>,1239,116.66,584,479,710,39.23380438927042
17214,2,Flex,>>,-1610,-131.34,580,475,707,39.23380438927042
17228,3,Flex,>>,-2714,-228.48,579,474,703,38.79964921517136
17309,1,Flex,>>,1200,113.58,583,481,712,38.11467186865001
17324,2,Flex,>>,-1674,-137.05,584,481,705,37.86155378203226
17339,3,Flex,>>,-2780,-234.2,578,478,704,37.86155378203226
17419,1,Flex,>>,1161,110.42,585,487,714,37.279566513452984
17434,2,Flex,>>,-1738,-142.59,584,488,715,37.279566513452984
17448,3,Flex,>>,-2846,-239.82,577,481,708,37.279566513452984
17529,1,Flex,>>,1122,106.99,590,490,719,36.82282588350839
17544,2,Flex,>>,-1802,-148.13,582,488,718,36.82282588350839
17559,3,Flex,>>,-2912,-245.63,580,485,712,36.66321724222341
17640,1,Flex,>>,1083,103.56,584,491,720,36.44226195201971
17655,2,Flex,>>,-1866,-153.67,581,487,709,36.363075566764806
17669,3,Flex,>>,-2978,-251.25,577,491,713,36.363075566764806
17750,1,Flex,>>,1044,100.31,589,515,724,36.148065488379174
17765,2,Flex,>>,-1930,-159.12,581,508,720,36.045003155757755
17780,3,Flex,>>,-3044,-256.79,576,508,715,36.045003155757755
17861,1,Flex,>>,1005,97.05,578,511,723,35.70365596706436
17875,2,Flex,>>,-1994,-164.75,576,507,715,35.70365596706436
17890,3,Flex,>>,-3110,-262.33,573,507,718,35.562702113238984
17971,1,Flex,>>,966,93.98,581,512,726,35.165527059224054
17985,2,Flex,>>,-2058,-170.02,575,510,718,35.00457297063959
18001,3,Flex,>>,-3176,-267.78,574,512,722,35.00457297063959
18081,1,Flex,>>,927,90.9,583,519,729,34.7249599117628
18096,2,Flex,>>,-2122,-175.21,578,515,726,34.591001529388734
18110,3,Flex,>>,-3242,-273.49,577,513,719,34.591001529388734
18191,1,Flex,>>,888,87.65,580,517,727,34.53688369938348
18205,2,Flex,>>,-2186,-180.66,578,514,723,34.53688369938348
18220,3,Flex,>>,-3308,-279.03,574,509,718,34.500388083278295
18301,1,Flex,>>,849,84.31,585,520,732,34.30292497940272
18315,2,Flex,>>,-2250,-186.02,577,515,725,34.30292497940272
18330,3,Flex,>>,-3374,-284.66,573,508,717,34.238116464836224
18410,1,Flex,>>,810,80.88,592,521,731,33.95403643712918
18426,2,Flex,>>,-2314,-191.47,579,516,727,33.85408009433247
18441,3,Flex,>>,-3440,-290.29,584,516,724,33.85408009433247
18522,1,Flex,>>,771,77.54,598,525,736,33.62535492900776
18537,2,Flex,>>,-2378,-196.84,592,522,736,33.62535492900776
18552,3,Flex,>>,-3506,-295.91,591,517,724,33.53791729075296
18633,1,Flex,>>,732,74.46,600,529,741,33.42659912461699
18648,2,Flex,>>,-2442,-202.2,596,525,737,33.42659912461699
18662,3,Flex,>>,-3572,-301.71,592,522,726,33.39115793673149
18743,1,Flex,>>,693,71.38,604,531,742,33.29186294482378
18758,2,Flex,>>,-2506,-207.65,600,528,737,33.213631980192424
18773,3,Flex,>>,-3638,-307.34,592,525,732,33.213631980192424
18854,1,Flex,>>,654,68.31,606,537,740,32.83539736952759
18868,2,Flex,>>,-2570,-212.75,598,530,735,32.83539736952759
18883,3,Flex,>>,-3704,-312.79,594,526,729,32.83539736952759
18964,1,Flex,>>,615,65.23,604,532,740,32.714989902188805
18979,2,Flex,>>,-2634,-217.93,598,532,732,32.714989902188805
18993,3,Flex,>>,-3770,-318.51,596,530,732,32.80725012210405
19074,1,Flex,>>,576,62.24,606,542,746,32.96368163679294
19089,2,Flex,>>,-2698,-222.86,598,535,736,32.97204161062533
19104,3,Flex,>>,-3836,-324.04,596,530,734,32.97204161062533
19184,1,Flex,<<,576,59.43,611,546,747,32.699964652087516
19199,2,Flex,<<,-2698,-227.6,609,542,745,32.699964652087516
19213,3,Flex,<<,-3836,-329.23,608,544,750,32.699964652087516
19294,1,Flex,<<,615,58.9,613,547,754,32.58688761539758
19309,2,Flex,<<,-2634,-228.66,619,555,764,32.58688761539758
19324,3,Flex,<<,-3770,-330.81,625,557,766,32.580625413137966
19405,1,Flex,<<,654,58.9,627,559,772,32.66049588696017
19420,2,Flex,<<,-2570,-228.75,626,562,774,32.578883451649425
19435,3,Flex,<<,-3704,-330.81,624,558,771,32.578883451649425
19515,1,Flex,<<,693,58.99,626,558,771,32.459809390624045
19530,2,Flex,<<,-2506,-225.58,623,558,767,32.495435284239264
19544,3,Flex,<<,-3638,-326.42,622,556,768,32.495435284239264
19625,1,Flex,<<,732,61.1,624,558,769,32.54557981748083
19639,2,Flex,<<,-2442,-221.01,620,554,766,32.54557981748083
19654,3,Flex,<<,-3572,-321.14,619,555,762,32.428754559786796
19735,1,Flex,<<,771,64.18,619,552,765,32.37788290662289
19750,2,Flex,<<,-2378,-215.82,620,551,761,32.37788290662289
19765,3,Flex,<<,-3506,-315.52,614,550,757,32.249635989379996
19846,1,Flex,<<,810,67.34,616,552,762,32.23332021759011
19860,2,Flex,<<,-2314,-210.55,615,549,758,32.3191831054733
19875,3,Flex,<<,-3440,-309.89,612,546,756,32.3191831054733
19955,1,Flex,<<,849,70.51,613,548,759,32.20961357998779
19970,2,Flex,<<,-2250,-205.1,608,543,752,32.20961357998779
19985,3,Flex,<<,-3374,-304.09,607,540,750,32.14457208447477
20065,1,Flex,<<,888,73.67,607,540,754,32.16182794729335
20080,2,Flex,<<,-2186,-199.47,603,538,748,32.16182794729335
20094,3,Flex,<<,-3308,-298.29,600,535,745,32.14308320688177
20175,1,Flex,<<,927,77.01,602,535,750,32.13399142889433
20190,2,Flex,<<,-2122,-193.85,599,534,744,32.08211613017115
20205,3,Flex,<<,-3242,-292.48,599,531,740,32.08211613017115
20286,1,Flex,<<,966,80.62,599,530,743,31.743945919285693
20300,2,Flex,<<,-2058,-188.31,595,526,741,31.743945919285693
20315,3,Flex,<<,-3176,-286.68,592,522,737,31.743945919285693
20396,1,Flex,<<,1005,83.87,590,523,740,31.838742235720225
20410,2,Flex,<<,-1994,-182.59,588,519,736,31.838742235720225
20425,3,Flex,<<,-3110,-280.97,585,517,733,31.89152330255407
20506,1,Flex,<<,1044,87.21,585,514,734,31.918558157697355
20520,2,Flex,<<,-1930,-177.05,580,511,732,31.853040740103133
20535,3,Flex,<<,-3044,-275.08,580,508,727,31.853040740103133
20616,1,Flex,<<,1083,90.64,580,505,730,31.622055838887473
20630,2,Flex,<<,-1866,-171.52,574,505,726,31.516361201615855
20645,3,Flex,<<,-2978,-269.19,576,502,726,31.516361201615855
20725,1,Flex,<<,1122,94.07,575,504,729,31.31335309360543
20740,2,Flex,<<,-1802,-165.71,569,500,726,31.31335309360543
20754,3,Flex,<<,-2912,-263.56,568,498,724,31.23478663465037
20835,1,Flex,<<,1161,97.49,568,499,726,31.22212280476539
20850,2,Flex,<<,-1738,-160.18,563,495,722,31.22212280476539
20865,3,Flex,<<,-2846,-257.76,562,496,722,31.1845306523044
20945,1,Flex,<<,1200,100.84,561,495,723,31.256320218998386
20960,2,Flex,<<,-1674,-154.55,561,497,720,31.311243707152755
20974,3,Flex,<<,-2780,-251.96,558,493,719,31.311243707152755
21055,1,Flex,<<,1239,104.26,558,492,720,31.36261788333516
21069,2,Flex,<<,-1610,-148.92,557,490,716,31.36261788333516
21084,3,Flex,<<,-2714,-246.15,553,487,715,31.30300265873957
21165,1,Flex,<<,1278,107.78,557,491,719,31.164914217930864
21179,2,Flex,<<,-1546,-143.3,553,489,715,31.164914217930864
21194,3,Flex,<<,-2648,-240.44,550,485,716,31.054025544981183
21275,1,Flex,<<,1317,111.21,548,483,715,30.955207532005574
21290,2,Flex,<<,-1482,-137.67,543,480,712,30.93168643494272
21304,3,Flex,<<,-2582,-234.64,538,480,710,30.93168643494272
21385,1,Flex,<<,1356,114.46,542,479,708,31.013361707581033
21399,2,Flex,<<,-1418,-132.13,540,478,702,31.013361707581033
21414,3,Flex,<<,-2516,-228.84,539,474,701,31.013361707581033
21495,1,Flex,<<,1395,117.8,538,471,699,31.13703164878375
21510,2,Flex,<<,-1354,-126.59,535,468,695,31.13703164878375
21525,3,Flex,<<,-2450,-222.95,535,469,694,31.150947206990217
21606,1,Flex,<<,1434,121.32,531,467,694,31.214761575215967
21620,2,Flex,<<,-1290,-120.97,528,463,688,31.273696047992892
21635,3,Flex,<<,-2384,-217.23,524,461,683,31.273696047992892
21715,1,Flex,<<,1473,124.75,519,456,678,31.207653754792055
21731,2,Flex,<<,-1226,-115.16,515,455,677,31.208528146586687
21746,3,Flex,<<,-2318,-211.34,513,451,671,31.208528146586687
21826,1,Flex,<<,1512,128.18,512,451,673,31.119739658909502
21841,2,Flex,<<,-1162,-109.63,504,449,671,31.119739658909502
21856,3,Flex,<<,-2252,-205.54,503,446,667,31.049463417407715
21936,1,Flex,<<,1551,131.52,501,447,666,31.045090512329523
21951,2,Flex,<<,-1098,-104.0,498,447,661,31.010114270785145
21965,3,Flex,<<,-2186,-199.74,493,443,658,31.010114270785145
22047,1,Flex,<<,1590,134.95,494,442,659,31.021545477280505
22061,2,Flex,<<,-1034,-98.37,493,441,657,31.077433198152903
22076,3,Flex,<<,-2120,-193.85,489,440,656,31.077433198152903
22157,1,Flex,<<,1629,138.37,489,435,657,31.09017052091885
22171,2,Flex,<<,-970,-92.75,488,437,654,31.09017052091885
22186,3,Flex,<<,-2054,-188.22,483,436,651,31.029995968675344
22266,1,Flex,<<,1668,141.71,486,438,654,30.962669538863345
22281,2,Flex,<<,-906,-87.21,483,435,650,30.962669538863345
22296,3,Flex,<<,-1988,-182.42,480,433,649,30.8950916666032
22376,1,Flex,<<,1707,145.14,482,436,653,30.892681072176124
22391,2,Flex,<<,-842,-81.58,478,433,647,30.913011313380792
22406,3,Flex,<<,-1922,-176.53,479,433,646,30.913011313380792
22486,1,Flex,<<,1746,148.48,481,435,649,30.93785938596428
22501,2,Flex,<<,-778,-75.78,479,433,647,30.93785938596428
22515,3,Flex,<<,-1856,-170.73,479,433,645,30.93785938596428
22596,1,Flex,<<,1785,152.0,481,432,645,30.94802450656661
22610,2,Flex,<<,-714,-70.33,476,430,641,30.94802450656661
22625,3,Flex,<<,-1790,-164.92,472,429,641,30.988005108944257
22706,1,Flex,<<,1824,155.34,476,431,643,31.04571423938819
22720,2,Flex,<<,-650,-64.62,473,428,640,31.016380798744677
22735,3,Flex,<<,-1724,-159.3,474,428,636,31.016380798744677
22815,1,Flex,<<,1863,158.77,475,431,643,30.97752863454933
22830,2,Flex,<<,-586,-58.99,474,426,639,30.92819418405525
22845,3,Flex,<<,-1658,-153.41,470,427,639,30.92819418405525
22925,1,Flex,<<,1902,162.29,473,432,641,30.96508229416595
22940,2,Flex,<<,-522,-53.36,473,427,639,30.96508229416595
22955,3,Flex,<<,-1592,-147.69,469,424,637,31.002653989921033
23035,1,Flex,<<,1941,165.71,473,431,641,31.224376266215657
23050,2,Flex,<<,-458,-47.74,471,427,641,31.224376266215657
23066,3,Flex,<<,-1526,-141.71,471,426,638,31.222409805564524
23146,1,Flex,<<,1980,169.05,472,429,641,31.049869466948902
23161,2,Flex,<<,-394,-42.2,470,429,641,30.93684640155046
23175,3,Flex,<<,-1460,-136.0,469,427,638,30.93684640155046
23256,1,Flex,<<,2019,172.48,470,427,639,30.753484318543286
23271,2,Flex,<<,-330,-36.66,469,427,639,30.753484318543286
23286,3,Flex,<<,-1394,-130.2,466,424,634,30.753907324159265
23367,1,Flex,<<,2058,176.0,468,429,637,30.94940562370744
23381,2,Flex,<<,-266,-30.86,466,426,636,30.94940562370744
23396,3,Flex,<<,-1328,-124.4,465,425,636,30.935766900594697
23476,1,Flex,<<,2097,179.43,466,428,638,30.939245172644597
23491,2,Flex,<<,-202,-25.32,466,426,637,30.931138030228276
23505,3,Flex,<<,-1262,-118.68,464,426,634,30.931138030228276
23586,1,Flex,<<,2136,182.77,466,422,639,30.852523572115686
23600,2,Flex,<<,-138,-19.6,464,424,634,30.852523572115686
23615,3,Flex,<<,-1196,-112.79,463,422,635,30.852523572115686
23696,1,Flex,<<,2175,186.2,465,426,638,30.833059157433546
23711,2,Flex,<<,-74,-14.07,463,422,634,30.833059157433546
23726,3,Flex,<<,-1130,-106.9,463,425,633,30.774444513570586
23806,1,Flex,<<,2214,189.71,463,427,639,30.768224239495858
23821,2,Flex,<<,-10,-8.44,466,424,636,30.806721850445648
23835,3,Flex,<<,-1064,-101.19,461,423,634,30.806721850445648
23916,1,Flex,<<,2253,193.23,464,423,638,30.777236573097102
23930,2,Flex,<<,54,-2.81,462,424,636,30.72660663911605
23945,3,Flex,<<,-998,-95.3,463,423,633,30.72660663911605
24025,1,Flex,<<,2292,196.57,465,425,637,30.54418545360941
24040,2,Flex,<<,118,2.81,461,422,635,30.54418545360941
24055,3,Flex,<<,-932,-89.67,459,422,632,30.44976658903
24136,1,Flex,<<,2331,200.0,462,425,637,30.287896057043397
24151,2,Flex,<<,182,8.53,462,421,632,30.30827569686307
24166,3,Flex,<<,-866,-83.87,460,422,633,30.30827569686307
24246,1,Flex,<<,2370,203.52,463,424,634,30.291867999930204
24261,2,Flex,<<,246,14.15,462,422,630,30.281606216488946
24276,3,Flex,<<,-800,-78.07,459,421,631,30.281606216488946
24356,1,Flex,<<,2409,206.95,464,424,632,30.298287430769975
24371,2,Flex,<<,310,19.6,461,421,630,30.298287430769975
24386,3,Flex,<<,-734,-72.26,460,419,630,30.27958516838293
24467,1,Flex,<<,2448,210.46,463,422,634,30.265386472538786
24482,2,Flex,<<,374,25.32,462,422,632,30.265386472538786
24496,3,Flex,<<,-668,-66.46,459,419,629,30.317398716205865
24577,1,Flex,<<,2487,213.89,463,423,634,30.32000838388901
24592,2,Flex,<<,438,30.95,462,421,628,30.28546320019751
24607,3,Flex,<<,-602,-60.75,459,417,627,30.28546320019751
24688,1,Flex,<<,2526,217.32,463,422,633,30.289028246168602
24702,2,Flex,<<,502,36.57,458,419,628,30.289028246168602
24717,3,Flex,<<,-536,-54.77,458,420,628,30.289028246168602
24798,1,Flex,<<,2565,220.75,464,422,636,30.136966969311686
24813,2,Flex,<<,566,42.2,461,420,629,30.136966969311686
24827,3,Flex,<<,-470,-48.88,460,418,629,30.06406891576276
24908,1,Flex,<<,2604,224.18,463,420,633,29.846258237902816
24923,2,Flex,<<,630,47.74,460,419,629,29.739073078443763
24937,3,Flex,<<,-404,-43.16,461,419,626,29.739073078443763
25018,1,Flex,<<,2643,227.6,462,422,631,29.64221991358573
25033,2,Flex,<<,694,53.45,460,420,631,29.64221991358573
25048,3,Flex,<<,-338,-37.36,458,418,627,29.64221991358573
25129,1,Flex,<<,2682,231.03,461,420,633,29.255781754655015
25143,2,Flex,<<,758,59.08,458,420,630,29.255781754655015
25158,3,Flex,<<,-272,-31.65,458,417,629,29.063616421759395
25239,1,Flex,<<,2721,234.46,462,422,630,28.573700787471903
25253,2,Flex,<<,822,64.62,458,420,628,28.388563524807076
25268,3,Flex,<<,-206,-25.76,458,419,626,28.388563524807076
25348,1,Flex,<<,2760,237.89,461,422,632,28.062745875982323
25363,2,Flex,<<,886,70.24,459,419,630,27.840786388076765
25377,3,Flex,<<,-140,-19.96,455,416,627,27.840786388076765
25458,1,Flex,<<,2799,241.32,458,422,631,26.99187125843689
25473,2,Flex,<<,950,75.87,457,418,629,26.99187125843689
25487,3,Flex,<<,-74,-14.15,457,420,628,26.71293513299708
25568,1,Flex,<<,2838,244.75,460,421,631,26.158661468563686
25583,2,Flex,<<,1014,81.49,457,419,629,26.158661468563686
25597,3,Flex,<<,-8,-8.35,457,417,625,25.951378780251048
25678,1,Flex,<<,2877,248.0,457,425,631,25.669844218158268
25692,2,Flex,<<,1078,87.12,458,420,629,25.500184880844785
25707,3,Flex,<<,58,-2.46,456,417,628,25.500184880844785
25787,1,Flex,<<,2916,251.6,458,419,631,24.90066159940829
25802,2,Flex,<<,1142,92.75,453,418,628,24.90066159940829
25816,3,Flex,<<,124,3.34,455,419,626,24.90066159940829
27164,4,Extend,>>,1463,128.62,460,420,630,15.120964539566316
27179,5,Extend,>>,205,18.02,461,420,632,15.120964539566316
27193,6,Extend,>>,1024,90.02,461,422,630,14.678500167160134
27273,4,Extend,>>,1418,128.62,459,421,627,13.879564234583869
27289,5,Extend,>>,161,18.02,457,421,628,13.40411313641069
27303,6,Extend,>>,976,90.02,457,419,626,13.40411313641069
27384,4,Extend,>>,1373,125.98,458,417,627,11.783360268026264
27398,5,Extend,>>,117,15.56,456,418,626,11.783360268026264
27413,6,Extend,>>,928,87.38,458,417,624,11.783360268026264
27493,4,Extend,>>,1328,122.2,458,420,628,10.49966260048646
27508,5,Extend,>>,73,11.78,457,419,627,10.49966260048646
27522,6,Extend,>>,880,83.25,456,416,626,10.12972183866685
27603,4,Extend,>>,1283,118.33,459,418,626,9.222205661477677
27618,5,Extend,>>,29,8.0,457,417,624,8.759737167949336
27632,6,Extend,>>,832,78.95,456,417,625,8.759737167949336
27714,4,Extend,>>,1238,114.37,457,419,627,7.634841361618933
27728,5,Extend,>>,-15,4.31,457,417,623,7.1344301610502505
27743,6,Extend,>>,784,74.64,454,417,623,7.1344301610502505
27823,4,Extend,>>,1193,110.51,458,419,627,5.630301467148211
27838,5,Extend,>>,-59,0.35,458,419,623,5.630301467148211
27853,6,Extend,>>,736,70.59,455,418,622,5.035349778102385
27933,4,Extend,>>,1148,106.46,457,418,625,3.759371704613641
27948,5,Extend,>>,-103,-3.43,457,417,624,3.759371704613641
27962,6,Extend,>>,688,66.46,455,414,621,3.071612912344301
28043,4,Extend,>>,1103,102.59,458,418,627,1.433657777567895
28058,5,Extend,>>,-147,-7.3,458,417,625,0.5044934069569227
28072,6,Extend,>>,640,62.24,455,414,621,0.5044934069569227
28153,4,Extend,>>,1058,98.81,458,416,623,-1.786818814860077
28168,5,Extend,>>,-191,-11.25,457,414,622,-1.786818814860077
28182,6,Extend,>>,592,57.93,453,415,617,-1.786818814860077
28263,4,Extend,>>,1013,94.77,458,416,622,-3.3416202617659376
28277,5,Extend,>>,-235,-14.95,458,416,619,-3.3416202617659376
28292,6,Extend,>>,544,53.98,457,414,615,-3.834939408980913
28373,4,Extend,>>,968,90.81,458,415,617,-5.196887020463327
28387,5,Extend,>>,-279,-18.64,457,417,617,-6.055852638969224
28402,6,Extend,>>,496,49.85,455,414,615,-6.055852638969224
28482,4,Extend,>>,923,86.95,459,416,617,-7.8079229211562104
28497,5,Extend,>>,-323,-22.59,455,415,616,-8.660144286250732
28511,6,Extend,>>,448,45.71,454,414,616,-8.660144286250732
28592,4,Extend,>>,878,83.16,456,415,614,-10.548529623256325
28607,5,Extend,>>,-367,-26.46,456,416,612,-10.548529623256325
28622,6,Extend,>>,400,41.85,455,414,612,-11.004878335922804
28703,4,Extend,>>,833,79.3,458,412,609,-11.739815340619232
28717,5,Extend,>>,-411,-30.33,457,415,609,-11.739815340619232
28732,6,Extend,>>,352,37.8,454,409,602,-12.17163231497944
28813,4,Extend,>>,788,75.52,458,413,607,-13.083254127736478
28827,5,Extend,>>,-455,-34.2,455,413,606,-13.52992171083869
