Time(ms),MotorID,Phase,Direction,Position,Angle(deg),Frame,∠ABC,∠BCD,angle_smooth,L_cm,delta_motor
128168,2,Flex,>>,153,21.36,3843.0,116.61776117095962,137.4451438571433,31.998,0.5584704540531455,-5.257999999999999
128270,2,Flex,>>,93,16.18,3846.0,116.1487643257577,137.6319255700711,26.724,0.46642178930296463,-5.274000000000001
128372,2,Flex,>>,33,10.9,3849.0,116.1487643257577,137.6319255700711,21.449999999999996,0.3743731245527836,-5.2740000000000045
128474,2,Flex,>>,-27,5.71,3852.0,116.61776117095962,136.87787744728536,16.192,0.2826037124829218,-5.257999999999996
128577,2,Flex,>>,-87,0.26,3855.0,116.83352243516984,137.26372613160518,10.882000000000001,0.18992672920202297,-5.309999999999999
128679,2,Flex,>>,-147,-4.84,3858.0,117.77252415081864,137.76023706232817,5.6419999999999995,0.09847147639752006,-5.240000000000002
128782,2,Flex,>>,-207,-10.02,3861.0,119.31843403184354,138.06498199497383,0.4020000000000003,0.00701622359301721,-5.239999999999999
128884,2,Flex,>>,-267,-15.3,3864.0,121.72536960791612,137.87180529649427,-4.837999999999999,-0.08443902921148565,-5.239999999999999
128987,2,Flex,>>,-327,-20.48,3868.0,123.31942543800328,137.79498634002098,-10.076,-0.17585937543094865,-5.238000000000001
129090,2,Flex,>>,-387,-25.85,3871.0,123.55339235386482,138.98611304989134,-15.298000000000002,-0.26700046897009255,-5.222000000000001
129192,2,Flex,>>,-447,-31.03,3874.0,125.09555560015885,138.1437243051233,-20.536,-0.35842081518955554,-5.2379999999999995
129294,2,Flex,>>,-507,-36.31,3877.0,125.4256931625311,138.57048479288898,-25.794,-0.4501902272594174,-5.257999999999999
